"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Mother's Education"	"Mother's Education Code"	Births
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"High school graduate or GED completed"	"3"	4737
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"Some college credit, but not a degree"	"4"	3546
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"Associate degree (AA, AS)"	"5"	1594
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"Bachelor's degree (BA, AB, BS)"	"6"	4340
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	1892
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	411
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"Unknown or Not Stated"	"Unk"	1233
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"Excluded"	"Exc"	138824
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"			158311
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"8th grade or less"	"1"	155
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"9th through 12th grade with no diploma"	"2"	1496
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"High school graduate or GED completed"	"3"	4682
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Some college credit, but not a degree"	"4"	3372
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Associate degree (AA, AS)"	"5"	1458
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Bachelor's degree (BA, AB, BS)"	"6"	4359
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	1947
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	465
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Unknown or Not Stated"	"Unk"	1163
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Excluded"	"Exc"	134720
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"			153817
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"8th grade or less"	"1"	180
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"9th through 12th grade with no diploma"	"2"	1384
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"High school graduate or GED completed"	"3"	4636
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Some college credit, but not a degree"	"4"	3621
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Associate degree (AA, AS)"	"5"	1674
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Bachelor's degree (BA, AB, BS)"	"6"	4488
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	2126
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	466
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Unknown or Not Stated"	"Unk"	354
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Excluded"	"Exc"	134111
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"			153040
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"8th grade or less"	"1"	2001
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"9th through 12th grade with no diploma"	"2"	7039
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"High school graduate or GED completed"	"3"	17287
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Some college credit, but not a degree"	"4"	16981
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Associate degree (AA, AS)"	"5"	6153
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Bachelor's degree (BA, AB, BS)"	"6"	21312
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	12866
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	4462
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Unknown or Not Stated"	"Unk"	2699
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Excluded"	"Exc"	60263
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"			151063
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"8th grade or less"	"1"	1805
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"9th through 12th grade with no diploma"	"2"	6610
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"High school graduate or GED completed"	"3"	16442
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Some college credit, but not a degree"	"4"	16792
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Associate degree (AA, AS)"	"5"	6107
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Bachelor's degree (BA, AB, BS)"	"6"	21677
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	13445
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	4736
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Unknown or Not Stated"	"Unk"	2545
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Excluded"	"Exc"	59670
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"			149829
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"8th grade or less"	"1"	2053
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"9th through 12th grade with no diploma"	"2"	7117
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"High school graduate or GED completed"	"3"	19427
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Some college credit, but not a degree"	"4"	19826
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Associate degree (AA, AS)"	"5"	7340
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Bachelor's degree (BA, AB, BS)"	"6"	24630
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	15316
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	4965
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Unknown or Not Stated"	"Unk"	2364
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Excluded"	"Exc"	47108
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"			150146
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"8th grade or less"	"1"	2189
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"9th through 12th grade with no diploma"	"2"	7842
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"High school graduate or GED completed"	"3"	20900
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Some college credit, but not a degree"	"4"	22109
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Associate degree (AA, AS)"	"5"	8027
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Bachelor's degree (BA, AB, BS)"	"6"	26697
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	16877
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	5217
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Unknown or Not Stated"	"Unk"	3570
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Excluded"	"Exc"	35746
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"			149174
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"8th grade or less"	"1"	3031
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"9th through 12th grade with no diploma"	"2"	10074
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"High school graduate or GED completed"	"3"	27494
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Some college credit, but not a degree"	"4"	27980
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Associate degree (AA, AS)"	"5"	11092
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Bachelor's degree (BA, AB, BS)"	"6"	35355
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	23612
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	6697
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Unknown or Not Stated"	"Unk"	3523
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Excluded"	"Exc"	0
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"			148858
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"8th grade or less"	"1"	3128
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"9th through 12th grade with no diploma"	"2"	9829
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"High school graduate or GED completed"	"3"	27024
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Some college credit, but not a degree"	"4"	27361
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Associate degree (AA, AS)"	"5"	11100
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Bachelor's degree (BA, AB, BS)"	"6"	35147
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	23123
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	6703
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Unknown or Not Stated"	"Unk"	3215
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Excluded"	"Exc"	0
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"			146630
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"8th grade or less"	"1"	2848
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"9th through 12th grade with no diploma"	"2"	9101
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"High school graduate or GED completed"	"3"	26792
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Some college credit, but not a degree"	"4"	26684
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Associate degree (AA, AS)"	"5"	10765
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Bachelor's degree (BA, AB, BS)"	"6"	35121
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	23520
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	6855
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Unknown or Not Stated"	"Unk"	2392
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Excluded"	"Exc"	0
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"			144078
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"8th grade or less"	"1"	2730
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"9th through 12th grade with no diploma"	"2"	8896
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"High school graduate or GED completed"	"3"	26035
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Some college credit, but not a degree"	"4"	25879
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Associate degree (AA, AS)"	"5"	10659
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Bachelor's degree (BA, AB, BS)"	"6"	35062
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	23865
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	6970
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Unknown or Not Stated"	"Unk"	2433
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Excluded"	"Exc"	0
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2019"	"2019"			142529
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"8th grade or less"	"1"	2737
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"9th through 12th grade with no diploma"	"2"	8515
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"High school graduate or GED completed"	"3"	26201
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Some college credit, but not a degree"	"4"	24361
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Associate degree (AA, AS)"	"5"	9906
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Bachelor's degree (BA, AB, BS)"	"6"	34503
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	23348
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	6840
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Unknown or Not Stated"	"Unk"	2041
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Excluded"	"Exc"	0
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2020"	"2020"			138452
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"8th grade or less"	"1"	2612
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"9th through 12th grade with no diploma"	"2"	8322
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"High school graduate or GED completed"	"3"	25899
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Some college credit, but not a degree"	"4"	24499
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Associate degree (AA, AS)"	"5"	10443
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Bachelor's degree (BA, AB, BS)"	"6"	38302
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	25979
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	7419
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Unknown or Not Stated"	"Unk"	1811
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Excluded"	"Exc"	0
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2021"	"2021"			145286
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"8th grade or less"	"1"	3065
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"9th through 12th grade with no diploma"	"2"	8407
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"High school graduate or GED completed"	"3"	26553
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Some college credit, but not a degree"	"4"	22698
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Associate degree (AA, AS)"	"5"	10295
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Bachelor's degree (BA, AB, BS)"	"6"	37404
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	25563
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	7638
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Unknown or Not Stated"	"Unk"	2048
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Excluded"	"Exc"	0
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2022"	"2022"			143671
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"8th grade or less"	"1"	3133
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"9th through 12th grade with no diploma"	"2"	8351
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"High school graduate or GED completed"	"3"	26219
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Some college credit, but not a degree"	"4"	21625
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Associate degree (AA, AS)"	"5"	9540
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Bachelor's degree (BA, AB, BS)"	"6"	36717
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	24799
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	7388
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Unknown or Not Stated"	"Unk"	2313
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Excluded"	"Exc"	0
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2023"	"2023"			140085
"Total"	"Division 1: New England"	"CENS-D1"					2544873
	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"8th grade or less"	"1"	10923
	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"9th through 12th grade with no diploma"	"2"	34457
	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"High school graduate or GED completed"	"3"	67169
	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"Some college credit, but not a degree"	"4"	47991
	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"Associate degree (AA, AS)"	"5"	23889
	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"Bachelor's degree (BA, AB, BS)"	"6"	48402
	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	28648
	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	5782
	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"Unknown or Not Stated"	"Unk"	13577
	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"Excluded"	"Exc"	239389
	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"			520227
	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"8th grade or less"	"1"	20923
	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"9th through 12th grade with no diploma"	"2"	55241
	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"High school graduate or GED completed"	"3"	95885
	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"Some college credit, but not a degree"	"4"	67756
	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"Associate degree (AA, AS)"	"5"	31690
	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"Bachelor's degree (BA, AB, BS)"	"6"	69086
	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	41079
	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	10074
	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"Unknown or Not Stated"	"Unk"	7922
	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"Excluded"	"Exc"	112710
	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"			512366
	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"8th grade or less"	"1"	19917
	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"9th through 12th grade with no diploma"	"2"	53414
	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"High school graduate or GED completed"	"3"	93700
	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"Some college credit, but not a degree"	"4"	66791
	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"Associate degree (AA, AS)"	"5"	31060
	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"Bachelor's degree (BA, AB, BS)"	"6"	69456
	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	42070
	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	10564
	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"Unknown or Not Stated"	"Unk"	7572
	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"Excluded"	"Exc"	110331
	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"			504875
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"8th grade or less"	"1"	19064
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"9th through 12th grade with no diploma"	"2"	51700
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"High school graduate or GED completed"	"3"	90205
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Some college credit, but not a degree"	"4"	65998
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Associate degree (AA, AS)"	"5"	30289
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Bachelor's degree (BA, AB, BS)"	"6"	68897
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	43966
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	10916
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Unknown or Not Stated"	"Unk"	6661
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Excluded"	"Exc"	106922
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"			494618
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"8th grade or less"	"1"	18214
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"9th through 12th grade with no diploma"	"2"	48540
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"High school graduate or GED completed"	"3"	88698
