Notes,Census Division,Census Division Code,Year,Year Code,Deaths,Population,Crude Rate
,Division 7: West South Central,CENS-D7,2020,2020,222,16163482,1.4
,Division 7: West South Central,CENS-D7,2021,2021,299,16219236,1.8
,Division 7: West South Central,CENS-D7,2022,2022,208,16317800,1.3
,Division 7: West South Central,CENS-D7,2023,2023,186,16521310,1.1
,Division 8: Mountain,CENS-D8,2010,2010,48,8774876,0.5
,Division 8: Mountain,CENS-D8,2011,2011,51,8870471,0.6
,Division 8: Mountain,CENS-D8,2012,2012,55,8926857,0.6
,Division 8: Mountain,CENS-D8,2013,2013,79,8995274,0.9
,Division 8: Mountain,CENS-D8,2014,2014,79,9087230,0.9
,Division 8: Mountain,CENS-D8,2015,2015,66,9180090,0.7
,Division 8: Mountain,CENS-D8,2016,2016,72,9253477,0.8
,Division 8: Mountain,CENS-D8,2017,2017,91,9335487,1
,Division 8: Mountain,CENS-D8,2018,2018,60,9448219,0.6
,Division 8: Mountain,CENS-D8,2019,2019,84,9526078,0.9
,Division 8: Mountain,CENS-D8,2020,2020,100,9624235,1
,Division 8: Mountain,CENS-D8,2021,2021,117,9637092,1.2
,Division 8: Mountain,CENS-D8,2022,2022,89,9653890,0.9
,Division 8: Mountain,CENS-D8,2023,2023,75,9717283,0.8
,Division 9: Pacific,CENS-D9,2010,2010,104,20139647,0.5
,Division 9: Pacific,CENS-D9,2011,2011,98,20308430,0.5
,Division 9: Pacific,CENS-D9,2012,2012,108,20396368,0.5
,Division 9: Pacific,CENS-D9,2013,2013,113,20470769,0.6
,Division 9: Pacific,CENS-D9,2014,2014,122,20653078,0.6
,Division 9: Pacific,CENS-D9,2015,2015,106,20767233,0.5
,Division 9: Pacific,CENS-D9,2016,2016,119,20798597,0.6
,Division 9: Pacific,CENS-D9,2017,2017,130,20900133,0.6
,Division 9: Pacific,CENS-D9,2018,2018,112,20868977,0.5
,Division 9: Pacific,CENS-D9,2019,2019,118,20791130,0.6
,Division 9: Pacific,CENS-D9,2020,2020,124,20685720,0.6
,Division 9: Pacific,CENS-D9,2021,2021,146,20624972,0.7
,Division 9: Pacific,CENS-D9,2022,2022,107,20371759,0.5
,Division 9: Pacific,CENS-D9,2023,2023,96,20353233,0.5
,,,,,,,
