Notes	Census Division	Census Division Code	Year	Year Code	Deaths	Population	Crude Rate
	Division 7: West South Central	CENS-D7	2020	2020	222	16163482	1.4
	Division 7: West South Central	CENS-D7	2021	2021	299	16219236	1.8
	Division 7: West South Central	CENS-D7	2022	2022	208	16317800	1.3
	Division 7: West South Central	CENS-D7	2023	2023	186	16521310	1.1
	Division 8: Mountain	CENS-D8	2010	2010	48	8774876	0.5
	Division 8: Mountain	CENS-D8	2011	2011	51	8870471	0.6
	Division 8: Mountain	CENS-D8	2012	2012	55	8926857	0.6
	Division 8: Mountain	CENS-D8	2013	2013	79	8995274	0.9
	Division 8: Mountain	CENS-D8	2014	2014	79	9087230	0.9
	Division 8: Mountain	CENS-D8	2015	2015	66	9180090	0.7
	Division 8: Mountain	CENS-D8	2016	2016	72	9253477	0.8
	Division 8: Mountain	CENS-D8	2017	2017	91	9335487	1
	Division 8: Mountain	CENS-D8	2018	2018	60	9448219	0.6
	Division 8: Mountain	CENS-D8	2019	2019	84	9526078	0.9
	Division 8: Mountain	CENS-D8	2020	2020	100	9624235	1
	Division 8: Mountain	CENS-D8	2021	2021	117	9637092	1.2
	Division 8: Mountain	CENS-D8	2022	2022	89	9653890	0.9
	Division 8: Mountain	CENS-D8	2023	2023	75	9717283	0.8
	Division 9: Pacific	CENS-D9	2010	2010	104	20139647	0.5
	Division 9: Pacific	CENS-D9	2011	2011	98	20308430	0.5
	Division 9: Pacific	CENS-D9	2012	2012	108	20396368	0.5
	Division 9: Pacific	CENS-D9	2013	2013	113	20470769	0.6
	Division 9: Pacific	CENS-D9	2014	2014	122	20653078	0.6
	Division 9: Pacific	CENS-D9	2015	2015	106	20767233	0.5
	Division 9: Pacific	CENS-D9	2016	2016	119	20798597	0.6
	Division 9: Pacific	CENS-D9	2017	2017	130	20900133	0.6
	Division 9: Pacific	CENS-D9	2018	2018	112	20868977	0.5
	Division 9: Pacific	CENS-D9	2019	2019	118	20791130	0.6
	Division 9: Pacific	CENS-D9	2020	2020	124	20685720	0.6
	Division 9: Pacific	CENS-D9	2021	2021	146	20624972	0.7
	Division 9: Pacific	CENS-D9	2022	2022	107	20371759	0.5
	Division 9: Pacific	CENS-D9	2023	2023	96	20353233	0.5
							
---							
"Dataset: Underlying Cause of Death, 1999-2020"							
Query Parameters:							
"ICD-10 Codes: O00-O99 (Pregnancy, childbirth and the puerperium)"							
Sex: Female							
Ten-Year Age Groups: 5-14 years; 15-24 years; 25-34 years; 35-44 years; 45-54 years; 55-64 years							
Year/Month: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020							
Group By: Census Division; Year							
Show Totals: False							
Show Zero Values: True							
Show Suppressed: False							
"Calculate Rates Per: 100,000"							
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)							
---							
Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information.							
---							
"Query Date: Mar 10, 2025 8:49:06 PM"							
---							
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"							
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"							
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"							
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on Mar 10, 2025 8:49:06 PM"							
---							
Caveats:							
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"							
http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision.							
2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:							
http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable.							
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"							
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"							
http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated.							
"4. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"							
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"							
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"							
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"							
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"							
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"							
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"							
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"							
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"							
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"							
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"							
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"							
"postcensal series released by NCHS on June 13, 2013. The population figures for year 2011 are bridged-race estimates of the July"							
"1 resident population, from the Vintage 2011 postcensal series released by NCHS on July 18, 2012. Population figures for 2010"							
are April 1 Census counts. The population figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident							
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"							
figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1							
estimates. Population figures for the infant age groups are the number of live births. <br/><b>Note:</b> Rates and population							
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"							
were available at the time of release.							
"5. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"							
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"							
in information available to individual states and probable errors. Caution should be used in interpreting these data. More							
information can be found at: https://www.cdc.gov/nchs/maternal-mortality/.							
