"Label (Grouping)","New England Division!!Estimate","Middle Atlantic Division!!Estimate","East North Central Division!!Estimate","West North Central Division!!Estimate","South Atlantic Division!!Estimate","East South Central Division!!Estimate","West South Central Division!!Estimate","Mountain Division!!Estimate","Pacific Division!!Estimate"
"        6 to 18 years:","1,086,310","3,169,142","3,754,492","1,804,609","5,170,824","1,588,742","3,718,005","2,108,197","4,230,957"
"            With health insurance coverage","1,059,440","3,052,456","3,602,759","1,717,527","4,862,961","1,517,014","3,322,211","1,962,100","4,090,056"
"            No health insurance coverage","26,870","116,686","151,733","87,082","307,863","71,728","395,794","146,097","140,901"
"        19 to 25 years:","706,453","1,862,908","2,127,743","982,522","2,949,578","893,745","1,953,218","1,181,776","2,336,435"
"            With health insurance coverage","674,886","1,731,558","1,960,914","890,270","2,555,376","782,005","1,541,604","1,032,534","2,155,168"
"            No health insurance coverage","31,567","131,350","166,829","92,252","394,202","111,740","411,614","149,242","181,267"
"        26 to 34 years:","888,401","2,500,513","2,727,702","1,231,962","3,929,828","1,148,921","2,578,639","1,562,708","3,412,395"
"            With health insurance coverage","837,561","2,309,605","2,515,298","1,117,937","3,378,129","998,658","2,029,192","1,371,964","3,123,476"
"            No health insurance coverage","50,840","190,908","212,404","114,025","551,699","150,263","549,447","190,744","288,919"
"        35 to 44 years:","962,297","2,670,347","2,944,491","1,389,901","4,384,958","1,252,093","2,825,839","1,664,383","3,579,423"
"            With health insurance coverage","922,978","2,488,913","2,740,199","1,277,096","3,846,275","1,110,110","2,309,933","1,485,565","3,303,044"
"            No health insurance coverage","39,319","181,434","204,292","112,805","538,683","141,983","515,906","178,818","276,379"
"        45 to 54 years:","936,540","2,577,355","2,812,435","1,190,073","4,209,816","1,200,774","2,496,307","1,453,994","3,235,247"
"            With health insurance coverage","896,917","2,431,041","2,623,244","1,102,353","3,754,650","1,089,537","2,077,656","1,292,908","2,988,035"
"            No health insurance coverage","39,623","146,314","189,191","87,720","455,166","111,237","418,651","161,086","247,212"
"        55 to 64 years:","1,091,726","2,876,699","3,121,777","1,376,175","4,512,474","1,293,513","2,402,600","1,492,759","3,202,291"
"            With health insurance coverage","1,058,569","2,750,158","2,962,415","1,294,432","4,107,731","1,193,681","2,092,537","1,371,964","3,014,938"
"            No health insurance coverage","33,157","126,541","159,362","81,743","404,743","99,832","310,063","120,795","187,353"
"        65 to 74 years:","871,669","2,321,538","2,599,803","1,146,659","3,835,268","1,091,967","1,907,835","1,331,753","2,655,870"
"            With health insurance coverage","867,103","2,298,289","2,583,343","1,141,026","3,792,170","1,085,955","1,876,091","1,317,191","2,625,303"
"            No health insurance coverage","4,566","23,249","16,460","5,633","43,098","6,012","31,744","14,562","30,567"
"        75 years and over:","658,388","1,869,327","1,911,927","856,610","2,925,620","767,351","1,323,403","936,532","2,019,085"
"            With health insurance coverage","655,577","1,859,343","1,905,408","853,058","2,907,869","765,123","1,310,419","930,932","2,003,968"
"            No health insurance coverage","2,811","9,984","6,519","3,552","17,751","2,228","12,984","5,600","15,117"
