"Label (Grouping)","New England Division!!Estimate","Middle Atlantic Division!!Estimate","East North Central Division!!Estimate","West North Central Division!!Estimate","South Atlantic Division!!Estimate","East South Central Division!!Estimate","West South Central Division!!Estimate","Mountain Division!!Estimate","Pacific Division!!Estimate"
"            With health insurance coverage","812,411","2,123,895","2,353,985","1,029,330","2,796,870","878,077","1,579,894","1,054,429","2,462,848"
"            No health insurance coverage","117,574","495,356","579,718","207,278","1,032,856","284,548","740,187","347,968","887,502"
"        45 to 54 years:","1,106,491","2,969,189","3,369,399","1,483,239","4,150,707","1,261,734","2,405,044","1,461,303","3,441,989"
"            With health insurance coverage","995,757","2,565,137","2,833,129","1,291,519","3,262,044","1,016,589","1,808,883","1,160,886","2,714,861"
"            No health insurance coverage","110,734","404,052","536,270","191,720","888,663","245,145","596,161","300,417","727,128"
"        55 to 64 years:","886,480","2,370,771","2,730,428","1,201,294","3,409,054","1,075,563","1,882,525","1,232,221","2,737,377"
"            With health insurance coverage","829,627","2,144,255","2,446,851","1,100,972","2,927,553","952,498","1,561,204","1,067,686","2,317,128"
"            No health insurance coverage","56,853","226,516","283,577","100,322","481,501","123,065","321,321","164,535","420,249"
"        65 to 74 years:","482,691","1,329,362","1,507,925","675,484","2,129,025","642,157","1,064,085","733,954","1,470,491"
"            With health insurance coverage","479,065","1,310,744","1,497,190","672,618","2,102,120","638,171","1,046,152","726,116","1,441,142"
"            No health insurance coverage","3,626","18,618","10,735","2,866","26,905","3,986","17,933","7,838","29,349"
"        75 years and over:","358,521","1,014,716","1,074,288","501,781","1,432,462","388,847","677,294","482,147","1,062,922"
"            With health insurance coverage","357,343","1,007,591","1,070,816","500,414","1,424,500","387,944","670,601","478,985","1,054,976"
"            No health insurance coverage","1,178","7,125","3,472","1,367","7,962","903","6,693","3,162","7,946"
"    Female:","7,354,782","20,840,067","23,415,200","10,257,715","30,397,840","9,357,761","18,270,803","10,977,955","24,962,086"
"        Under 6 years:","470,360","1,426,035","1,734,278","814,806","2,206,008","704,530","1,591,435","947,209","1,957,902"
"            With health insurance coverage","459,646","1,360,206","1,651,921","774,445","2,052,291","671,098","1,443,023","851,283","1,837,486"
"            No health insurance coverage","10,714","65,829","82,357","40,361","153,717","33,432","148,412","95,926","120,416"
"        6 to 17 years:","1,066,131","3,040,617","3,691,371","1,602,082","4,503,154","1,440,997","3,118,164","1,825,306","4,009,570"
"            With health insurance coverage","1,031,971","2,875,948","3,483,349","1,495,429","4,045,688","1,345,463","2,679,808","1,585,386","3,616,639"
"            No health insurance coverage","34,160","164,669","208,022","106,653","457,466","95,534","438,356","239,920","392,931"
"        18 to 24 years:","708,132","1,973,705","2,216,279","992,860","2,854,628","902,630","1,809,118","1,061,756","2,461,453"
"            With health insurance coverage","628,132","1,598,303","1,741,642","795,117","2,036,349","659,517","1,142,898","764,866","1,748,672"
"            No health insurance coverage","80,000","375,402","474,637","197,743","818,279","243,113","666,220","296,890","712,781"
"        25 to 34 years:","882,159","2,650,518","2,931,179","1,317,469","3,859,244","1,182,259","2,519,464","1,495,372","3,440,109"
"            With health insurance coverage","792,181","2,180,886","2,384,536","1,082,678","2,829,070","897,936","1,658,249","1,119,481","2,589,018"
"            No health insurance coverage","89,978","469,632","546,643","234,791","1,030,174","284,323","861,215","375,891","851,091"
"        35 to 44 years:","988,752","2,768,092","3,023,155","1,262,685","4,106,284","1,223,258","2,436,644","1,403,599","3,395,153"
"            With health insurance coverage","914,866","2,402,275","2,577,654","1,086,256","3,222,729","988,805","1,743,033","1,112,651","2,703,641"
"            No health insurance coverage","73,886","365,817","445,501","176,429","883,555","234,453","693,611","290,948","691,512"
"        45 to 54 years:","1,170,179","3,159,070","3,499,881","1,510,798","4,462,658","1,359,965","2,530,697","1,504,213","3,555,035"
"            With health insurance coverage","1,086,271","2,811,822","3,017,926","1,343,726","3,625,378","1,130,721","1,952,920","1,233,796","2,897,637"
"            No health insurance coverage","83,908","347,248","481,955","167,072","837,280","229,244","577,777","270,417","657,398"
"        55 to 64 years:","953,797","2,602,617","2,909,170","1,246,816","3,815,253","1,177,950","2,035,523","1,302,003","2,918,573"
"            With health insurance coverage","895,703","2,368,030","2,585,921","1,134,298","3,251,311","1,029,541","1,668,434","1,119,080","2,472,660"
"            No health insurance coverage","58,094","234,587","323,249","112,518","563,942","148,409","367,089","182,923","445,913"
"        65 to 74 years:","557,569","1,601,817","1,745,453","762,593","2,469,482","746,388","1,220,051","796,834","1,679,029"
"            With health insurance coverage","553,870","1,579,740","1,729,646","758,969","2,431,191","742,854","1,195,871","786,233","1,645,447"
"            No health insurance coverage","3,699","22,077","15,807","3,624","38,291","3,534","24,180","10,601","33,582"
"        75 years and over:","557,703","1,617,596","1,664,434","747,606","2,121,129","619,784","1,009,707","641,663","1,545,262"
"            With health insurance coverage","556,758","1,608,215","1,657,061","746,037","2,103,287","618,060","997,487","637,354","1,530,580"
"            No health insurance coverage","945","9,381","7,373","1,569","17,842","1,724","12,220","4,309","14,682"
