"Label (Grouping)","New England Division!!Estimate","Middle Atlantic Division!!Estimate","East North Central Division!!Estimate","West North Central Division!!Estimate","South Atlantic Division!!Estimate","East South Central Division!!Estimate","West South Central Division!!Estimate","Mountain Division!!Estimate","Pacific Division!!Estimate"
"            With health insurance coverage","1,034,649","2,741,759","2,956,106","1,242,446","3,870,996","1,149,322","2,065,647","1,295,861","3,181,861"
"            No health insurance coverage","45,910","185,946","195,448","96,482","538,736","133,201","424,249","154,887","280,149"
"        55 to 64 years:","1,073,015","2,876,702","3,237,736","1,418,900","4,328,113","1,293,196","2,350,411","1,489,047","3,313,406"
"            With health insurance coverage","1,036,871","2,742,068","3,073,572","1,341,023","3,912,854","1,197,199","2,061,769","1,367,144","3,115,832"
"            No health insurance coverage","36,144","134,634","164,164","77,877","415,259","95,997","288,642","121,903","197,574"
"        65 to 74 years:","729,140","1,994,417","2,201,293","956,095","3,302,122","937,690","1,607,509","1,104,804","2,294,412"
"            With health insurance coverage","726,754","1,973,556","2,185,838","952,339","3,261,477","934,089","1,581,933","1,092,575","2,265,867"
"            No health insurance coverage","2,386","20,861","15,455","3,756","40,645","3,601","25,576","12,229","28,545"
"        75 years and over:","576,101","1,642,151","1,724,725","780,074","2,430,921","675,968","1,143,843","768,838","1,735,549"
"            With health insurance coverage","574,468","1,632,501","1,719,959","777,938","2,415,543","673,856","1,131,371","765,044","1,724,177"
"            No health insurance coverage","1,633","9,650","4,766","2,136","15,378","2,112","12,472","3,794","11,372"
