"Label (Grouping)","Alabama!!Total!!Estimate","Alabama!!Number Uninsured!!Estimate","Alabama!!Percent Uninsured!!Estimate","Alaska!!Total!!Estimate","Alaska!!Number Uninsured!!Estimate","Alaska!!Percent Uninsured!!Estimate","Arizona!!Total!!Estimate","Arizona!!Number Uninsured!!Estimate","Arizona!!Percent Uninsured!!Estimate","Arkansas!!Total!!Estimate","Arkansas!!Number Uninsured!!Estimate","Arkansas!!Percent Uninsured!!Estimate","California!!Total!!Estimate","California!!Number Uninsured!!Estimate","California!!Percent Uninsured!!Estimate","Colorado!!Total!!Estimate","Colorado!!Number Uninsured!!Estimate","Colorado!!Percent Uninsured!!Estimate","Connecticut!!Total!!Estimate","Connecticut!!Number Uninsured!!Estimate","Connecticut!!Percent Uninsured!!Estimate","Delaware!!Total!!Estimate","Delaware!!Number Uninsured!!Estimate","Delaware!!Percent Uninsured!!Estimate","District of Columbia!!Total!!Estimate","District of Columbia!!Number Uninsured!!Estimate","District of Columbia!!Percent Uninsured!!Estimate","Florida!!Total!!Estimate","Florida!!Number Uninsured!!Estimate","Florida!!Percent Uninsured!!Estimate","Georgia!!Total!!Estimate","Georgia!!Number Uninsured!!Estimate","Georgia!!Percent Uninsured!!Estimate","Hawaii!!Total!!Estimate","Hawaii!!Number Uninsured!!Estimate","Hawaii!!Percent Uninsured!!Estimate","Idaho!!Total!!Estimate","Idaho!!Number Uninsured!!Estimate","Idaho!!Percent Uninsured!!Estimate","Illinois!!Total!!Estimate","Illinois!!Number Uninsured!!Estimate","Illinois!!Percent Uninsured!!Estimate","Indiana!!Total!!Estimate","Indiana!!Number Uninsured!!Estimate","Indiana!!Percent Uninsured!!Estimate","Iowa!!Total!!Estimate","Iowa!!Number Uninsured!!Estimate","Iowa!!Percent Uninsured!!Estimate","Kansas!!Total!!Estimate","Kansas!!Number Uninsured!!Estimate","Kansas!!Percent Uninsured!!Estimate","Kentucky!!Total!!Estimate","Kentucky!!Number Uninsured!!Estimate","Kentucky!!Percent Uninsured!!Estimate","Louisiana!!Total!!Estimate","Louisiana!!Number Uninsured!!Estimate","Louisiana!!Percent Uninsured!!Estimate","Maine!!Total!!Estimate","Maine!!Number Uninsured!!Estimate","Maine!!Percent Uninsured!!Estimate","Maryland!!Total!!Estimate","Maryland!!Number Uninsured!!Estimate","Maryland!!Percent Uninsured!!Estimate","Massachusetts!!Total!!Estimate","Massachusetts!!Number Uninsured!!Estimate","Massachusetts!!Percent Uninsured!!Estimate","Michigan!!Total!!Estimate","Michigan!!Number Uninsured!!Estimate","Michigan!!Percent Uninsured!!Estimate","Minnesota!!Total!!Estimate","Minnesota!!Number Uninsured!!Estimate","Minnesota!!Percent Uninsured!!Estimate","Mississippi!!Total!!Estimate","Mississippi!!Number Uninsured!!Estimate","Mississippi!!Percent Uninsured!!Estimate","Missouri!!Total!!Estimate","Missouri!!Number Uninsured!!Estimate","Missouri!!Percent Uninsured!!Estimate","Montana!!Total!!Estimate","Montana!!Number Uninsured!!Estimate","Montana!!Percent Uninsured!!Estimate","Nebraska!!Total!!Estimate","Nebraska!!Number Uninsured!!Estimate","Nebraska!!Percent Uninsured!!Estimate","Nevada!!Total!!Estimate","Nevada!!Number Uninsured!!Estimate","Nevada!!Percent Uninsured!!Estimate","New Hampshire!!Total!!Estimate","New Hampshire!!Number Uninsured!!Estimate","New Hampshire!!Percent Uninsured!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Number Uninsured!!Estimate","New Jersey!!Percent Uninsured!!Estimate","New Mexico!!Total!!Estimate","New Mexico!!Number Uninsured!!Estimate","New Mexico!!Percent Uninsured!!Estimate","New York!!Total!!Estimate","New York!!Number Uninsured!!Estimate","New York!!Percent Uninsured!!Estimate","North Carolina!!Total!!Estimate","North Carolina!!Number Uninsured!!Estimate","North Carolina!!Percent Uninsured!!Estimate","North Dakota!!Total!!Estimate","North Dakota!!Number Uninsured!!Estimate","North Dakota!!Percent Uninsured!!Estimate","Ohio!!Total!!Estimate","Ohio!!Number Uninsured!!Estimate","Ohio!!Percent Uninsured!!Estimate","Oklahoma!!Total!!Estimate","Oklahoma!!Number Uninsured!!Estimate","Oklahoma!!Percent Uninsured!!Estimate","Oregon!!Total!!Estimate","Oregon!!Number Uninsured!!Estimate","Oregon!!Percent Uninsured!!Estimate","Pennsylvania!!Total!!Estimate","Pennsylvania!!Number Uninsured!!Estimate","Pennsylvania!!Percent Uninsured!!Estimate","Rhode Island!!Total!!Estimate","Rhode Island!!Number Uninsured!!Estimate","Rhode Island!!Percent Uninsured!!Estimate","South Carolina!!Total!!Estimate","South Carolina!!Number Uninsured!!Estimate","South Carolina!!Percent Uninsured!!Estimate","South Dakota!!Total!!Estimate","South Dakota!!Number Uninsured!!Estimate","South Dakota!!Percent Uninsured!!Estimate","Tennessee!!Total!!Estimate","Tennessee!!Number Uninsured!!Estimate","Tennessee!!Percent Uninsured!!Estimate","Texas!!Total!!Estimate","Texas!!Number Uninsured!!Estimate","Texas!!Percent Uninsured!!Estimate","Utah!!Total!!Estimate","Utah!!Number Uninsured!!Estimate","Utah!!Percent Uninsured!!Estimate","Vermont!!Total!!Estimate","Vermont!!Number Uninsured!!Estimate","Vermont!!Percent Uninsured!!Estimate","Virginia!!Total!!Estimate","Virginia!!Number Uninsured!!Estimate","Virginia!!Percent Uninsured!!Estimate","Washington!!Total!!Estimate","Washington!!Number Uninsured!!Estimate","Washington!!Percent Uninsured!!Estimate","West Virginia!!Total!!Estimate","West Virginia!!Number Uninsured!!Estimate","West Virginia!!Percent Uninsured!!Estimate","Wisconsin!!Total!!Estimate","Wisconsin!!Number Uninsured!!Estimate","Wisconsin!!Percent Uninsured!!Estimate","Wyoming!!Total!!Estimate","Wyoming!!Number Uninsured!!Estimate","Wyoming!!Percent Uninsured!!Estimate","Puerto Rico!!Total!!Estimate","Puerto Rico!!Number Uninsured!!Estimate","Puerto Rico!!Percent Uninsured!!Estimate"
"        White alone","3,269,515","405,080","12.4%","466,353","73,774","15.8%","5,068,886","794,337","15.7%","2,259,755","362,335","16.0%","23,389,626","3,865,488","16.5%","4,252,010","589,900","13.9%","2,749,750","192,239","7.0%","628,933","53,369","8.5%","243,473","12,093","5.0%","14,346,067","2,756,573","19.2%","5,861,851","975,750","16.6%","317,272","27,698","8.7%","1,448,718","232,737","16.1%","9,217,670","982,721","10.7%","5,440,140","723,347","13.3%","2,762,888","227,355","8.2%","2,397,997","269,399","11.2%","3,772,577","520,394","13.8%","2,827,521","413,369","14.6%","1,251,337","132,203","10.6%","3,365,520","272,996","8.1%","5,242,841","185,546","3.5%","7,761,963","836,835","10.8%","4,531,711","338,441","7.5%","1,737,101","265,937","15.3%","4,910,675","604,675","12.3%","878,958","140,074","15.9%","1,600,664","161,288","10.1%","1,924,839","402,488","20.9%","1,227,747","125,634","10.2%","6,045,880","633,163","10.5%","1,468,823","238,718","16.3%","12,561,895","1,084,015","8.6%","6,644,760","951,213","14.3%","601,979","47,120","7.8%","9,445,948","1,041,756","11.0%","2,740,357","444,188","16.2%","3,248,444","465,941","14.3%","10,356,467","936,701","9.0%","846,493","75,863","9.0%","3,079,252","446,891","14.5%","693,608","61,800","8.9%","4,922,243","646,164","13.1%","18,826,788","4,100,804","21.8%","2,464,359","338,154","13.7%","590,510","37,475","6.3%","5,489,747","573,584","10.4%","5,272,731","665,605","12.6%","1,720,342","252,369","14.7%","4,924,996","393,741","8.0%","507,818","70,977","14.0%","2,522,513","176,662","7.0%"
"        Black or African American alone","1,250,035","214,708","17.2%","21,333","3,288","15.4%","252,686","46,062","18.2%","448,648","82,195","18.3%","2,158,323","326,798","15.1%","190,283","32,099","16.9%","348,406","42,307","12.1%","187,121","18,535","9.9%","303,344","24,146","8.0%","2,949,071","738,409","25.0%","2,936,735","633,730","21.6%","20,316","1,109","5.5%","8,160","1,326","16.3%","1,806,340","319,717","17.7%","567,226","110,144","19.4%","83,556","10,798","12.9%","158,641","27,791","17.5%","332,264","67,303","20.3%","1,419,535","309,047","21.8%","13,361","1,277","9.6%","1,690,072","191,350","11.3%","442,728","31,808","7.2%","1,351,194","220,307","16.3%","271,528","40,895","15.1%","1,086,907","226,046","20.8%","662,880","133,407","20.1%","4,023","1,472","36.6%","81,133","13,907","17.1%","216,119","44,895","20.8%","14,109","2,303","16.3%","1,143,987","174,230","15.2%","41,840","5,057","12.1%","2,956,199","392,641","13.3%","2,034,812","372,392","18.3%","6,518","769","11.8%","1,347,057","222,303","16.5%","260,475","53,931","20.7%","67,592","11,133","16.5%","1,314,468","185,482","14.1%","61,876","10,757","17.4%","1,266,586","244,360","19.3%","8,591","2,250","26.2%","1,041,504","180,761","17.4%","2,896,424","592,920","20.5%","31,212","5,825","18.7%","4,863","786","16.2%","1,514,799","238,888","15.8%","227,951","45,481","20.0%","50,475","10,597","21.0%","339,554","47,556","14.0%","4,714","1,659","35.2%","286,666","32,387","11.3%"
"        American Indian and Alaska Native alone","23,925","3,762","15.7%","99,999","37,949","37.9%","283,758","78,087","27.5%","16,534","3,180","19.2%","281,437","67,769","24.1%","48,934","12,570","25.7%","7,172","1,065","14.8%","2,770","701","25.3%","N","N","N","61,871","20,608","33.3%","24,174","7,874","32.6%","3,046","146","4.8%","19,534","5,536","28.3%","24,947","4,895","19.6%","12,426","2,813","22.6%","11,478","2,754","24.0%","23,123","6,261","27.1%","9,395","1,607","17.1%","28,355","8,770","30.9%","8,104","1,706","21.1%","13,852","1,921","13.9%","12,887","933","7.2%","52,961","9,730","18.4%","59,443","13,383","22.5%","11,681","3,261","27.9%","21,336","4,814","22.6%","64,839","27,759","42.8%","17,504","5,152","29.4%","32,137","8,968","27.9%","2,144","693","32.3%","20,710","4,418","21.3%","187,264","73,175","39.1%","66,766","11,256","16.9%","108,851","27,576","25.3%","37,491","12,978","34.6%","18,916","3,512","18.6%","256,104","77,705","30.3%","50,632","14,249","28.1%","16,347","2,364","14.5%","4,278","665","15.5%","12,845","3,129","24.4%","69,524","24,715","35.5%","18,391","4,946","26.9%","126,141","29,821","23.6%","31,339","11,317","36.1%","2,137","407","19.0%","23,066","4,630","20.1%","89,041","20,524","23.1%","2,511","446","17.8%","46,075","10,383","22.5%","11,882","3,198","26.9%","8,169","833","10.2%"
"        Asian alone","53,772","10,299","19.2%","37,159","9,612","25.9%","175,837","26,507","15.1%","34,342","8,655","25.2%","4,944,665","721,649","14.6%","142,057","27,100","19.1%","140,560","15,290","10.9%","29,831","2,598","8.7%","22,443","1,433","6.4%","460,242","104,217","22.6%","321,376","85,254","26.5%","516,360","29,335","5.7%","20,746","3,590","17.3%","596,077","91,517","15.4%","102,591","15,824","15.4%","55,733","7,779","14.0%","67,081","10,684","15.9%","50,017","7,055","14.1%","71,908","22,608","31.4%","13,456","2,262","16.8%","327,511","41,937","12.8%","365,280","17,715","4.8%","241,292","28,149","11.7%","215,580","26,234","12.2%","26,391","8,959","33.9%","95,612","15,361","16.1%","5,652","1,806","32.0%","34,346","4,530","13.2%","193,315","35,494","18.4%","28,967","4,527","15.6%","745,667","105,258","14.1%","25,368","4,747","18.7%","1,443,820","226,608","15.7%","209,469","37,465","17.9%","6,885","1,162","16.9%","194,086","23,470","12.1%","64,937","9,971","15.4%","152,534","25,443","16.7%","356,816","56,672","15.9%","32,711","3,992","12.2%","62,563","14,266","22.8%","7,787","1,283","16.5%","92,181","14,675","15.9%","992,848","220,530","22.2%","56,340","7,734","13.7%","7,730","951","12.3%","451,155","70,460","15.6%","498,894","70,094","14.0%","11,436","1,888","16.5%","130,018","18,486","14.2%","4,726","269","5.7%","9,472","2,072","21.9%"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","7,551","1,060","14.0%","11,100","3,347","30.2%","7,064","2,481","35.1%","144,054","29,830","20.7%","5,429","1,100","20.3%","N","N","N","N","N","N","N","N","N","12,289","2,864","23.3%","N","N","N","126,035","11,732","9.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","5,472","2,134","39.0%","N","N","N","N","N","N","16,181","4,607","28.5%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","5,358","1,398","26.1%","14,978","4,338","29.0%","2,001","234","11.7%","N","N","N","N","N","N","N","N","N","2,274","385","16.9%","17,880","5,441","30.4%","26,846","5,669","21.1%","N","N","N","N","N","N","38,957","5,948","15.3%","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some other race alone","57,643","30,463","52.8%","7,912","1,171","14.8%","394,538","111,884","28.4%","62,379","21,658","34.7%","4,672,723","1,495,963","32.0%","219,176","72,978","33.3%","189,455","50,097","26.4%","19,572","6,737","34.4%","24,192","3,755","15.5%","506,518","205,965","40.7%","282,580","146,153","51.7%","15,877","1,603","10.1%","28,617","9,829","34.3%","781,506","231,229","29.6%","155,730","61,071","39.2%","42,857","13,261","30.9%","70,424","25,887","36.8%","40,313","12,768","31.7%","46,790","20,020","42.8%","N","N","N","188,599","75,185","39.9%","276,717","29,452","10.6%","103,926","26,857","25.8%","74,189","30,087","40.6%","15,992","7,703","48.2%","60,577","23,945","39.5%","5,108","2,591","50.7%","40,012","16,666","41.7%","200,177","74,643","37.3%","N","N","N","538,460","187,282","34.8%","259,614","73,083","28.2%","1,654,618","414,023","25.0%","259,831","126,147","48.5%","4,278","1,689","39.5%","97,213","31,759","32.7%","88,558","38,881","43.9%","166,684","62,085","37.2%","252,039","58,295","23.1%","61,487","17,372","28.3%","74,182","39,730","53.6%","6,472","2,137","33.0%","105,626","54,967","52.0%","1,748,499","731,370","41.8%","111,234","45,384","40.8%","N","N","N","169,221","63,229","37.4%","275,202","104,838","38.1%","N","N","N","76,841","23,986","31.2%","14,451","5,959","41.2%","359,403","34,630","9.6%"
"    Two or more races","63,284","9,353","14.8%","58,965","13,806","23.4%","191,475","34,786","18.2%","56,490","11,806","20.9%","1,570,961","218,107","13.9%","166,996","23,872","14.3%","85,950","7,867","9.2%","23,883","2,055","8.6%","12,760","580","4.5%","416,236","82,745","19.9%","187,615","33,164","17.7%","327,159","22,776","7.0%","38,583","5,626","14.6%","260,088","28,941","11.1%","138,745","17,561","12.7%","59,943","7,260","12.1%","94,821","14,408","15.2%","79,075","9,164","11.6%","75,987","9,968","13.1%","24,486","2,060","8.4%","149,215","14,962","10.0%","166,294","11,455","6.9%","248,924","27,185","10.9%","133,514","18,126","13.6%","33,671","4,462","13.3%","142,416","23,078","16.2%","23,666","5,779","24.4%","40,036","5,373","13.4%","104,221","17,699","17.0%","22,083","1,938","8.8%","215,139","34,417","16.0%","63,165","11,209","17.7%","519,769","65,056","12.5%","199,432","29,773","14.9%","12,160","1,730","14.2%","263,958","31,388","11.9%","294,579","67,471","22.9%","131,776","19,188","14.6%","241,619","24,800","10.3%","28,084","3,135","11.2%","81,768","17,673","21.6%","19,506","3,723","19.1%","120,132","20,752","17.3%","588,873","108,960","18.5%","68,318","11,981","17.5%","13,468","1,000","7.4%","234,512","31,123","13.3%","314,046","40,140","12.8%","37,501","5,968","15.9%","115,153","12,275","10.7%","15,063","3,747","24.9%","494,116","34,057","6.9%"
"White alone, not Hispanic or Latino","3,156,182","362,991","11.5%","444,477","68,996","15.5%","3,664,302","399,325","10.9%","2,147,245","321,922","15.0%","14,692,607","1,565,619","10.7%","3,509,787","395,536","11.3%","2,495,657","147,453","5.9%","582,208","40,476","7.0%","214,969","8,420","3.9%","10,770,477","1,606,666","14.9%","5,352,353","755,983","14.1%","291,137","25,004","8.6%","1,308,626","186,978","14.3%","8,023,512","687,163","8.6%","5,225,891","667,122","12.8%","2,669,187","205,719","7.7%","2,190,447","210,619","9.6%","3,698,444","497,411","13.4%","2,700,216","367,041","13.6%","1,238,847","130,742","10.6%","3,116,067","203,153","6.5%","4,932,959","160,355","3.3%","7,469,666","780,394","10.4%","4,378,122","298,385","6.8%","1,688,456","244,502","14.5%","4,778,328","570,938","11.9%","860,817","137,173","15.9%","1,484,620","130,624","8.8%","1,437,756","220,378","15.3%","1,199,700","119,313","9.9%","5,113,217","386,047","7.5%","819,725","91,745","11.2%","11,122,773","796,329","7.2%","6,152,740","743,425","12.1%","593,479","45,816","7.7%","9,225,534","993,933","10.8%","2,536,374","366,650","14.5%","2,988,511","393,428","13.2%","9,954,357","853,193","8.6%","784,953","64,394","8.2%","2,938,453","391,618","13.3%","682,656","57,005","8.4%","4,759,157","582,602","12.2%","11,274,310","1,523,460","13.5%","2,229,425","253,012","11.3%","583,508","37,035","6.3%","5,092,671","445,038","8.7%","4,835,684","536,700","11.1%","1,705,869","250,219","14.7%","4,688,805","339,291","7.2%","479,088","64,112","13.4%","27,854","3,219","11.6%"
"Hispanic or Latino (of any race)","182,653","75,827","41.5%","39,551","8,353","21.1%","1,915,826","532,713","27.8%","187,080","66,987","35.8%","14,198,572","3,948,802","27.8%","1,051,033","286,642","27.3%","485,938","98,914","20.4%","75,778","20,382","26.9%","58,394","7,578","13.0%","4,311,893","1,423,465","33.0%","862,265","388,362","45.0%","120,712","10,962","9.1%","178,946","58,439","32.7%","2,062,677","539,467","26.2%","395,373","120,963","30.6%","151,947","38,596","25.4%","301,331","87,356","29.0%","127,008","39,855","31.4%","191,506","73,320","38.3%","17,783","2,093","11.8%","483,786","151,757","31.4%","641,067","59,227","9.2%","443,033","90,689","20.5%","253,235","75,128","29.7%","73,629","30,259","41.1%","211,385","62,944","29.8%","28,609","7,269","25.4%","170,812","50,794","29.7%","729,100","266,230","36.5%","37,996","8,705","22.9%","1,585,223","455,891","28.8%","959,088","229,849","24.0%","3,456,373","754,790","21.8%","812,086","350,083","43.1%","14,396","3,135","21.8%","356,171","84,322","23.7%","341,405","128,511","37.6%","461,066","142,424","30.9%","730,583","151,850","20.8%","133,672","30,082","22.5%","234,237","98,106","41.9%","21,889","8,429","38.5%","291,519","126,149","43.3%","9,652,198","3,393,605","35.2%","369,200","136,478","37.0%","8,975","864","9.6%","632,730","205,588","32.5%","776,593","244,015","31.4%","19,592","3,318","16.9%","340,099","82,577","24.3%","50,547","14,527","28.7%","3,642,392","275,283","7.6%"
"NATIVITY AND CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Native born","4,559,213","600,350","13.2%","648,468","124,847","19.3%","5,521,746","772,357","14.0%","2,757,649","433,561","15.7%","27,046,170","3,487,071","12.9%","4,538,230","567,251","12.5%","3,048,362","192,511","6.3%","815,965","61,166","7.5%","525,189","31,176","5.9%","15,075,829","2,477,573","16.4%","8,688,921","1,441,612","16.6%","1,083,112","70,332","6.5%","1,470,864","216,594","14.7%","10,901,123","1,083,796","9.9%","6,112,993","825,335","13.5%","2,885,442","232,314","8.1%","2,616,491","281,164","10.7%","4,146,622","576,537","13.9%","4,304,248","704,897","16.4%","1,271,512","134,709","10.6%","4,929,790","371,074","7.5%","5,529,621","183,486","3.3%","9,163,166","1,018,918","11.1%","4,900,965","375,753","7.7%","2,852,270","485,393","17.0%","5,657,772","732,383","12.9%","963,318","175,107","18.2%","1,699,768","161,645","9.5%","2,168,805","385,510","17.8%","1,230,428","123,054","10.0%","6,832,536","580,563","8.5%","1,840,481","304,114","16.5%","14,919,275","1,176,587","7.9%","8,761,115","1,208,529","13.8%","653,050","62,602","9.6%","10,918,148","1,244,569","11.4%","3,504,066","595,285","17.0%","3,458,054","469,395","13.6%","11,792,214","1,086,585","9.2%","894,306","77,490","8.7%","4,360,459","670,161","15.4%","783,938","87,999","11.2%","5,997,852","784,105","13.1%","21,050,877","3,730,916","17.7%","2,553,105","329,287","12.9%","596,154","38,229","6.4%","6,996,749","715,902","10.2%","5,815,457","680,662","11.7%","1,804,003","268,318","14.9%","5,366,927","431,465","8.0%","540,781","76,816","14.2%","3,568,082","251,099","7.0%"
"    Foreign born","160,854","73,614","45.8%","50,804","15,813","31.1%","856,534","322,653","37.7%","127,563","58,749","46.1%","10,115,619","3,238,533","32.0%","486,655","192,368","39.5%","474,347","116,434","24.5%","76,167","22,829","30.0%","82,976","10,831","13.1%","3,676,465","1,433,808","39.0%","930,819","441,146","47.4%","242,953","24,067","9.9%","94,781","42,500","44.8%","1,786,883","575,479","32.2%","304,651","105,494","34.6%","132,023","37,176","28.2%","197,039","73,466","37.3%","137,735","41,921","30.4%","168,820","79,118","46.9%","42,609","5,456","12.8%","806,798","227,370","28.2%","977,975","93,454","9.6%","599,140","130,993","21.9%","385,763","91,680","23.8%","59,541","31,020","52.1%","241,196","75,031","31.1%","19,896","4,468","22.5%","114,620","45,449","39.7%","518,184","203,284","39.2%","73,440","13,868","18.9%","1,880,446","558,541","29.7%","206,761","102,070","49.4%","4,289,144","1,018,762","23.8%","699,903","336,378","48.1%","16,375","2,846","17.4%","450,954","109,862","24.4%","206,302","98,260","47.6%","374,586","132,982","35.5%","747,543","177,963","23.8%","140,811","34,344","24.4%","218,772","96,143","43.9%","21,567","7,909","36.7%","304,499","138,545","45.5%","4,146,576","2,058,930","49.7%","236,543","96,777","40.9%","24,005","2,980","12.4%","890,415","266,959","30.0%","901,365","271,968","30.2%","22,482","3,969","17.7%","267,136","75,209","28.2%","18,051","9,015","49.9%","112,257","29,542","26.3%"
"        Naturalized","56,926","10,825","19.0%","25,951","5,559","21.4%","324,870","62,965","19.4%","35,960","9,594","26.7%","4,735,084","780,171","16.5%","174,545","26,972","15.5%","234,106","22,403","9.6%","32,467","3,944","12.1%","31,117","2,103","6.8%","1,827,185","410,856","22.5%","369,836","95,951","25.9%","135,067","6,994","5.2%","30,919","5,993","19.4%","830,774","125,454","15.1%","106,667","18,793","17.6%","49,382","6,164","12.5%","66,694","11,719","17.6%","48,972","7,289","14.9%","68,460","18,771","27.4%","23,713","1,747","7.4%","369,984","45,212","12.2%","497,655","21,546","4.3%","304,706","41,582","13.6%","177,552","20,886","11.8%","20,481","5,824","28.4%","100,116","18,142","18.1%","9,507","1,429","15.0%","40,832","9,292","22.8%","212,394","39,740","18.7%","37,961","3,593","9.5%","952,573","135,308","14.2%","68,044","17,254","25.4%","2,220,745","259,736","11.7%","230,418","43,535","18.9%","5,611","996","17.8%","223,751","26,264","11.7%","69,340","14,243","20.5%","142,777","18,737","13.1%","392,707","53,911","13.7%","70,390","8,294","11.8%","73,759","12,409","16.8%","6,332","1,262","19.9%","105,660","25,657","24.3%","1,384,229","365,431","26.4%","85,661","15,141","17.7%","14,641","1,195","8.2%","417,718","63,007","15.1%","412,606","70,143","17.0%","10,462","1,087","10.4%","118,327","15,435","13.0%","5,768","1,208","20.9%","45,813","4,045","8.8%"
"        Not a citizen","103,928","62,789","60.4%","24,853","10,254","41.3%","531,664","259,688","48.8%","91,603","49,155","53.7%","5,380,535","2,458,362","45.7%","312,110","165,396","53.0%","240,241","94,031","39.1%","43,700","18,885","43.2%","51,859","8,728","16.8%","1,849,280","1,022,952","55.3%","560,983","345,195","61.5%","107,886","17,073","15.8%","63,862","36,507","57.2%","956,109","450,025","47.1%","197,984","86,701","43.8%","82,641","31,012","37.5%","130,345","61,747","47.4%","88,763","34,632","39.0%","100,360","60,347","60.1%","18,896","3,709","19.6%","436,814","182,158","41.7%","480,320","71,908","15.0%","294,434","89,411","30.4%","208,211","70,794","34.0%","39,060","25,196","64.5%","141,080","56,889","40.3%","10,389","3,039","29.3%","73,788","36,157","49.0%","305,790","163,544","53.5%","35,479","10,275","29.0%","927,873","423,233","45.6%","138,717","84,816","61.1%","2,068,399","759,026","36.7%","469,485","292,843","62.4%","10,764","1,850","17.2%","227,203","83,598","36.8%","136,962","84,017","61.3%","231,809","114,245","49.3%","354,836","124,052","35.0%","70,421","26,050","37.0%","145,013","83,734","57.7%","15,235","6,647","43.6%","198,839","112,888","56.8%","2,762,347","1,693,499","61.3%","150,882","81,636","54.1%","9,364","1,785","19.1%","472,697","203,952","43.1%","488,759","201,825","41.3%","12,020","2,882","24.0%","148,809","59,774","40.2%","12,283","7,807","63.6%","66,444","25,497","38.4%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian noninstitutionalized population 25 years and older","3,122,998","493,698","15.8%","441,530","96,063","21.8%","4,128,470","704,100","17.1%","1,899,529","358,295","18.9%","24,035,787","4,801,413","20.0%","3,315,890","524,286","15.8%","2,396,064","236,694","9.9%","599,003","61,547","10.3%","420,896","31,697","7.5%","13,020,209","2,807,618","21.6%","6,159,122","1,324,104","21.5%","905,655","68,211","7.5%","983,317","177,745","18.1%","8,370,504","1,268,065","15.1%","4,171,420","643,839","15.4%","1,987,684","190,178","9.6%","1,804,947","249,213","13.8%","2,852,581","442,857","15.5%","2,887,985","582,444","20.2%","929,906","107,049","11.5%","3,844,643","448,425","11.7%","4,432,567","202,508","4.6%","6,490,020","852,899","13.1%","3,509,346","306,462","8.7%","1,861,095","360,258","19.4%","3,919,353","575,245","14.7%","665,018","125,710","18.9%","1,172,368","143,214","12.2%","1,782,094","391,387","22.0%","901,777","105,304","11.7%","5,911,830","861,151","14.6%","1,327,182","284,864","21.5%","12,981,412","1,661,780","12.8%","6,253,412","1,124,938","18.0%","437,652","42,482","9.7%","7,595,071","978,406","12.9%","2,403,657","471,347","19.6%","2,611,409","443,650","17.0%","8,538,492","903,926","10.6%","698,040","79,034","11.3%","3,038,935","548,849","18.1%","522,557","64,804","12.4%","4,210,156","691,384","16.4%","15,687,035","3,893,507","24.8%","1,589,619","258,719","16.3%","428,934","31,727","7.4%","5,261,727","702,325","13.3%","4,498,568","683,175","15.2%","1,269,381","208,165","16.4%","3,764,277","348,096","9.2%","368,673","61,048","16.6%","2,421,001","204,836","8.5%"
"    Less than high school graduate","527,623","137,984","26.2%","36,549","13,169","36.0%","579,171","204,752","35.4%","300,404","83,289","27.7%","4,497,266","1,703,197","37.9%","311,446","120,246","38.6%","253,929","50,551","19.9%","75,541","16,149","21.4%","52,424","6,345","12.1%","1,789,515","608,709","34.0%","945,584","353,915","37.4%","85,433","8,601","10.1%","110,136","39,028","35.4%","1,046,624","324,990","31.1%","514,839","149,470","29.0%","180,166","34,719","19.3%","175,823","53,380","30.4%","472,101","104,181","22.1%","490,927","151,220","30.8%","82,839","11,517","13.9%","418,791","108,136","25.8%","466,931","41,269","8.8%","712,019","139,495","19.6%","271,969","50,899","18.7%","341,663","96,435","28.2%","473,283","119,901","25.3%","50,579","14,895","29.4%","103,177","30,267","29.3%","284,366","114,534","40.3%","76,516","15,659","20.5%","683,078","194,300","28.4%","220,528","85,935","39.0%","1,899,954","408,733","21.5%","942,528","310,642","33.0%","38,300","4,634","12.1%","855,807","188,718","22.1%","321,737","112,412","34.9%","274,635","93,546","34.1%","939,454","165,059","17.6%","102,883","19,335","18.8%","471,656","142,139","30.1%","47,747","11,382","23.8%","648,820","162,513","25.0%","2,925,126","1,362,579","46.6%","152,601","60,099","39.4%","34,680","4,059","11.7%","627,232","165,813","26.4%","443,342","162,678","36.7%","196,268","38,368","19.5%","351,177","68,250","19.4%","29,064","10,285","35.4%","694,802","50,724","7.3%"
