"Label (Grouping)","Alabama!!Total!!Estimate","Alabama!!Number Uninsured!!Estimate","Alabama!!Percent Uninsured!!Estimate","Alaska!!Total!!Estimate","Alaska!!Number Uninsured!!Estimate","Alaska!!Percent Uninsured!!Estimate","Arizona!!Total!!Estimate","Arizona!!Number Uninsured!!Estimate","Arizona!!Percent Uninsured!!Estimate","Arkansas!!Total!!Estimate","Arkansas!!Number Uninsured!!Estimate","Arkansas!!Percent Uninsured!!Estimate","California!!Total!!Estimate","California!!Number Uninsured!!Estimate","California!!Percent Uninsured!!Estimate","Colorado!!Total!!Estimate","Colorado!!Number Uninsured!!Estimate","Colorado!!Percent Uninsured!!Estimate","Connecticut!!Total!!Estimate","Connecticut!!Number Uninsured!!Estimate","Connecticut!!Percent Uninsured!!Estimate","Delaware!!Total!!Estimate","Delaware!!Number Uninsured!!Estimate","Delaware!!Percent Uninsured!!Estimate","District of Columbia!!Total!!Estimate","District of Columbia!!Number Uninsured!!Estimate","District of Columbia!!Percent Uninsured!!Estimate","Florida!!Total!!Estimate","Florida!!Number Uninsured!!Estimate","Florida!!Percent Uninsured!!Estimate","Georgia!!Total!!Estimate","Georgia!!Number Uninsured!!Estimate","Georgia!!Percent Uninsured!!Estimate","Hawaii!!Total!!Estimate","Hawaii!!Number Uninsured!!Estimate","Hawaii!!Percent Uninsured!!Estimate","Idaho!!Total!!Estimate","Idaho!!Number Uninsured!!Estimate","Idaho!!Percent Uninsured!!Estimate","Illinois!!Total!!Estimate","Illinois!!Number Uninsured!!Estimate","Illinois!!Percent Uninsured!!Estimate","Indiana!!Total!!Estimate","Indiana!!Number Uninsured!!Estimate","Indiana!!Percent Uninsured!!Estimate","Iowa!!Total!!Estimate","Iowa!!Number Uninsured!!Estimate","Iowa!!Percent Uninsured!!Estimate","Kansas!!Total!!Estimate","Kansas!!Number Uninsured!!Estimate","Kansas!!Percent Uninsured!!Estimate","Kentucky!!Total!!Estimate","Kentucky!!Number Uninsured!!Estimate","Kentucky!!Percent Uninsured!!Estimate","Louisiana!!Total!!Estimate","Louisiana!!Number Uninsured!!Estimate","Louisiana!!Percent Uninsured!!Estimate","Maine!!Total!!Estimate","Maine!!Number Uninsured!!Estimate","Maine!!Percent Uninsured!!Estimate","Maryland!!Total!!Estimate","Maryland!!Number Uninsured!!Estimate","Maryland!!Percent Uninsured!!Estimate","Massachusetts!!Total!!Estimate","Massachusetts!!Number Uninsured!!Estimate","Massachusetts!!Percent Uninsured!!Estimate","Michigan!!Total!!Estimate","Michigan!!Number Uninsured!!Estimate","Michigan!!Percent Uninsured!!Estimate","Minnesota!!Total!!Estimate","Minnesota!!Number Uninsured!!Estimate","Minnesota!!Percent Uninsured!!Estimate","Mississippi!!Total!!Estimate","Mississippi!!Number Uninsured!!Estimate","Mississippi!!Percent Uninsured!!Estimate","Missouri!!Total!!Estimate","Missouri!!Number Uninsured!!Estimate","Missouri!!Percent Uninsured!!Estimate","Montana!!Total!!Estimate","Montana!!Number Uninsured!!Estimate","Montana!!Percent Uninsured!!Estimate","Nebraska!!Total!!Estimate","Nebraska!!Number Uninsured!!Estimate","Nebraska!!Percent Uninsured!!Estimate","Nevada!!Total!!Estimate","Nevada!!Number Uninsured!!Estimate","Nevada!!Percent Uninsured!!Estimate","New Hampshire!!Total!!Estimate","New Hampshire!!Number Uninsured!!Estimate","New Hampshire!!Percent Uninsured!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Number Uninsured!!Estimate","New Jersey!!Percent Uninsured!!Estimate","New Mexico!!Total!!Estimate","New Mexico!!Number Uninsured!!Estimate","New Mexico!!Percent Uninsured!!Estimate","New York!!Total!!Estimate","New York!!Number Uninsured!!Estimate","New York!!Percent Uninsured!!Estimate","North Carolina!!Total!!Estimate","North Carolina!!Number Uninsured!!Estimate","North Carolina!!Percent Uninsured!!Estimate","North Dakota!!Total!!Estimate","North Dakota!!Number Uninsured!!Estimate","North Dakota!!Percent Uninsured!!Estimate","Ohio!!Total!!Estimate","Ohio!!Number Uninsured!!Estimate","Ohio!!Percent Uninsured!!Estimate","Oklahoma!!Total!!Estimate","Oklahoma!!Number Uninsured!!Estimate","Oklahoma!!Percent Uninsured!!Estimate","Oregon!!Total!!Estimate","Oregon!!Number Uninsured!!Estimate","Oregon!!Percent Uninsured!!Estimate","Pennsylvania!!Total!!Estimate","Pennsylvania!!Number Uninsured!!Estimate","Pennsylvania!!Percent Uninsured!!Estimate","Rhode Island!!Total!!Estimate","Rhode Island!!Number Uninsured!!Estimate","Rhode Island!!Percent Uninsured!!Estimate","South Carolina!!Total!!Estimate","South Carolina!!Number Uninsured!!Estimate","South Carolina!!Percent Uninsured!!Estimate","South Dakota!!Total!!Estimate","South Dakota!!Number Uninsured!!Estimate","South Dakota!!Percent Uninsured!!Estimate","Tennessee!!Total!!Estimate","Tennessee!!Number Uninsured!!Estimate","Tennessee!!Percent Uninsured!!Estimate","Texas!!Total!!Estimate","Texas!!Number Uninsured!!Estimate","Texas!!Percent Uninsured!!Estimate","Utah!!Total!!Estimate","Utah!!Number Uninsured!!Estimate","Utah!!Percent Uninsured!!Estimate","Vermont!!Total!!Estimate","Vermont!!Number Uninsured!!Estimate","Vermont!!Percent Uninsured!!Estimate","Virginia!!Total!!Estimate","Virginia!!Number Uninsured!!Estimate","Virginia!!Percent Uninsured!!Estimate","Washington!!Total!!Estimate","Washington!!Number Uninsured!!Estimate","Washington!!Percent Uninsured!!Estimate","West Virginia!!Total!!Estimate","West Virginia!!Number Uninsured!!Estimate","West Virginia!!Percent Uninsured!!Estimate","Wisconsin!!Total!!Estimate","Wisconsin!!Number Uninsured!!Estimate","Wisconsin!!Percent Uninsured!!Estimate","Wyoming!!Total!!Estimate","Wyoming!!Number Uninsured!!Estimate","Wyoming!!Percent Uninsured!!Estimate","Puerto Rico!!Total!!Estimate","Puerto Rico!!Number Uninsured!!Estimate","Puerto Rico!!Percent Uninsured!!Estimate"
"        White alone","3,277,164","413,575","12.6%","463,025","69,443","15.0%","5,022,807","784,627","15.6%","2,250,470","364,233","16.2%","22,998,619","3,874,772","16.8%","4,139,741","603,976","14.6%","2,759,067","196,412","7.1%","627,148","59,336","9.5%","240,292","13,878","5.8%","14,222,212","2,766,855","19.5%","5,798,121","949,019","16.4%","310,774","30,708","9.9%","1,431,716","243,191","17.0%","9,199,957","1,029,298","11.2%","5,448,167","758,307","13.9%","2,752,877","232,959","8.5%","2,394,374","301,711","12.6%","3,758,929","548,966","14.6%","2,806,828","413,709","14.7%","1,252,056","125,093","10.0%","3,356,226","287,414","8.6%","5,257,446","193,961","3.7%","7,764,965","891,245","11.5%","4,527,997","358,593","7.9%","1,732,540","264,758","15.3%","4,897,218","582,664","11.9%","877,743","134,784","15.4%","1,604,166","170,416","10.6%","1,946,617","425,363","21.9%","1,225,293","130,975","10.7%","6,045,855","623,973","10.3%","1,492,676","242,713","16.3%","12,624,255","1,136,564","9.0%","6,543,426","937,478","14.3%","595,376","47,140","7.9%","9,448,878","1,086,801","11.5%","2,708,326","445,189","16.4%","3,231,321","508,234","15.7%","10,359,669","943,884","9.1%","844,556","86,448","10.2%","3,057,426","463,604","15.2%","688,555","59,407","8.6%","4,914,745","640,386","13.0%","18,402,454","4,098,644","22.3%","2,444,193","340,025","13.9%","591,457","47,822","8.1%","5,439,817","590,547","10.9%","5,233,587","670,138","12.8%","1,716,604","248,712","14.5%","4,895,111","403,898","8.3%","505,877","71,285","14.1%","2,509,348","184,270","7.3%"
"        Black or African American alone","1,230,424","215,992","17.6%","22,744","3,634","16.0%","255,000","39,033","15.3%","451,341","89,554","19.8%","2,149,314","337,192","15.7%","184,423","36,276","19.7%","346,300","47,746","13.8%","186,612","16,569","8.9%","302,446","25,127","8.3%","2,893,523","759,287","26.2%","2,889,830","624,738","21.6%","15,880","1,245","7.8%","8,600","2,540","29.5%","1,811,015","334,307","18.5%","567,101","107,693","19.0%","91,614","14,541","15.9%","156,886","31,702","20.2%","317,222","58,188","18.3%","1,405,404","310,525","22.1%","14,596","1,372","9.4%","1,661,162","209,662","12.6%","433,348","30,601","7.1%","1,347,812","218,256","16.2%","265,950","45,829","17.2%","1,079,631","234,680","21.7%","678,957","134,006","19.7%","4,386","1,405","32.0%","77,856","12,646","16.2%","210,653","46,200","21.9%","15,226","1,773","11.6%","1,144,427","168,985","14.8%","38,528","7,042","18.3%","2,940,528","402,759","13.7%","1,989,357","375,476","18.9%","8,041","1,858","23.1%","1,361,093","224,215","16.5%","254,661","50,647","19.9%","67,790","14,120","20.8%","1,318,767","192,943","14.6%","61,131","10,344","16.9%","1,261,748","263,724","20.9%","9,983","3,374","33.8%","1,039,424","177,555","17.1%","2,849,319","613,257","21.5%","27,908","5,729","20.5%","6,406","330","5.2%","1,500,206","250,091","16.7%","224,762","38,626","17.2%","52,761","8,722","16.5%","335,144","50,953","15.2%","3,892","528","13.6%","278,399","31,723","11.4%"
"        American Indian and Alaska Native alone","27,155","4,933","18.2%","102,349","36,881","36.0%","277,111","85,317","30.8%","18,165","4,481","24.7%","274,708","61,576","22.4%","47,538","13,714","28.8%","5,111","650","12.7%","N","N","N","N","N","N","66,266","22,906","34.6%","21,638","6,063","28.0%","N","N","N","21,186","6,069","28.6%","29,093","5,930","20.4%","16,086","4,571","28.4%","8,151","1,765","21.7%","25,095","6,362","25.4%","8,258","1,586","19.2%","27,901","6,634","23.8%","6,723","1,662","24.7%","18,381","4,540","24.7%","13,219","1,718","13.0%","56,094","10,927","19.5%","54,777","10,777","19.7%","12,247","3,474","28.4%","21,040","3,882","18.5%","60,416","25,141","41.6%","16,307","6,032","37.0%","25,987","9,089","35.0%","2,760","341","12.4%","18,616","5,635","30.3%","191,814","79,320","41.4%","70,663","17,873","25.3%","108,555","31,722","29.2%","32,384","11,692","36.1%","20,746","4,291","20.7%","257,359","75,191","29.2%","48,515","12,947","26.7%","19,358","3,402","17.6%","N","N","N","12,389","3,401","27.5%","70,823","29,246","41.3%","16,564","4,901","29.6%","126,613","37,774","29.8%","34,091","10,668","31.3%","N","N","N","22,903","7,669","33.5%","97,493","24,348","25.0%","N","N","N","46,205","12,375","26.8%","14,419","4,128","28.6%","6,470","850","13.1%"
"        Asian alone","52,418","12,556","24.0%","38,701","10,989","28.4%","172,127","20,816","12.1%","33,163","5,488","16.5%","4,874,265","721,174","14.8%","132,764","22,038","16.6%","133,737","17,226","12.9%","27,449","2,782","10.1%","21,271","2,447","11.5%","450,561","110,989","24.6%","314,332","82,380","26.2%","524,347","33,136","6.3%","18,605","2,929","15.7%","588,717","95,767","16.3%","102,503","16,218","15.8%","51,525","6,230","12.1%","70,649","10,137","14.3%","47,015","9,270","19.7%","71,023","19,551","27.5%","13,645","2,167","15.9%","318,116","44,280","13.9%","352,406","13,346","3.8%","240,676","27,111","11.3%","209,178","25,182","12.0%","25,777","6,822","26.5%","92,822","13,142","14.2%","5,183","1,683","32.5%","29,068","3,110","10.7%","196,908","36,438","18.5%","28,068","4,720","16.8%","723,202","118,144","16.3%","25,164","4,103","16.3%","1,429,313","234,660","16.4%","209,206","39,892","19.1%","7,679","493","6.4%","197,036","24,004","12.2%","64,650","12,234","18.9%","141,173","21,597","15.3%","349,329","53,873","15.4%","30,810","5,711","18.5%","52,599","11,208","21.3%","N","N","N","92,376","17,203","18.6%","963,453","207,869","21.6%","51,593","8,077","15.7%","7,789","564","7.2%","433,208","72,974","16.8%","482,048","69,434","14.4%","10,782","1,895","17.6%","128,718","18,089","14.1%","3,803","624","16.4%","13,135","2,306","17.6%"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","7,495","2,378","31.7%","11,334","1,344","11.9%","5,090","2,045","40.2%","140,825","28,346","20.1%","4,495","1,505","33.5%","N","N","N","N","N","N","N","N","N","11,119","2,291","20.6%","2,329","502","21.6%","132,358","14,226","10.7%","2,095","596","28.4%","3,963","264","6.7%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","16,001","3,494","21.8%","N","N","N","N","N","N","N","N","N","6,161","1,440","23.4%","3,831","1,298","33.9%","N","N","N","N","N","N","4,145","1,171","28.3%","12,536","2,456","19.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","17,460","4,404","25.2%","25,543","3,904","15.3%","N","N","N","N","N","N","38,634","6,634","17.2%","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some other race alone","51,156","29,001","56.7%","6,137","1,825","29.7%","403,862","109,355","27.1%","60,789","26,395","43.4%","4,829,210","1,586,585","32.9%","279,819","87,908","31.4%","185,067","48,669","26.3%","17,493","4,320","24.7%","16,499","3,316","20.1%","490,188","201,104","41.0%","317,357","179,994","56.7%","13,360","1,962","14.7%","34,062","13,332","39.1%","800,922","253,547","31.7%","130,562","40,207","30.8%","45,779","16,043","35.0%","69,570","23,802","34.2%","39,723","18,678","47.0%","57,235","28,598","50.0%","1,994","245","12.3%","174,151","76,702","44.0%","241,255","27,512","11.4%","113,688","30,846","27.1%","65,332","20,577","31.5%","21,753","12,939","59.5%","55,816","21,117","37.8%","3,913","824","21.1%","33,449","8,212","24.6%","169,435","61,324","36.2%","10,296","4,316","41.9%","532,368","186,892","35.1%","224,881","58,371","26.0%","1,558,037","413,064","26.5%","294,185","145,442","49.4%","N","N","N","91,130","32,800","36.0%","96,118","40,290","41.9%","162,232","69,864","43.1%","222,390","47,421","21.3%","67,815","19,994","29.5%","69,030","39,485","57.2%","5,583","1,301","23.3%","87,750","41,323","47.1%","1,881,766","806,761","42.9%","102,524","43,867","42.8%","N","N","N","189,368","75,241","39.7%","262,629","93,640","35.7%","N","N","N","88,738","29,102","32.8%","12,061","3,222","26.7%","394,723","37,064","9.4%"
"    Two or more races","63,876","10,459","16.4%","48,798","11,690","24.0%","167,933","24,640","14.7%","48,593","8,417","17.3%","1,548,628","215,268","13.9%","168,093","23,692","14.1%","89,314","8,925","10.0%","22,909","1,785","7.8%","11,614","396","3.4%","400,212","77,628","19.4%","176,229","32,870","18.7%","317,024","22,378","7.1%","35,371","6,747","19.1%","239,578","26,443","11.0%","125,850","20,744","16.5%","54,441","8,133","14.9%","87,100","15,457","17.7%","69,738","10,098","14.5%","67,842","11,766","17.3%","23,422","2,526","10.8%","157,967","17,792","11.3%","179,310","18,435","10.3%","238,248","28,747","12.1%","126,780","14,848","11.7%","30,763","5,344","17.4%","129,376","18,057","14.0%","23,370","4,934","21.1%","38,982","7,116","18.3%","103,365","21,792","21.1%","20,699","2,856","13.8%","226,573","46,832","20.7%","58,566","6,852","11.7%","505,324","71,022","14.1%","212,101","38,529","18.2%","13,508","2,199","16.3%","238,265","26,354","11.1%","291,947","68,829","23.6%","135,540","22,286","16.4%","233,814","29,297","12.5%","28,385","3,044","10.7%","82,297","13,114","15.9%","15,181","3,523","23.2%","106,837","17,193","16.1%","538,385","106,765","19.8%","64,502","9,654","15.0%","10,291","286","2.8%","215,916","23,348","10.8%","298,928","42,769","14.3%","35,437","4,188","11.8%","118,129","14,762","12.5%","14,611","3,007","20.6%","493,561","40,726","8.3%"
"White alone, not Hispanic or Latino","3,160,600","360,237","11.4%","440,292","64,746","14.7%","3,657,932","400,194","10.9%","2,138,761","323,215","15.1%","14,714,821","1,545,511","10.5%","3,477,333","405,684","11.7%","2,504,381","146,772","5.9%","579,230","44,840","7.7%","207,527","9,095","4.4%","10,731,181","1,594,953","14.9%","5,330,391","745,968","14.0%","285,831","28,280","9.9%","1,305,567","202,452","15.5%","8,074,090","735,708","9.1%","5,217,881","693,397","13.3%","2,662,982","212,283","8.0%","2,194,615","239,539","10.9%","3,682,955","521,464","14.2%","2,694,360","374,963","13.9%","1,240,504","123,966","10.0%","3,111,880","210,985","6.8%","4,944,440","170,190","3.4%","7,488,601","827,468","11.0%","4,367,292","310,522","7.1%","1,692,143","246,801","14.6%","4,771,364","549,788","11.5%","857,779","129,527","15.1%","1,483,394","132,401","8.9%","1,441,066","239,493","16.6%","1,200,597","127,002","10.6%","5,161,974","391,237","7.6%","822,355","93,758","11.4%","11,154,034","843,749","7.6%","6,113,982","759,105","12.4%","588,822","46,223","7.9%","9,232,904","1,038,957","11.3%","2,528,177","378,130","15.0%","2,977,994","433,903","14.6%","9,963,314","857,029","8.6%","791,157","69,939","8.8%","2,920,086","405,287","13.9%","677,883","57,879","8.5%","4,739,930","570,612","12.0%","11,206,255","1,567,364","14.0%","2,211,523","255,086","11.5%","584,228","47,079","8.1%","5,070,890","460,852","9.1%","4,817,823","546,879","11.4%","1,704,541","246,335","14.5%","4,685,345","350,674","7.5%","476,874","64,753","13.6%","28,716","2,517","8.8%"
"Hispanic or Latino (of any race)","180,566","85,657","47.4%","38,470","9,132","23.7%","1,872,157","512,997","27.4%","180,477","68,730","38.1%","13,931,538","4,062,333","29.2%","1,025,931","304,806","29.7%","473,701","102,764","21.7%","73,052","19,240","26.3%","54,795","8,851","16.2%","4,206,942","1,441,143","34.3%","843,034","398,485","47.3%","114,131","10,119","8.9%","174,262","57,378","32.9%","2,022,648","561,403","27.8%","385,190","111,556","29.0%","149,824","39,875","26.6%","296,123","92,621","31.3%","124,565","48,188","38.7%","188,340","74,337","39.5%","16,339","1,679","10.3%","468,668","164,411","35.1%","622,831","60,948","9.8%","433,593","100,206","23.1%","244,927","72,310","29.5%","68,789","33,541","48.8%","208,055","58,673","28.2%","27,636","6,969","25.2%","165,671","49,330","29.8%","713,554","256,207","35.9%","36,577","8,849","24.2%","1,548,119","458,957","29.6%","945,114","215,611","22.8%","3,393,628","762,453","22.5%","790,463","341,476","43.2%","13,000","2,197","16.9%","347,399","88,609","25.5%","325,842","122,446","37.6%","446,981","150,974","33.8%","706,512","146,450","20.7%","130,484","38,062","29.2%","223,405","102,169","45.7%","19,369","4,137","21.4%","284,915","117,668","41.3%","9,399,081","3,423,629","36.4%","357,588","131,810","36.9%","9,665","1,437","14.9%","615,321","216,533","35.2%","748,136","230,735","30.8%","20,336","4,612","22.7%","331,722","88,836","26.8%","49,593","12,459","25.1%","3,654,280","292,316","8.0%"
"PLACE OF BIRTH AND U.S. CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Native born","4,535,223","599,542","13.2%","640,530","120,427","18.8%","5,469,393","741,463","13.6%","2,737,117","435,158","15.9%","26,741,523","3,507,008","13.1%","4,466,890","596,202","13.3%","3,036,712","202,207","6.7%","813,606","66,183","8.1%","513,383","31,860","6.2%","14,905,762","2,512,345","16.9%","8,586,386","1,426,515","16.6%","1,071,495","74,460","6.9%","1,465,732","236,504","16.1%","10,923,442","1,153,303","10.6%","6,092,977","851,893","14.0%","2,867,212","236,302","8.2%","2,619,286","317,152","12.1%","4,104,739","595,327","14.5%","4,270,272","711,951","16.7%","1,268,163","128,061","10.1%","4,888,762","400,845","8.2%","5,502,345","184,355","3.4%","9,179,305","1,080,908","11.8%","4,877,254","387,019","7.9%","2,843,685","496,671","17.5%","5,649,716","705,080","12.5%","956,081","164,977","17.3%","1,690,941","170,299","10.1%","2,163,434","413,117","19.1%","1,233,522","133,372","10.8%","6,859,212","587,421","8.6%","1,830,789","300,436","16.4%","14,864,712","1,243,205","8.4%","8,648,774","1,223,910","14.2%","644,096","62,369","9.7%","10,895,083","1,291,329","11.9%","3,473,935","594,722","17.1%","3,425,651","513,543","15.0%","11,774,324","1,098,976","9.3%","903,342","87,311","9.7%","4,322,367","686,467","15.9%","776,198","92,064","11.9%","5,972,746","768,676","12.9%","20,684,936","3,789,868","18.3%","2,529,505","323,929","12.8%","592,549","47,369","8.0%","6,907,366","734,464","10.6%","5,759,220","691,076","12.0%","1,801,896","262,347","14.6%","5,360,903","452,268","8.4%","539,484","77,693","14.4%","3,591,208","267,347","7.4%"
"    Foreign born","167,546","87,050","52.0%","48,719","16,413","33.7%","840,781","323,669","38.5%","130,494","65,455","50.2%","10,074,046","3,317,905","32.9%","489,983","192,907","39.4%","483,201","117,926","24.4%","71,626","19,618","27.4%","80,899","13,304","16.4%","3,628,319","1,428,715","39.4%","933,450","449,051","48.1%","244,182","29,304","12.0%","85,903","38,900","45.3%","1,749,803","592,253","33.8%","298,493","96,027","32.2%","137,673","43,509","31.6%","185,175","72,294","39.0%","137,975","51,714","37.5%","170,042","79,036","46.5%","44,874","5,004","11.2%","799,236","240,016","30.0%","975,722","101,362","10.4%","584,378","126,476","21.6%","374,838","89,240","23.8%","59,222","31,424","53.1%","230,148","68,814","29.9%","19,481","4,004","20.6%","111,108","37,354","33.6%","505,532","190,583","37.7%","69,117","11,641","16.8%","1,834,329","563,737","30.7%","201,910","98,122","48.6%","4,269,569","1,034,177","24.2%","711,887","345,927","48.6%","16,515","2,166","13.1%","463,557","107,614","23.2%","203,271","98,829","48.6%","373,456","137,961","36.9%","731,676","172,204","23.5%","133,401","38,873","29.1%","214,468","108,808","50.7%","21,943","6,822","31.1%","286,800","129,885","45.3%","4,094,514","2,085,606","50.9%","220,849","97,995","44.4%","27,337","2,511","9.2%","900,050","285,666","31.7%","878,861","254,513","29.0%","21,476","3,814","17.8%","252,499","76,932","30.5%","15,526","5,143","33.1%","104,428","29,592","28.3%"
"        Naturalized","47,519","9,738","20.5%","23,521","5,512","23.4%","308,703","53,319","17.3%","36,156","9,201","25.4%","4,599,256","777,831","16.9%","176,096","29,173","16.6%","225,533","21,843","9.7%","33,356","2,839","8.5%","31,941","4,362","13.7%","1,761,025","384,252","21.8%","327,362","78,582","24.0%","138,241","10,298","7.4%","29,414","7,203","24.5%","763,402","111,935","14.7%","108,865","16,107","14.8%","51,106","6,897","13.5%","60,255","9,615","16.0%","47,071","7,983","17.0%","66,287","14,136","21.3%","25,279","1,917","7.6%","358,355","44,082","12.3%","468,821","19,652","4.2%","286,500","38,136","13.3%","167,513","19,653","11.7%","18,296","4,804","26.3%","98,657","16,988","17.2%","11,273","1,793","15.9%","45,221","7,905","17.5%","211,699","34,630","16.4%","37,159","4,439","11.9%","915,514","129,249","14.1%","68,866","15,896","23.1%","2,208,091","243,092","11.0%","213,352","42,839","20.1%","6,089","601","9.9%","226,440","26,787","11.8%","64,697","15,078","23.3%","139,760","22,291","15.9%","362,655","42,513","11.7%","63,392","7,960","12.6%","64,481","10,723","16.6%","8,875","1,317","14.8%","95,864","18,836","19.6%","1,314,529","354,686","27.0%","74,337","15,341","20.6%","16,393","528","3.2%","407,037","57,659","14.2%","398,172","61,060","15.3%","9,858","1,088","11.0%","102,058","10,040","9.8%","6,216","1,177","18.9%","40,654","4,565","11.2%"
"        Not a citizen","120,027","77,312","64.4%","25,198","10,901","43.3%","532,078","270,350","50.8%","94,338","56,254","59.6%","5,474,790","2,540,074","46.4%","313,887","163,734","52.2%","257,668","96,083","37.3%","38,270","16,779","43.8%","48,958","8,942","18.3%","1,867,294","1,044,463","55.9%","606,088","370,469","61.1%","105,941","19,006","17.9%","56,489","31,697","56.1%","986,401","480,318","48.7%","189,628","79,920","42.1%","86,567","36,612","42.3%","124,920","62,679","50.2%","90,904","43,731","48.1%","103,755","64,900","62.6%","19,595","3,087","15.8%","440,881","195,934","44.4%","506,901","81,710","16.1%","297,878","88,340","29.7%","207,325","69,587","33.6%","40,926","26,620","65.0%","131,491","51,826","39.4%","8,208","2,211","26.9%","65,887","29,449","44.7%","293,833","155,953","53.1%","31,958","7,202","22.5%","918,815","434,488","47.3%","133,044","82,226","61.8%","2,061,478","791,085","38.4%","498,535","303,088","60.8%","10,426","1,565","15.0%","237,117","80,827","34.1%","138,574","83,751","60.4%","233,696","115,670","49.5%","369,021","129,691","35.1%","70,009","30,913","44.2%","149,987","98,085","65.4%","13,068","5,505","42.1%","190,936","111,049","58.2%","2,779,985","1,730,920","62.3%","146,512","82,654","56.4%","10,944","1,983","18.1%","493,013","228,007","46.2%","480,689","193,453","40.2%","11,618","2,726","23.5%","150,441","66,892","44.5%","9,310","3,966","42.6%","63,774","25,027","39.2%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian noninstitutionalized population 25 years and older","3,090,247","480,835","15.6%","435,488","89,966","20.7%","4,067,467","664,110","16.3%","1,873,397","347,580","18.6%","23,693,827","4,703,258","19.9%","3,257,348","524,161","16.1%","2,386,516","237,449","9.9%","588,530","57,590","9.8%","408,689","34,643","8.5%","12,830,807","2,769,767","21.6%","6,084,256","1,280,070","21.0%","894,845","73,846","8.3%","971,300","180,620","18.6%","8,320,095","1,274,581","15.3%","4,144,700","619,803","15.0%","1,978,915","188,117","9.5%","1,793,437","255,159","14.2%","2,827,602","456,877","16.2%","2,862,590","573,713","20.0%","923,928","98,198","10.6%","3,794,487","448,376","11.8%","4,388,355","205,508","4.7%","6,471,826","868,113","13.4%","3,477,158","294,324","8.5%","1,850,154","352,620","19.1%","3,890,350","536,931","13.8%","661,382","115,235","17.4%","1,161,070","138,359","11.9%","1,763,516","385,646","21.9%","895,047","104,949","11.7%","5,882,275","825,746","14.0%","1,314,324","275,742","21.0%","12,876,830","1,629,700","12.7%","6,177,105","1,107,014","17.9%","431,988","40,905","9.5%","7,571,767","968,264","12.8%","2,382,078","469,932","19.7%","2,581,659","459,355","17.8%","8,479,849","864,272","10.2%","695,625","84,540","12.2%","3,003,537","544,003","18.1%","517,487","63,218","12.2%","4,163,168","649,196","15.6%","15,392,237","3,817,002","24.8%","1,566,014","250,598","16.0%","425,498","36,238","8.5%","5,203,815","708,336","13.6%","4,423,300","656,413","14.8%","1,267,845","195,567","15.4%","3,734,617","347,138","9.3%","364,209","56,536","15.5%","2,422,283","209,203","8.6%"
"    Less than high school graduate","536,882","141,741","26.4%","39,110","15,241","39.0%","573,955","192,824","33.6%","310,842","85,765","27.6%","4,533,582","1,743,553","38.5%","325,213","120,748","37.1%","263,269","57,008","21.7%","70,642","14,350","20.3%","50,047","6,546","13.1%","1,817,810","632,991","34.8%","928,682","344,563","37.1%","90,520","10,612","11.7%","111,755","39,980","35.8%","1,060,468","326,940","30.8%","522,050","142,269","27.3%","179,747","36,477","20.3%","190,292","56,562","29.7%","500,971","116,418","23.2%","501,643","148,672","29.6%","87,578","10,458","11.9%","442,536","124,529","28.1%","466,835","38,024","8.1%","714,507","144,092","20.2%","274,142","49,903","18.2%","341,480","97,149","28.4%","496,581","116,752","23.5%","53,250","12,763","24.0%","109,413","29,871","27.3%","268,979","102,006","37.9%","74,324","12,319","16.6%","685,010","188,473","27.5%","214,248","84,076","39.2%","1,906,984","424,633","22.3%","927,092","305,857","33.0%","39,219","5,871","15.0%","869,417","189,065","21.7%","319,205","106,365","33.3%","286,578","103,981","36.3%","949,054","167,046","17.6%","111,892","24,534","21.9%","465,068","134,042","28.8%","51,448","11,374","22.1%","663,319","167,051","25.2%","2,933,696","1,368,335","46.6%","145,261","56,293","38.8%","37,332","4,760","12.8%","686,902","195,926","28.5%","446,966","149,015","33.3%","209,108","37,167","17.8%","353,706","71,634","20.3%","27,388","6,454","23.6%","736,454","57,969","7.9%"
