"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Birthplace"	"Birthplace Code"	Births
	"Arizona"	"04"	"2019"	"2019"	"In Hospital"	"1"	78020
	"Arizona"	"04"	"2019"	"2019"	"Freestanding Birth Center"	"2"	584
	"Arizona"	"04"	"2019"	"2019"	"Clinic/Doctor's Office"	"3"	13
	"Arizona"	"04"	"2019"	"2019"	"Residence"	"4"	706
	"Arizona"	"04"	"2019"	"2019"	"Other"	"5"	48
	"Arizona"	"04"	"2020"	"2020"	"In Hospital"	"1"	75355
	"Arizona"	"04"	"2020"	"2020"	"Freestanding Birth Center"	"2"	594
	"Arizona"	"04"	"2020"	"2020"	"Clinic/Doctor's Office"	"3"	22
	"Arizona"	"04"	"2020"	"2020"	"Residence"	"4"	931
	"Arizona"	"04"	"2020"	"2020"	"Other"	"5"	45
	"Arizona"	"04"	"2020"	"2020"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2021"	"2021"	"In Hospital"	"1"	76054
	"Arizona"	"04"	"2021"	"2021"	"Freestanding Birth Center"	"2"	704
	"Arizona"	"04"	"2021"	"2021"	"Clinic/Doctor's Office"	"3"	23
	"Arizona"	"04"	"2021"	"2021"	"Residence"	"4"	1065
	"Arizona"	"04"	"2021"	"2021"	"Other"	"5"	68
	"Arizona"	"04"	"2022"	"2022"	"In Hospital"	"1"	76557
	"Arizona"	"04"	"2022"	"2022"	"Freestanding Birth Center"	"2"	728
	"Arizona"	"04"	"2022"	"2022"	"Clinic/Doctor's Office"	"3"	22
	"Arizona"	"04"	"2022"	"2022"	"Residence"	"4"	1182
	"Arizona"	"04"	"2022"	"2022"	"Other"	"5"	57
	"Arizona"	"04"	"2023"	"2023"	"In Hospital"	"1"	76124
	"Arizona"	"04"	"2023"	"2023"	"Freestanding Birth Center"	"2"	722
	"Arizona"	"04"	"2023"	"2023"	"Clinic/Doctor's Office"	"3"	15
	"Arizona"	"04"	"2023"	"2023"	"Residence"	"4"	1157
	"Arizona"	"04"	"2023"	"2023"	"Other"	"5"	75
	"Arkansas"	"05"	"2010"	"2010"	"In Hospital"	"1"	38224
	"Arkansas"	"05"	"2010"	"2010"	"Clinic/Doctor's Office"	"3"	0
	"Arkansas"	"05"	"2010"	"2010"	"Residence"	"4"	295
	"Arkansas"	"05"	"2010"	"2010"	"Other"	"5"	17
	"Arkansas"	"05"	"2011"	"2011"	"In Hospital"	"1"	38371
	"Arkansas"	"05"	"2011"	"2011"	"Freestanding Birth Center"	"2"	10
	"Arkansas"	"05"	"2011"	"2011"	"Clinic/Doctor's Office"	"3"	0
	"Arkansas"	"05"	"2011"	"2011"	"Residence"	"4"	319
	"Arkansas"	"05"	"2011"	"2011"	"Other"	"5"	15
	"Arkansas"	"05"	"2011"	"2011"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2012"	"2012"	"In Hospital"	"1"	37943
	"Arkansas"	"05"	"2012"	"2012"	"Clinic/Doctor's Office"	"3"	0
	"Arkansas"	"05"	"2012"	"2012"	"Residence"	"4"	384
	"Arkansas"	"05"	"2012"	"2012"	"Other"	"5"	14
	"Arkansas"	"05"	"2012"	"2012"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2013"	"2013"	"In Hospital"	"1"	37381
	"Arkansas"	"05"	"2013"	"2013"	"Freestanding Birth Center"	"2"	32
	"Arkansas"	"05"	"2013"	"2013"	"Residence"	"4"	396
	"Arkansas"	"05"	"2013"	"2013"	"Other"	"5"	22
	"Arkansas"	"05"	"2013"	"2013"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2014"	"2014"	"In Hospital"	"1"	37979
	"Arkansas"	"05"	"2014"	"2014"	"Freestanding Birth Center"	"2"	121
	"Arkansas"	"05"	"2014"	"2014"	"Clinic/Doctor's Office"	"3"	0
	"Arkansas"	"05"	"2014"	"2014"	"Residence"	"4"	381
	"Arkansas"	"05"	"2014"	"2014"	"Other"	"5"	30
	"Arkansas"	"05"	"2014"	"2014"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2015"	"2015"	"In Hospital"	"1"	38349
	"Arkansas"	"05"	"2015"	"2015"	"Freestanding Birth Center"	"2"	138
	"Arkansas"	"05"	"2015"	"2015"	"Residence"	"4"	362
	"Arkansas"	"05"	"2015"	"2015"	"Other"	"5"	36
	"Arkansas"	"05"	"2015"	"2015"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2016"	"2016"	"In Hospital"	"1"	37753
	"Arkansas"	"05"	"2016"	"2016"	"Freestanding Birth Center"	"2"	101
	"Arkansas"	"05"	"2016"	"2016"	"Residence"	"4"	349
	"Arkansas"	"05"	"2016"	"2016"	"Other"	"5"	69
	"Arkansas"	"05"	"2017"	"2017"	"In Hospital"	"1"	37098
	"Arkansas"	"05"	"2017"	"2017"	"Freestanding Birth Center"	"2"	87
	"Arkansas"	"05"	"2017"	"2017"	"Clinic/Doctor's Office"	"3"	0
	"Arkansas"	"05"	"2017"	"2017"	"Residence"	"4"	292
	"Arkansas"	"05"	"2017"	"2017"	"Other"	"5"	43
	"Arkansas"	"05"	"2017"	"2017"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2018"	"2018"	"In Hospital"	"1"	36580
	"Arkansas"	"05"	"2018"	"2018"	"Freestanding Birth Center"	"2"	71
	"Arkansas"	"05"	"2018"	"2018"	"Residence"	"4"	326
	"Arkansas"	"05"	"2018"	"2018"	"Other"	"5"	40
	"Arkansas"	"05"	"2018"	"2018"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2019"	"2019"	"In Hospital"	"1"	36169
	"Arkansas"	"05"	"2019"	"2019"	"Residence"	"4"	326
	"Arkansas"	"05"	"2019"	"2019"	"Other"	"5"	60
	"Arkansas"	"05"	"2019"	"2019"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2020"	"2020"	"In Hospital"	"1"	34841
	"Arkansas"	"05"	"2020"	"2020"	"Freestanding Birth Center"	"2"	12
	"Arkansas"	"05"	"2020"	"2020"	"Residence"	"4"	353
	"Arkansas"	"05"	"2020"	"2020"	"Other"	"5"	41
	"Arkansas"	"05"	"2021"	"2021"	"In Hospital"	"1"	35471
	"Arkansas"	"05"	"2021"	"2021"	"Clinic/Doctor's Office"	"3"	0
	"Arkansas"	"05"	"2021"	"2021"	"Residence"	"4"	441
	"Arkansas"	"05"	"2021"	"2021"	"Other"	"5"	44
	"Arkansas"	"05"	"2022"	"2022"	"In Hospital"	"1"	34899
	"Arkansas"	"05"	"2022"	"2022"	"Freestanding Birth Center"	"2"	10
	"Arkansas"	"05"	"2022"	"2022"	"Residence"	"4"	513
	"Arkansas"	"05"	"2022"	"2022"	"Other"	"5"	45
	"Arkansas"	"05"	"2022"	"2022"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2023"	"2023"	"In Hospital"	"1"	34629
	"Arkansas"	"05"	"2023"	"2023"	"Residence"	"4"	576
	"Arkansas"	"05"	"2023"	"2023"	"Other"	"5"	51
	"Arkansas"	"05"	"2023"	"2023"	"Unknown or Not Stated"	"9"	0
	"California"	"06"	"2010"	"2010"	"In Hospital"	"1"	506302
	"California"	"06"	"2010"	"2010"	"Freestanding Birth Center"	"2"	623
	"California"	"06"	"2010"	"2010"	"Residence"	"4"	2844
	"California"	"06"	"2010"	"2010"	"Other"	"5"	237
	"California"	"06"	"2010"	"2010"	"Unknown or Not Stated"	"9"	188
	"California"	"06"	"2011"	"2011"	"In Hospital"	"1"	497952
	"California"	"06"	"2011"	"2011"	"Freestanding Birth Center"	"2"	720
	"California"	"06"	"2011"	"2011"	"Residence"	"4"	3054
	"California"	"06"	"2011"	"2011"	"Other"	"5"	367
	"California"	"06"	"2011"	"2011"	"Unknown or Not Stated"	"9"	21
	"California"	"06"	"2012"	"2012"	"In Hospital"	"1"	499308
	"California"	"06"	"2012"	"2012"	"Freestanding Birth Center"	"2"	748
	"California"	"06"	"2012"	"2012"	"Residence"	"4"	3353
	"California"	"06"	"2012"	"2012"	"Other"	"5"	314
	"California"	"06"	"2012"	"2012"	"Unknown or Not Stated"	"9"	25
	"California"	"06"	"2013"	"2013"	"In Hospital"	"1"	489897
	"California"	"06"	"2013"	"2013"	"Freestanding Birth Center"	"2"	858
	"California"	"06"	"2013"	"2013"	"Clinic/Doctor's Office"	"3"	13
	"California"	"06"	"2013"	"2013"	"Residence"	"4"	3527
	"California"	"06"	"2013"	"2013"	"Other"	"5"	395
	"California"	"06"	"2013"	"2013"	"Unknown or Not Stated"	"9"	15
	"California"	"06"	"2014"	"2014"	"In Hospital"	"1"	497809
	"California"	"06"	"2014"	"2014"	"Freestanding Birth Center"	"2"	977
	"California"	"06"	"2014"	"2014"	"Clinic/Doctor's Office"	"3"	10
	"California"	"06"	"2014"	"2014"	"Residence"	"4"	3624
	"California"	"06"	"2014"	"2014"	"Other"	"5"	445
	"California"	"06"	"2014"	"2014"	"Unknown or Not Stated"	"9"	14
	"California"	"06"	"2015"	"2015"	"In Hospital"	"1"	486454
	"California"	"06"	"2015"	"2015"	"Freestanding Birth Center"	"2"	1149
	"California"	"06"	"2015"	"2015"	"Residence"	"4"	3709
	"California"	"06"	"2015"	"2015"	"Other"	"5"	413
	"California"	"06"	"2015"	"2015"	"Unknown or Not Stated"	"9"	18
	"California"	"06"	"2016"	"2016"	"In Hospital"	"1"	483521
	"California"	"06"	"2016"	"2016"	"Freestanding Birth Center"	"2"	1338
	"California"	"06"	"2016"	"2016"	"Residence"	"4"	3553
	"California"	"06"	"2016"	"2016"	"Other"	"5"	393
	"California"	"06"	"2016"	"2016"	"Unknown or Not Stated"	"9"	15
	"California"	"06"	"2017"	"2017"	"In Hospital"	"1"	466260
	"California"	"06"	"2017"	"2017"	"Freestanding Birth Center"	"2"	1413
	"California"	"06"	"2017"	"2017"	"Residence"	"4"	3520
	"California"	"06"	"2017"	"2017"	"Other"	"5"	434
	"California"	"06"	"2017"	"2017"	"Unknown or Not Stated"	"9"	26
	"California"	"06"	"2018"	"2018"	"In Hospital"	"1"	449929
	"California"	"06"	"2018"	"2018"	"Freestanding Birth Center"	"2"	1329
	"California"	"06"	"2018"	"2018"	"Residence"	"4"	3269
	"California"	"06"	"2018"	"2018"	"Other"	"5"	368
	"California"	"06"	"2018"	"2018"	"Unknown or Not Stated"	"9"	16
	"California"	"06"	"2019"	"2019"	"In Hospital"	"1"	441421
	"California"	"06"	"2019"	"2019"	"Freestanding Birth Center"	"2"	1493
	"California"	"06"	"2019"	"2019"	"Clinic/Doctor's Office"	"3"	34
	"California"	"06"	"2019"	"2019"	"Residence"	"4"	3081
	"California"	"06"	"2019"	"2019"	"Other"	"5"	448
	"California"	"06"	"2020"	"2020"	"In Hospital"	"1"	414317
	"California"	"06"	"2020"	"2020"	"Freestanding Birth Center"	"2"	1911
	"California"	"06"	"2020"	"2020"	"Clinic/Doctor's Office"	"3"	15
	"California"	"06"	"2020"	"2020"	"Residence"	"4"	3591
	"California"	"06"	"2020"	"2020"	"Other"	"5"	424
	"California"	"06"	"2021"	"2021"	"In Hospital"	"1"	414052
	"California"	"06"	"2021"	"2021"	"Freestanding Birth Center"	"2"	1972
	"California"	"06"	"2021"	"2021"	"Clinic/Doctor's Office"	"3"	12
	"California"	"06"	"2021"	"2021"	"Residence"	"4"	4079
	"California"	"06"	"2021"	"2021"	"Other"	"5"	492
	"California"	"06"	"2022"	"2022"	"In Hospital"	"1"	412663
	"California"	"06"	"2022"	"2022"	"Freestanding Birth Center"	"2"	1919
	"California"	"06"	"2022"	"2022"	"Residence"	"4"	4033
	"California"	"06"	"2022"	"2022"	"Other"	"5"	482
	"California"	"06"	"2023"	"2023"	"In Hospital"	"1"	394349
	"California"	"06"	"2023"	"2023"	"Freestanding Birth Center"	"2"	1560
	"California"	"06"	"2023"	"2023"	"Residence"	"4"	3701
	"California"	"06"	"2023"	"2023"	"Other"	"5"	491
	"California"	"06"	"2023"	"2023"	"Unknown or Not Stated"	"9"	0
	"Florida"	"12"	"2010"	"2010"	"In Hospital"	"1"	211774
	"Florida"	"12"	"2010"	"2010"	"Freestanding Birth Center"	"2"	1382
	"Florida"	"12"	"2010"	"2010"	"Residence"	"4"	1304
	"Florida"	"12"	"2010"	"2010"	"Other"	"5"	122
	"Florida"	"12"	"2011"	"2011"	"In Hospital"	"1"	210323
	"Florida"	"12"	"2011"	"2011"	"Freestanding Birth Center"	"2"	1480
	"Florida"	"12"	"2011"	"2011"	"Residence"	"4"	1474
	"Florida"	"12"	"2011"	"2011"	"Other"	"5"	127
	"Florida"	"12"	"2012"	"2012"	"In Hospital"	"1"	209779
	"Florida"	"12"	"2012"	"2012"	"Freestanding Birth Center"	"2"	1606
	"Florida"	"12"	"2012"	"2012"	"Residence"	"4"	1619
	"Florida"	"12"	"2012"	"2012"	"Other"	"5"	132
	"Florida"	"12"	"2013"	"2013"	"In Hospital"	"1"	211754
	"Florida"	"12"	"2013"	"2013"	"Freestanding Birth Center"	"2"	1752
	"Florida"	"12"	"2013"	"2013"	"Residence"	"4"	1734
	"Florida"	"12"	"2013"	"2013"	"Other"	"5"	154
	"Florida"	"12"	"2014"	"2014"	"In Hospital"	"1"	216171
	"Florida"	"12"	"2014"	"2014"	"Freestanding Birth Center"	"2"	1747
	"Florida"	"12"	"2014"	"2014"	"Residence"	"4"	1891
	"Florida"	"12"	"2014"	"2014"	"Other"	"5"	170
	"Florida"	"12"	"2015"	"2015"	"In Hospital"	"1"	220304
	"Florida"	"12"	"2015"	"2015"	"Freestanding Birth Center"	"2"	1806
	"Florida"	"12"	"2015"	"2015"	"Residence"	"4"	1967
	"Florida"	"12"	"2015"	"2015"	"Other"	"5"	185
	"Florida"	"12"	"2016"	"2016"	"In Hospital"	"1"	221044
	"Florida"	"12"	"2016"	"2016"	"Freestanding Birth Center"	"2"	1720
	"Florida"	"12"	"2016"	"2016"	"Residence"	"4"	2052
	"Florida"	"12"	"2016"	"2016"	"Other"	"5"	196
	"Florida"	"12"	"2017"	"2017"	"In Hospital"	"1"	219587
	"Florida"	"12"	"2017"	"2017"	"Freestanding Birth Center"	"2"	1820
	"Florida"	"12"	"2017"	"2017"	"Residence"	"4"	2020
	"Florida"	"12"	"2017"	"2017"	"Other"	"5"	198
	"Florida"	"12"	"2018"	"2018"	"In Hospital"	"1"	217526
	"Florida"	"12"	"2018"	"2018"	"Freestanding Birth Center"	"2"	1725
	"Florida"	"12"	"2018"	"2018"	"Residence"	"4"	2081
	"Florida"	"12"	"2018"	"2018"	"Other"	"5"	203
	"Florida"	"12"	"2019"	"2019"	"In Hospital"	"1"	216112
	"Florida"	"12"	"2019"	"2019"	"Freestanding Birth Center"	"2"	1629
	"Florida"	"12"	"2019"	"2019"	"Residence"	"4"	2052
	"Florida"	"12"	"2019"	"2019"	"Other"	"5"	200
	"Florida"	"12"	"2020"	"2020"	"In Hospital"	"1"	205381
	"Florida"	"12"	"2020"	"2020"	"Freestanding Birth Center"	"2"	1598
	"Florida"	"12"	"2020"	"2020"	"Clinic/Doctor's Office"	"3"	11
	"Florida"	"12"	"2020"	"2020"	"Residence"	"4"	2431
	"Florida"	"12"	"2020"	"2020"	"Other"	"5"	241
	"Florida"	"12"	"2021"	"2021"	"In Hospital"	"1"	211493
	"Florida"	"12"	"2021"	"2021"	"Freestanding Birth Center"	"2"	1745
	"Florida"	"12"	"2021"	"2021"	"Residence"	"4"	2714
	"Florida"	"12"	"2021"	"2021"	"Other"	"5"	297
	"Florida"	"12"	"2022"	"2022"	"In Hospital"	"1"	219377
	"Florida"	"12"	"2022"	"2022"	"Freestanding Birth Center"	"2"	1711
	"Florida"	"12"	"2022"	"2022"	"Clinic/Doctor's Office"	"3"	12
	"Florida"	"12"	"2022"	"2022"	"Residence"	"4"	2978
	"Florida"	"12"	"2022"	"2022"	"Other"	"5"	352
	"Florida"	"12"	"2023"	"2023"	"In Hospital"	"1"	216662
	"Florida"	"12"	"2023"	"2023"	"Freestanding Birth Center"	"2"	1528
	"Florida"	"12"	"2023"	"2023"	"Clinic/Doctor's Office"	"3"	23
	"Florida"	"12"	"2023"	"2023"	"Residence"	"4"	2833
	"Florida"	"12"	"2023"	"2023"	"Other"	"5"	358
	"Georgia"	"13"	"2010"	"2010"	"In Hospital"	"1"	133234
	"Georgia"	"13"	"2010"	"2010"	"Freestanding Birth Center"	"2"	120
	"Georgia"	"13"	"2010"	"2010"	"Residence"	"4"	497
	"Georgia"	"13"	"2010"	"2010"	"Other"	"5"	91
	"Georgia"	"13"	"2011"	"2011"	"In Hospital"	"1"	131672
	"Georgia"	"13"	"2011"	"2011"	"Freestanding Birth Center"	"2"	151
	"Georgia"	"13"	"2011"	"2011"	"Clinic/Doctor's Office"	"3"	0
	"Georgia"	"13"	"2011"	"2011"	"Residence"	"4"	520
	"Georgia"	"13"	"2011"	"2011"	"Other"	"5"	63
	"Georgia"	"13"	"2012"	"2012"	"In Hospital"	"1"	129440
	"Georgia"	"13"	"2012"	"2012"	"Freestanding Birth Center"	"2"	170
	"Georgia"	"13"	"2012"	"2012"	"Residence"	"4"	592
	"Georgia"	"13"	"2012"	"2012"	"Other"	"5"	74
	"Georgia"	"13"	"2013"	"2013"	"In Hospital"	"1"	127857
	"Georgia"	"13"	"2013"	"2013"	"Freestanding Birth Center"	"2"	159
	"Georgia"	"13"	"2013"	"2013"	"Residence"	"4"	663
	"Georgia"	"13"	"2013"	"2013"	"Other"	"5"	65
	"Georgia"	"13"	"2014"	"2014"	"In Hospital"	"1"	130025
	"Georgia"	"13"	"2014"	"2014"	"Freestanding Birth Center"	"2"	187
	"Georgia"	"13"	"2014"	"2014"	"Residence"	"4"	662
	"Georgia"	"13"	"2014"	"2014"	"Other"	"5"	32
	"Georgia"	"13"	"2014"	"2014"	"Unknown or Not Stated"	"9"	39
	"Georgia"	"13"	"2015"	"2015"	"In Hospital"	"1"	130407
	"Georgia"	"13"	"2015"	"2015"	"Freestanding Birth Center"	"2"	198
	"Georgia"	"13"	"2015"	"2015"	"Residence"	"4"	737
	"Georgia"	"13"	"2015"	"2015"	"Unknown or Not Stated"	"9"	58
	"Georgia"	"13"	"2016"	"2016"	"In Hospital"	"1"	129019
	"Georgia"	"13"	"2016"	"2016"	"Freestanding Birth Center"	"2"	206
	"Georgia"	"13"	"2016"	"2016"	"Residence"	"4"	765
	"Georgia"	"13"	"2016"	"2016"	"Unknown or Not Stated"	"9"	47
	"Georgia"	"13"	"2017"	"2017"	"In Hospital"	"1"	128061
	"Georgia"	"13"	"2017"	"2017"	"Freestanding Birth Center"	"2"	307
	"Georgia"	"13"	"2017"	"2017"	"Residence"	"4"	822
	"Georgia"	"13"	"2017"	"2017"	"Unknown or Not Stated"	"9"	49
	"Georgia"	"13"	"2018"	"2018"	"In Hospital"	"1"	124973
	"Georgia"	"13"	"2018"	"2018"	"Freestanding Birth Center"	"2"	359
	"Georgia"	"13"	"2018"	"2018"	"Residence"	"4"	792
	"Georgia"	"13"	"2018"	"2018"	"Unknown or Not Stated"	"9"	42
	"Georgia"	"13"	"2019"	"2019"	"In Hospital"	"1"	125133
	"Georgia"	"13"	"2019"	"2019"	"Freestanding Birth Center"	"2"	447
	"Georgia"	"13"	"2019"	"2019"	"Residence"	"4"	744
	"Georgia"	"13"	"2019"	"2019"	"Unknown or Not Stated"	"9"	43
	"Georgia"	"13"	"2020"	"2020"	"In Hospital"	"1"	121085
	"Georgia"	"13"	"2020"	"2020"	"Freestanding Birth Center"	"2"	407
	"Georgia"	"13"	"2020"	"2020"	"Residence"	"4"	930
	"Georgia"	"13"	"2020"	"2020"	"Unknown or Not Stated"	"9"	39
	"Georgia"	"13"	"2021"	"2021"	"In Hospital"	"1"	122279
	"Georgia"	"13"	"2021"	"2021"	"Freestanding Birth Center"	"2"	485
	"Georgia"	"13"	"2021"	"2021"	"Residence"	"4"	1245
	"Georgia"	"13"	"2021"	"2021"	"Other"	"5"	19
	"Georgia"	"13"	"2021"	"2021"	"Unknown or Not Stated"	"9"	43
	"Georgia"	"13"	"2022"	"2022"	"In Hospital"	"1"	124298
	"Georgia"	"13"	"2022"	"2022"	"Freestanding Birth Center"	"2"	418
	"Georgia"	"13"	"2022"	"2022"	"Clinic/Doctor's Office"	"3"	0
	"Georgia"	"13"	"2022"	"2022"	"Residence"	"4"	1341
	"Georgia"	"13"	"2022"	"2022"	"Other"	"5"	26
	"Georgia"	"13"	"2022"	"2022"	"Unknown or Not Stated"	"9"	47
	"Georgia"	"13"	"2023"	"2023"	"In Hospital"	"1"	123297
	"Georgia"	"13"	"2023"	"2023"	"Freestanding Birth Center"	"2"	393
	"Georgia"	"13"	"2023"	"2023"	"Clinic/Doctor's Office"	"3"	0
	"Georgia"	"13"	"2023"	"2023"	"Residence"	"4"	1360
	"Georgia"	"13"	"2023"	"2023"	"Other"	"5"	16
	"Georgia"	"13"	"2023"	"2023"	"Unknown or Not Stated"	"9"	54
	"Illinois"	"17"	"2010"	"2010"	"In Hospital"	"1"	164358
	"Illinois"	"17"	"2010"	"2010"	"Residence"	"4"	738
	"Illinois"	"17"	"2010"	"2010"	"Other"	"5"	61
	"Illinois"	"17"	"2010"	"2010"	"Unknown or Not Stated"	"9"	36
	"Illinois"	"17"	"2011"	"2011"	"In Hospital"	"1"	160475
	"Illinois"	"17"	"2011"	"2011"	"Residence"	"4"	731
	"Illinois"	"17"	"2011"	"2011"	"Other"	"5"	75
	"Illinois"	"17"	"2011"	"2011"	"Unknown or Not Stated"	"9"	24
	"Illinois"	"17"	"2012"	"2012"	"In Hospital"	"1"	158292
	"Illinois"	"17"	"2012"	"2012"	"Residence"	"4"	757
	"Illinois"	"17"	"2012"	"2012"	"Other"	"5"	77
	"Illinois"	"17"	"2012"	"2012"	"Unknown or Not Stated"	"9"	27
	"Illinois"	"17"	"2013"	"2013"	"In Hospital"	"1"	155937
	"Illinois"	"17"	"2013"	"2013"	"Freestanding Birth Center"	"2"	19
	"Illinois"	"17"	"2013"	"2013"	"Residence"	"4"	851
	"Illinois"	"17"	"2013"	"2013"	"Other"	"5"	83
	"Illinois"	"17"	"2013"	"2013"	"Unknown or Not Stated"	"9"	39
	"Illinois"	"17"	"2014"	"2014"	"In Hospital"	"1"	157513
	"Illinois"	"17"	"2014"	"2014"	"Freestanding Birth Center"	"2"	22
	"Illinois"	"17"	"2014"	"2014"	"Residence"	"4"	899
	"Illinois"	"17"	"2014"	"2014"	"Other"	"5"	87
	"Illinois"	"17"	"2014"	"2014"	"Unknown or Not Stated"	"9"	30
	"Illinois"	"17"	"2015"	"2015"	"In Hospital"	"1"	157174
	"Illinois"	"17"	"2015"	"2015"	"Freestanding Birth Center"	"2"	22
	"Illinois"	"17"	"2015"	"2015"	"Residence"	"4"	815
	"Illinois"	"17"	"2015"	"2015"	"Other"	"5"	102
	"Illinois"	"17"	"2016"	"2016"	"In Hospital"	"1"	153482
	"Illinois"	"17"	"2016"	"2016"	"Freestanding Birth Center"	"2"	16
	"Illinois"	"17"	"2016"	"2016"	"Residence"	"4"	840
	"Illinois"	"17"	"2016"	"2016"	"Other"	"5"	94
	"Illinois"	"17"	"2017"	"2017"	"In Hospital"	"1"	148469
	"Illinois"	"17"	"2017"	"2017"	"Freestanding Birth Center"	"2"	19
	"Illinois"	"17"	"2017"	"2017"	"Residence"	"4"	784
	"Illinois"	"17"	"2017"	"2017"	"Other"	"5"	99
	"Illinois"	"17"	"2017"	"2017"	"Unknown or Not Stated"	"9"	14
	"Illinois"	"17"	"2018"	"2018"	"In Hospital"	"1"	143825
	"Illinois"	"17"	"2018"	"2018"	"Freestanding Birth Center"	"2"	24
	"Illinois"	"17"	"2018"	"2018"	"Residence"	"4"	855
	"Illinois"	"17"	"2018"	"2018"	"Other"	"5"	108
	"Illinois"	"17"	"2019"	"2019"	"In Hospital"	"1"	139203
	"Illinois"	"17"	"2019"	"2019"	"Freestanding Birth Center"	"2"	16
	"Illinois"	"17"	"2019"	"2019"	"Residence"	"4"	819
	"Illinois"	"17"	"2019"	"2019"	"Other"	"5"	87
	"Illinois"	"17"	"2020"	"2020"	"In Hospital"	"1"	132203
	"Illinois"	"17"	"2020"	"2020"	"Freestanding Birth Center"	"2"	21
	"Illinois"	"17"	"2020"	"2020"	"Residence"	"4"	998
	"Illinois"	"17"	"2020"	"2020"	"Other"	"5"	69
