"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Tobacco Use"	"Tobacco Use Code"	Births
"Total"	"Arizona"	"04"					1155295
	"Arkansas"	"05"	"2010"	"2010"	"Yes"	"1"	0
	"Arkansas"	"05"	"2010"	"2010"	"No"	"2"	0
	"Arkansas"	"05"	"2010"	"2010"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2010"	"2010"	"Not Reported"	"10"	38540
"Total"	"Arkansas"	"05"	"2010"	"2010"			38540
	"Arkansas"	"05"	"2011"	"2011"	"Yes"	"1"	0
	"Arkansas"	"05"	"2011"	"2011"	"No"	"2"	0
	"Arkansas"	"05"	"2011"	"2011"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2011"	"2011"	"Not Reported"	"10"	38715
"Total"	"Arkansas"	"05"	"2011"	"2011"			38715
	"Arkansas"	"05"	"2012"	"2012"	"Yes"	"1"	0
	"Arkansas"	"05"	"2012"	"2012"	"No"	"2"	0
	"Arkansas"	"05"	"2012"	"2012"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2012"	"2012"	"Not Reported"	"10"	38347
"Total"	"Arkansas"	"05"	"2012"	"2012"			38347
	"Arkansas"	"05"	"2013"	"2013"	"Yes"	"1"	0
	"Arkansas"	"05"	"2013"	"2013"	"No"	"2"	0
	"Arkansas"	"05"	"2013"	"2013"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2013"	"2013"	"Not Reported"	"10"	37832
"Total"	"Arkansas"	"05"	"2013"	"2013"			37832
	"Arkansas"	"05"	"2014"	"2014"	"Yes"	"1"	5729
	"Arkansas"	"05"	"2014"	"2014"	"No"	"2"	32432
	"Arkansas"	"05"	"2014"	"2014"	"Unknown or Not Stated"	"9"	350
	"Arkansas"	"05"	"2014"	"2014"	"Not Reported"	"10"	0
"Total"	"Arkansas"	"05"	"2014"	"2014"			38511
	"Arkansas"	"05"	"2015"	"2015"	"Yes"	"1"	5593
	"Arkansas"	"05"	"2015"	"2015"	"No"	"2"	32823
	"Arkansas"	"05"	"2015"	"2015"	"Unknown or Not Stated"	"9"	470
	"Arkansas"	"05"	"2015"	"2015"	"Not Reported"	"10"	0
"Total"	"Arkansas"	"05"	"2015"	"2015"			38886
	"Arkansas"	"05"	"2016"	"2016"	"Yes"	"1"	5224
	"Arkansas"	"05"	"2016"	"2016"	"No"	"2"	32478
	"Arkansas"	"05"	"2016"	"2016"	"Unknown or Not Stated"	"9"	572
	"Arkansas"	"05"	"2016"	"2016"	"Not Reported"	"10"	0
"Total"	"Arkansas"	"05"	"2016"	"2016"			38274
	"Arkansas"	"05"	"2017"	"2017"	"Yes"	"1"	5042
	"Arkansas"	"05"	"2017"	"2017"	"No"	"2"	31682
	"Arkansas"	"05"	"2017"	"2017"	"Unknown or Not Stated"	"9"	796
	"Arkansas"	"05"	"2017"	"2017"	"Not Reported"	"10"	0
"Total"	"Arkansas"	"05"	"2017"	"2017"			37520
	"Arkansas"	"05"	"2018"	"2018"	"Yes"	"1"	4959
	"Arkansas"	"05"	"2018"	"2018"	"No"	"2"	31676
	"Arkansas"	"05"	"2018"	"2018"	"Unknown or Not Stated"	"9"	383
	"Arkansas"	"05"	"2018"	"2018"	"Not Reported"	"10"	0
"Total"	"Arkansas"	"05"	"2018"	"2018"			37018
	"Arkansas"	"05"	"2019"	"2019"	"Yes"	"1"	4372
	"Arkansas"	"05"	"2019"	"2019"	"No"	"2"	31631
	"Arkansas"	"05"	"2019"	"2019"	"Unknown or Not Stated"	"9"	561
	"Arkansas"	"05"	"2019"	"2019"	"Not Reported"	"10"	0
"Total"	"Arkansas"	"05"	"2019"	"2019"			36564
	"Arkansas"	"05"	"2020"	"2020"	"Yes"	"1"	4061
	"Arkansas"	"05"	"2020"	"2020"	"No"	"2"	30965
	"Arkansas"	"05"	"2020"	"2020"	"Unknown or Not Stated"	"9"	225
	"Arkansas"	"05"	"2020"	"2020"	"Not Reported"	"10"	0
"Total"	"Arkansas"	"05"	"2020"	"2020"			35251
	"Arkansas"	"05"	"2021"	"2021"	"Yes"	"1"	3411
	"Arkansas"	"05"	"2021"	"2021"	"No"	"2"	32425
	"Arkansas"	"05"	"2021"	"2021"	"Unknown or Not Stated"	"9"	129
	"Arkansas"	"05"	"2021"	"2021"	"Not Reported"	"10"	0
"Total"	"Arkansas"	"05"	"2021"	"2021"			35965
	"Arkansas"	"05"	"2022"	"2022"	"Yes"	"1"	2801
	"Arkansas"	"05"	"2022"	"2022"	"No"	"2"	32529
	"Arkansas"	"05"	"2022"	"2022"	"Unknown or Not Stated"	"9"	141
	"Arkansas"	"05"	"2022"	"2022"	"Not Reported"	"10"	0
"Total"	"Arkansas"	"05"	"2022"	"2022"			35471
	"Arkansas"	"05"	"2023"	"2023"	"Yes"	"1"	2267
	"Arkansas"	"05"	"2023"	"2023"	"No"	"2"	32907
	"Arkansas"	"05"	"2023"	"2023"	"Unknown or Not Stated"	"9"	90
	"Arkansas"	"05"	"2023"	"2023"	"Not Reported"	"10"	0
"Total"	"Arkansas"	"05"	"2023"	"2023"			35264
"Total"	"Arkansas"	"05"					522158
	"California"	"06"	"2010"	"2010"	"Yes"	"1"	12048
	"California"	"06"	"2010"	"2010"	"No"	"2"	493298
	"California"	"06"	"2010"	"2010"	"Unknown or Not Stated"	"9"	4852
	"California"	"06"	"2010"	"2010"	"Not Reported"	"10"	0
"Total"	"California"	"06"	"2010"	"2010"			510198
	"California"	"06"	"2011"	"2011"	"Yes"	"1"	11092
	"California"	"06"	"2011"	"2011"	"No"	"2"	486231
	"California"	"06"	"2011"	"2011"	"Unknown or Not Stated"	"9"	4797
	"California"	"06"	"2011"	"2011"	"Not Reported"	"10"	0
"Total"	"California"	"06"	"2011"	"2011"			502120
	"California"	"06"	"2012"	"2012"	"Yes"	"1"	10297
	"California"	"06"	"2012"	"2012"	"No"	"2"	488479
	"California"	"06"	"2012"	"2012"	"Unknown or Not Stated"	"9"	4979
	"California"	"06"	"2012"	"2012"	"Not Reported"	"10"	0
"Total"	"California"	"06"	"2012"	"2012"			503755
	"California"	"06"	"2013"	"2013"	"Yes"	"1"	9768
	"California"	"06"	"2013"	"2013"	"No"	"2"	481558
	"California"	"06"	"2013"	"2013"	"Unknown or Not Stated"	"9"	3379
	"California"	"06"	"2013"	"2013"	"Not Reported"	"10"	0
"Total"	"California"	"06"	"2013"	"2013"			494705
	"California"	"06"	"2014"	"2014"	"Yes"	"1"	9199
	"California"	"06"	"2014"	"2014"	"No"	"2"	490898
	"California"	"06"	"2014"	"2014"	"Unknown or Not Stated"	"9"	2782
	"California"	"06"	"2014"	"2014"	"Not Reported"	"10"	0
"Total"	"California"	"06"	"2014"	"2014"			502879
	"California"	"06"	"2015"	"2015"	"Yes"	"1"	8397
	"California"	"06"	"2015"	"2015"	"No"	"2"	480469
	"California"	"06"	"2015"	"2015"	"Unknown or Not Stated"	"9"	2882
	"California"	"06"	"2015"	"2015"	"Not Reported"	"10"	0
"Total"	"California"	"06"	"2015"	"2015"			491748
	"California"	"06"	"2016"	"2016"	"Yes"	"1"	7741
	"California"	"06"	"2016"	"2016"	"No"	"2"	478228
	"California"	"06"	"2016"	"2016"	"Unknown or Not Stated"	"9"	2858
	"California"	"06"	"2016"	"2016"	"Not Reported"	"10"	0
"Total"	"California"	"06"	"2016"	"2016"			488827
	"California"	"06"	"2017"	"2017"	"Yes"	"1"	6753
	"California"	"06"	"2017"	"2017"	"No"	"2"	462330
	"California"	"06"	"2017"	"2017"	"Unknown or Not Stated"	"9"	2575
	"California"	"06"	"2017"	"2017"	"Not Reported"	"10"	0
"Total"	"California"	"06"	"2017"	"2017"			471658
	"California"	"06"	"2018"	"2018"	"Yes"	"1"	6025
	"California"	"06"	"2018"	"2018"	"No"	"2"	446224
	"California"	"06"	"2018"	"2018"	"Unknown or Not Stated"	"9"	2671
	"California"	"06"	"2018"	"2018"	"Not Reported"	"10"	0
"Total"	"California"	"06"	"2018"	"2018"			454920
	"California"	"06"	"2019"	"2019"	"Yes"	"1"	4935
	"California"	"06"	"2019"	"2019"	"No"	"2"	439435
	"California"	"06"	"2019"	"2019"	"Unknown or Not Stated"	"9"	2109
	"California"	"06"	"2019"	"2019"	"Not Reported"	"10"	0
"Total"	"California"	"06"	"2019"	"2019"			446479
	"California"	"06"	"2020"	"2020"	"Yes"	"1"	4152
	"California"	"06"	"2020"	"2020"	"No"	"2"	414926
	"California"	"06"	"2020"	"2020"	"Unknown or Not Stated"	"9"	1181
	"California"	"06"	"2020"	"2020"	"Not Reported"	"10"	0
"Total"	"California"	"06"	"2020"	"2020"			420259
	"California"	"06"	"2021"	"2021"	"Yes"	"1"	3424
	"California"	"06"	"2021"	"2021"	"No"	"2"	416114
	"California"	"06"	"2021"	"2021"	"Unknown or Not Stated"	"9"	1070
	"California"	"06"	"2021"	"2021"	"Not Reported"	"10"	0
"Total"	"California"	"06"	"2021"	"2021"			420608
	"California"	"06"	"2022"	"2022"	"Yes"	"1"	2833
	"California"	"06"	"2022"	"2022"	"No"	"2"	414427
	"California"	"06"	"2022"	"2022"	"Unknown or Not Stated"	"9"	1844
	"California"	"06"	"2022"	"2022"	"Not Reported"	"10"	0
"Total"	"California"	"06"	"2022"	"2022"			419104
	"California"	"06"	"2023"	"2023"	"Yes"	"1"	2201
	"California"	"06"	"2023"	"2023"	"No"	"2"	396554
	"California"	"06"	"2023"	"2023"	"Unknown or Not Stated"	"9"	1353
	"California"	"06"	"2023"	"2023"	"Not Reported"	"10"	0
"Total"	"California"	"06"	"2023"	"2023"			400108
"Total"	"California"	"06"					6527368
	"Florida"	"12"	"2010"	"2010"	"Yes"	"1"	0
	"Florida"	"12"	"2010"	"2010"	"No"	"2"	0
	"Florida"	"12"	"2010"	"2010"	"Unknown or Not Stated"	"9"	0
	"Florida"	"12"	"2010"	"2010"	"Not Reported"	"10"	214590
"Total"	"Florida"	"12"	"2010"	"2010"			214590
	"Florida"	"12"	"2011"	"2011"	"Yes"	"1"	14226
	"Florida"	"12"	"2011"	"2011"	"No"	"2"	198448
	"Florida"	"12"	"2011"	"2011"	"Unknown or Not Stated"	"9"	740
	"Florida"	"12"	"2011"	"2011"	"Not Reported"	"10"	0
"Total"	"Florida"	"12"	"2011"	"2011"			213414
	"Florida"	"12"	"2012"	"2012"	"Yes"	"1"	14129
	"Florida"	"12"	"2012"	"2012"	"No"	"2"	198352
	"Florida"	"12"	"2012"	"2012"	"Unknown or Not Stated"	"9"	667
	"Florida"	"12"	"2012"	"2012"	"Not Reported"	"10"	0
"Total"	"Florida"	"12"	"2012"	"2012"			213148
	"Florida"	"12"	"2013"	"2013"	"Yes"	"1"	14145
	"Florida"	"12"	"2013"	"2013"	"No"	"2"	200563
	"Florida"	"12"	"2013"	"2013"	"Unknown or Not Stated"	"9"	699
	"Florida"	"12"	"2013"	"2013"	"Not Reported"	"10"	0
"Total"	"Florida"	"12"	"2013"	"2013"			215407
	"Florida"	"12"	"2014"	"2014"	"Yes"	"1"	14064
	"Florida"	"12"	"2014"	"2014"	"No"	"2"	204047
	"Florida"	"12"	"2014"	"2014"	"Unknown or Not Stated"	"9"	1880
	"Florida"	"12"	"2014"	"2014"	"Not Reported"	"10"	0
"Total"	"Florida"	"12"	"2014"	"2014"			219991
	"Florida"	"12"	"2015"	"2015"	"Yes"	"1"	12970
	"Florida"	"12"	"2015"	"2015"	"No"	"2"	210261
	"Florida"	"12"	"2015"	"2015"	"Unknown or Not Stated"	"9"	1038
	"Florida"	"12"	"2015"	"2015"	"Not Reported"	"10"	0
"Total"	"Florida"	"12"	"2015"	"2015"			224269
	"Florida"	"12"	"2016"	"2016"	"Yes"	"1"	11454
	"Florida"	"12"	"2016"	"2016"	"No"	"2"	212655
	"Florida"	"12"	"2016"	"2016"	"Unknown or Not Stated"	"9"	913
	"Florida"	"12"	"2016"	"2016"	"Not Reported"	"10"	0
"Total"	"Florida"	"12"	"2016"	"2016"			225022
	"Florida"	"12"	"2017"	"2017"	"Yes"	"1"	10639
	"Florida"	"12"	"2017"	"2017"	"No"	"2"	211286
	"Florida"	"12"	"2017"	"2017"	"Unknown or Not Stated"	"9"	1705
	"Florida"	"12"	"2017"	"2017"	"Not Reported"	"10"	0
"Total"	"Florida"	"12"	"2017"	"2017"			223630
	"Florida"	"12"	"2018"	"2018"	"Yes"	"1"	9836
	"Florida"	"12"	"2018"	"2018"	"No"	"2"	210702
	"Florida"	"12"	"2018"	"2018"	"Unknown or Not Stated"	"9"	1004
	"Florida"	"12"	"2018"	"2018"	"Not Reported"	"10"	0
"Total"	"Florida"	"12"	"2018"	"2018"			221542
	"Florida"	"12"	"2019"	"2019"	"Yes"	"1"	9011
	"Florida"	"12"	"2019"	"2019"	"No"	"2"	210130
	"Florida"	"12"	"2019"	"2019"	"Unknown or Not Stated"	"9"	861
	"Florida"	"12"	"2019"	"2019"	"Not Reported"	"10"	0
"Total"	"Florida"	"12"	"2019"	"2019"			220002
	"Florida"	"12"	"2020"	"2020"	"Yes"	"1"	7763
	"Florida"	"12"	"2020"	"2020"	"No"	"2"	201332
	"Florida"	"12"	"2020"	"2020"	"Unknown or Not Stated"	"9"	576
	"Florida"	"12"	"2020"	"2020"	"Not Reported"	"10"	0
"Total"	"Florida"	"12"	"2020"	"2020"			209671
	"Florida"	"12"	"2021"	"2021"	"Yes"	"1"	6233
	"Florida"	"12"	"2021"	"2021"	"No"	"2"	209375
	"Florida"	"12"	"2021"	"2021"	"Unknown or Not Stated"	"9"	652
	"Florida"	"12"	"2021"	"2021"	"Not Reported"	"10"	0
"Total"	"Florida"	"12"	"2021"	"2021"			216260
	"Florida"	"12"	"2022"	"2022"	"Yes"	"1"	5186
	"Florida"	"12"	"2022"	"2022"	"No"	"2"	219019
	"Florida"	"12"	"2022"	"2022"	"Unknown or Not Stated"	"9"	228
	"Florida"	"12"	"2022"	"2022"	"Not Reported"	"10"	0
"Total"	"Florida"	"12"	"2022"	"2022"			224433
	"Florida"	"12"	"2023"	"2023"	"Yes"	"1"	3994
	"Florida"	"12"	"2023"	"2023"	"No"	"2"	217005
	"Florida"	"12"	"2023"	"2023"	"Unknown or Not Stated"	"9"	411
	"Florida"	"12"	"2023"	"2023"	"Not Reported"	"10"	0
"Total"	"Florida"	"12"	"2023"	"2023"			221410
"Total"	"Florida"	"12"					3062789
	"Georgia"	"13"	"2010"	"2010"	"Yes"	"1"	0
	"Georgia"	"13"	"2010"	"2010"	"No"	"2"	0
	"Georgia"	"13"	"2010"	"2010"	"Unknown or Not Stated"	"9"	0
	"Georgia"	"13"	"2010"	"2010"	"Not Reported"	"10"	133947
"Total"	"Georgia"	"13"	"2010"	"2010"			133947
	"Georgia"	"13"	"2011"	"2011"	"Yes"	"1"	266
	"Georgia"	"13"	"2011"	"2011"	"No"	"2"	1573
	"Georgia"	"13"	"2011"	"2011"	"Unknown or Not Stated"	"9"	130570
	"Georgia"	"13"	"2011"	"2011"	"Not Reported"	"10"	0
"Total"	"Georgia"	"13"	"2011"	"2011"			132409
	"Georgia"	"13"	"2012"	"2012"	"Yes"	"1"	7872
	"Georgia"	"13"	"2012"	"2012"	"No"	"2"	93839
	"Georgia"	"13"	"2012"	"2012"	"Unknown or Not Stated"	"9"	28569
	"Georgia"	"13"	"2012"	"2012"	"Not Reported"	"10"	0
"Total"	"Georgia"	"13"	"2012"	"2012"			130280
	"Georgia"	"13"	"2013"	"2013"	"Yes"	"1"	7753
	"Georgia"	"13"	"2013"	"2013"	"No"	"2"	99582
	"Georgia"	"13"	"2013"	"2013"	"Unknown or Not Stated"	"9"	21413
	"Georgia"	"13"	"2013"	"2013"	"Not Reported"	"10"	0
"Total"	"Georgia"	"13"	"2013"	"2013"			128748
	"Georgia"	"13"	"2014"	"2014"	"Yes"	"1"	7825
	"Georgia"	"13"	"2014"	"2014"	"No"	"2"	113446
	"Georgia"	"13"	"2014"	"2014"	"Unknown or Not Stated"	"9"	9675
	"Georgia"	"13"	"2014"	"2014"	"Not Reported"	"10"	0
"Total"	"Georgia"	"13"	"2014"	"2014"			130946
	"Georgia"	"13"	"2015"	"2015"	"Yes"	"1"	7452
	"Georgia"	"13"	"2015"	"2015"	"No"	"2"	122882
	"Georgia"	"13"	"2015"	"2015"	"Unknown or Not Stated"	"9"	1070
	"Georgia"	"13"	"2015"	"2015"	"Not Reported"	"10"	0
"Total"	"Georgia"	"13"	"2015"	"2015"			131404
	"Georgia"	"13"	"2016"	"2016"	"Yes"	"1"	6848
	"Georgia"	"13"	"2016"	"2016"	"No"	"2"	122719
	"Georgia"	"13"	"2016"	"2016"	"Unknown or Not Stated"	"9"	475
	"Georgia"	"13"	"2016"	"2016"	"Not Reported"	"10"	0
"Total"	"Georgia"	"13"	"2016"	"2016"			130042
	"Georgia"	"13"	"2017"	"2017"	"Yes"	"1"	6172
	"Georgia"	"13"	"2017"	"2017"	"No"	"2"	122807
	"Georgia"	"13"	"2017"	"2017"	"Unknown or Not Stated"	"9"	264
	"Georgia"	"13"	"2017"	"2017"	"Not Reported"	"10"	0
"Total"	"Georgia"	"13"	"2017"	"2017"			129243
	"Georgia"	"13"	"2018"	"2018"	"Yes"	"1"	5506
	"Georgia"	"13"	"2018"	"2018"	"No"	"2"	120362
	"Georgia"	"13"	"2018"	"2018"	"Unknown or Not Stated"	"9"	304
	"Georgia"	"13"	"2018"	"2018"	"Not Reported"	"10"	0
"Total"	"Georgia"	"13"	"2018"	"2018"			126172
	"Georgia"	"13"	"2019"	"2019"	"Yes"	"1"	5219
	"Georgia"	"13"	"2019"	"2019"	"No"	"2"	119537
	"Georgia"	"13"	"2019"	"2019"	"Unknown or Not Stated"	"9"	1615
	"Georgia"	"13"	"2019"	"2019"	"Not Reported"	"10"	0
"Total"	"Georgia"	"13"	"2019"	"2019"			126371
	"Georgia"	"13"	"2020"	"2020"	"Yes"	"1"	5083
	"Georgia"	"13"	"2020"	"2020"	"No"	"2"	117181
	"Georgia"	"13"	"2020"	"2020"	"Unknown or Not Stated"	"9"	209
	"Georgia"	"13"	"2020"	"2020"	"Not Reported"	"10"	0
"Total"	"Georgia"	"13"	"2020"	"2020"			122473
	"Georgia"	"13"	"2021"	"2021"	"Yes"	"1"	4325
	"Georgia"	"13"	"2021"	"2021"	"No"	"2"	119509
	"Georgia"	"13"	"2021"	"2021"	"Unknown or Not Stated"	"9"	239
	"Georgia"	"13"	"2021"	"2021"	"Not Reported"	"10"	0
"Total"	"Georgia"	"13"	"2021"	"2021"			124073
	"Georgia"	"13"	"2022"	"2022"	"Yes"	"1"	3586
	"Georgia"	"13"	"2022"	"2022"	"No"	"2"	122267
	"Georgia"	"13"	"2022"	"2022"	"Unknown or Not Stated"	"9"	277
	"Georgia"	"13"	"2022"	"2022"	"Not Reported"	"10"	0
"Total"	"Georgia"	"13"	"2022"	"2022"			126130
	"Georgia"	"13"	"2023"	"2023"	"Yes"	"1"	2695
	"Georgia"	"13"	"2023"	"2023"	"No"	"2"	122109
	"Georgia"	"13"	"2023"	"2023"	"Unknown or Not Stated"	"9"	316
	"Georgia"	"13"	"2023"	"2023"	"Not Reported"	"10"	0
"Total"	"Georgia"	"13"	"2023"	"2023"			125120
"Total"	"Georgia"	"13"					1797358
	"Illinois"	"17"	"2010"	"2010"	"Yes"	"1"	12984
	"Illinois"	"17"	"2010"	"2010"	"No"	"2"	150571
	"Illinois"	"17"	"2010"	"2010"	"Unknown or Not Stated"	"9"	1645
	"Illinois"	"17"	"2010"	"2010"	"Not Reported"	"10"	0
"Total"	"Illinois"	"17"	"2010"	"2010"			165200
	"Illinois"	"17"	"2011"	"2011"	"Yes"	"1"	12099
	"Illinois"	"17"	"2011"	"2011"	"No"	"2"	148385
	"Illinois"	"17"	"2011"	"2011"	"Unknown or Not Stated"	"9"	828
	"Illinois"	"17"	"2011"	"2011"	"Not Reported"	"10"	0
"Total"	"Illinois"	"17"	"2011"	"2011"			161312
	"Illinois"	"17"	"2012"	"2012"	"Yes"	"1"	11282
	"Illinois"	"17"	"2012"	"2012"	"No"	"2"	146816
	"Illinois"	"17"	"2012"	"2012"	"Unknown or Not Stated"	"9"	1062
	"Illinois"	"17"	"2012"	"2012"	"Not Reported"	"10"	0
"Total"	"Illinois"	"17"	"2012"	"2012"			159160
	"Illinois"	"17"	"2013"	"2013"	"Yes"	"1"	10962
	"Illinois"	"17"	"2013"	"2013"	"No"	"2"	145142
	"Illinois"	"17"	"2013"	"2013"	"Unknown or Not Stated"	"9"	827
	"Illinois"	"17"	"2013"	"2013"	"Not Reported"	"10"	0
"Total"	"Illinois"	"17"	"2013"	"2013"			156931
	"Illinois"	"17"	"2014"	"2014"	"Yes"	"1"	10676
	"Illinois"	"17"	"2014"	"2014"	"No"	"2"	147293
	"Illinois"	"17"	"2014"	"2014"	"Unknown or Not Stated"	"9"	587
	"Illinois"	"17"	"2014"	"2014"	"Not Reported"	"10"	0
"Total"	"Illinois"	"17"	"2014"	"2014"			158556
	"Illinois"	"17"	"2015"	"2015"	"Yes"	"1"	10355
	"Illinois"	"17"	"2015"	"2015"	"No"	"2"	147179
	"Illinois"	"17"	"2015"	"2015"	"Unknown or Not Stated"	"9"	582
	"Illinois"	"17"	"2015"	"2015"	"Not Reported"	"10"	0
"Total"	"Illinois"	"17"	"2015"	"2015"			158116
	"Illinois"	"17"	"2016"	"2016"	"Yes"	"1"	9891
	"Illinois"	"17"	"2016"	"2016"	"No"	"2"	143895
	"Illinois"	"17"	"2016"	"2016"	"Unknown or Not Stated"	"9"	659
	"Illinois"	"17"	"2016"	"2016"	"Not Reported"	"10"	0
"Total"	"Illinois"	"17"	"2016"	"2016"			154445
	"Illinois"	"17"	"2017"	"2017"	"Yes"	"1"	9466
	"Illinois"	"17"	"2017"	"2017"	"No"	"2"	139415
	"Illinois"	"17"	"2017"	"2017"	"Unknown or Not Stated"	"9"	509
	"Illinois"	"17"	"2017"	"2017"	"Not Reported"	"10"	0
"Total"	"Illinois"	"17"	"2017"	"2017"			149390
	"Illinois"	"17"	"2018"	"2018"	"Yes"	"1"	8623
	"Illinois"	"17"	"2018"	"2018"	"No"	"2"	135883
	"Illinois"	"17"	"2018"	"2018"	"Unknown or Not Stated"	"9"	309
	"Illinois"	"17"	"2018"	"2018"	"Not Reported"	"10"	0
"Total"	"Illinois"	"17"	"2018"	"2018"			144815
	"Illinois"	"17"	"2019"	"2019"	"Yes"	"1"	7409
	"Illinois"	"17"	"2019"	"2019"	"No"	"2"	132471
	"Illinois"	"17"	"2019"	"2019"	"Unknown or Not Stated"	"9"	248
	"Illinois"	"17"	"2019"	"2019"	"Not Reported"	"10"	0
"Total"	"Illinois"	"17"	"2019"	"2019"			140128
	"Illinois"	"17"	"2020"	"2020"	"Yes"	"1"	6722
	"Illinois"	"17"	"2020"	"2020"	"No"	"2"	126195
