"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Birthplace"	"Birthplace Code"	Births
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Other"	"5"	63
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"In Hospital"	"1"	144901
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Freestanding Birth Center"	"2"	437
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Clinic/Doctor's Office"	"3"	19
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Residence"	"4"	1196
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Other"	"5"	69
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"In Hospital"	"1"	142425
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Freestanding Birth Center"	"2"	364
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Residence"	"4"	1163
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Other"	"5"	112
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"In Hospital"	"1"	140891
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Freestanding Birth Center"	"2"	372
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Residence"	"4"	1170
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Other"	"5"	83
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"In Hospital"	"1"	136485
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Freestanding Birth Center"	"2"	401
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Residence"	"4"	1487
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Other"	"5"	66
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Unknown or Not Stated"	"9"	12
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"In Hospital"	"1"	143059
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Freestanding Birth Center"	"2"	548
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Residence"	"4"	1586
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Other"	"5"	82
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"In Hospital"	"1"	141425
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Freestanding Birth Center"	"2"	492
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Residence"	"4"	1659
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Other"	"5"	84
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"In Hospital"	"1"	137978
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Freestanding Birth Center"	"2"	418
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Residence"	"4"	1593
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Other"	"5"	90
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"In Hospital"	"1"	487464
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Freestanding Birth Center"	"2"	1902
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Clinic/Doctor's Office"	"3"	70
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Residence"	"4"	4822
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Other"	"5"	355
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"In Hospital"	"1"	482924
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Freestanding Birth Center"	"2"	1670
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Clinic/Doctor's Office"	"3"	94
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Residence"	"4"	5174
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Other"	"5"	495
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Unknown or Not Stated"	"9"	16
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"In Hospital"	"1"	479988
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Freestanding Birth Center"	"2"	1836
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Clinic/Doctor's Office"	"3"	80
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Residence"	"4"	5082
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Other"	"5"	668
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"In Hospital"	"1"	472586
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Freestanding Birth Center"	"2"	1858
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Clinic/Doctor's Office"	"3"	69
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Residence"	"4"	5098
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Other"	"5"	853
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Unknown or Not Stated"	"9"	12
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"In Hospital"	"1"	476165
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Freestanding Birth Center"	"2"	1979
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Clinic/Doctor's Office"	"3"	55
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Residence"	"4"	5178
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Other"	"5"	962
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"In Hospital"	"1"	473070
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Freestanding Birth Center"	"2"	1855
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Clinic/Doctor's Office"	"3"	76
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Residence"	"4"	5267
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Other"	"5"	1174
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"In Hospital"	"1"	467930
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Freestanding Birth Center"	"2"	1853
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Clinic/Doctor's Office"	"3"	44
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Residence"	"4"	5375
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Other"	"5"	1137
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Unknown or Not Stated"	"9"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"In Hospital"	"1"	460150
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Freestanding Birth Center"	"2"	1902
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Clinic/Doctor's Office"	"3"	61
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Residence"	"4"	5347
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Other"	"5"	1269
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"In Hospital"	"1"	454263
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Freestanding Birth Center"	"2"	2000
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Clinic/Doctor's Office"	"3"	68
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Residence"	"4"	5558
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Other"	"5"	1236
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"In Hospital"	"1"	446537
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Freestanding Birth Center"	"2"	2107
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Clinic/Doctor's Office"	"3"	44
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Residence"	"4"	5479
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Other"	"5"	1182
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"In Hospital"	"1"	427763
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Freestanding Birth Center"	"2"	2310
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Clinic/Doctor's Office"	"3"	51
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Residence"	"4"	6465
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Other"	"5"	1393
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"In Hospital"	"1"	434036
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Freestanding Birth Center"	"2"	2265
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Clinic/Doctor's Office"	"3"	46
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Residence"	"4"	6754
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Other"	"5"	1760
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Unknown or Not Stated"	"9"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"In Hospital"	"1"	429785
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Freestanding Birth Center"	"2"	1967
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Clinic/Doctor's Office"	"3"	57
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Residence"	"4"	7464
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Other"	"5"	1640
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"In Hospital"	"1"	420266
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Freestanding Birth Center"	"2"	2021
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Clinic/Doctor's Office"	"3"	34
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Residence"	"4"	7771
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Other"	"5"	1468
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"In Hospital"	"1"	564288
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Freestanding Birth Center"	"2"	1293
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Clinic/Doctor's Office"	"3"	148
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Residence"	"4"	5300
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Other"	"5"	218
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Unknown or Not Stated"	"9"	39
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"In Hospital"	"1"	557459
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Freestanding Birth Center"	"2"	1369
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Clinic/Doctor's Office"	"3"	153
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Residence"	"4"	5442
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Other"	"5"	294
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Unknown or Not Stated"	"9"	32
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"In Hospital"	"1"	553717
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Freestanding Birth Center"	"2"	1360
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Clinic/Doctor's Office"	"3"	177
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Residence"	"4"	5780
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Other"	"5"	187
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Unknown or Not Stated"	"9"	35
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"In Hospital"	"1"	551267
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Freestanding Birth Center"	"2"	1391
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Clinic/Doctor's Office"	"3"	151
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Residence"	"4"	6051
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Other"	"5"	208
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Unknown or Not Stated"	"9"	39
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"In Hospital"	"1"	555287
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Freestanding Birth Center"	"2"	1515
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Clinic/Doctor's Office"	"3"	180
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Residence"	"4"	6393
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Other"	"5"	227
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Unknown or Not Stated"	"9"	37
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"In Hospital"	"1"	553254
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Freestanding Birth Center"	"2"	1636
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Clinic/Doctor's Office"	"3"	145
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Residence"	"4"	6507
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Other"	"5"	225
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"In Hospital"	"1"	546917
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Freestanding Birth Center"	"2"	1785
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Clinic/Doctor's Office"	"3"	136
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Residence"	"4"	6491
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Other"	"5"	201
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Unknown or Not Stated"	"9"	21
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"In Hospital"	"1"	536181
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Freestanding Birth Center"	"2"	1856
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Clinic/Doctor's Office"	"3"	146
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Residence"	"4"	6361
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Other"	"5"	228
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Unknown or Not Stated"	"9"	21
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"In Hospital"	"1"	526732
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Freestanding Birth Center"	"2"	1991
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Clinic/Doctor's Office"	"3"	150
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Residence"	"4"	6584
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Other"	"5"	258
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Unknown or Not Stated"	"9"	10
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"In Hospital"	"1"	517492
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Freestanding Birth Center"	"2"	1955
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Clinic/Doctor's Office"	"3"	147
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Residence"	"4"	6716
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Other"	"5"	286
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"In Hospital"	"1"	495165
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Freestanding Birth Center"	"2"	2203
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Clinic/Doctor's Office"	"3"	136
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Residence"	"4"	7852
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Other"	"5"	405
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Unknown or Not Stated"	"9"	12
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"In Hospital"	"1"	496520
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Freestanding Birth Center"	"2"	2667
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Clinic/Doctor's Office"	"3"	69
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Residence"	"4"	8981
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Other"	"5"	447
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"In Hospital"	"1"	486201
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Freestanding Birth Center"	"2"	3229
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Clinic/Doctor's Office"	"3"	34
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Residence"	"4"	8788
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Other"	"5"	346
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"In Hospital"	"1"	476753
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Freestanding Birth Center"	"2"	3300
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Clinic/Doctor's Office"	"3"	13
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Residence"	"4"	9126
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Other"	"5"	387
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Unknown or Not Stated"	"9"	15
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"In Hospital"	"1"	268491
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Freestanding Birth Center"	"2"	302
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Clinic/Doctor's Office"	"3"	89
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Residence"	"4"	2463
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Other"	"5"	222
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"In Hospital"	"1"	266237
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Freestanding Birth Center"	"2"	280
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Clinic/Doctor's Office"	"3"	83
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Residence"	"4"	2647
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Other"	"5"	226
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"In Hospital"	"1"	267488
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Freestanding Birth Center"	"2"	571
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Clinic/Doctor's Office"	"3"	81
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Residence"	"4"	3025
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Other"	"5"	246
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"In Hospital"	"1"	266909
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Freestanding Birth Center"	"2"	1130
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Clinic/Doctor's Office"	"3"	52
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Residence"	"4"	3011
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Other"	"5"	222
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"In Hospital"	"1"	269948
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Freestanding Birth Center"	"2"	1239
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Clinic/Doctor's Office"	"3"	53
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Residence"	"4"	3145
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Other"	"5"	218
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"In Hospital"	"1"	269082
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Freestanding Birth Center"	"2"	1240
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Clinic/Doctor's Office"	"3"	62
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Residence"	"4"	3209
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Other"	"5"	257
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Unknown or Not Stated"	"9"	10
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"In Hospital"	"1"	267087
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Freestanding Birth Center"	"2"	1213
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Clinic/Doctor's Office"	"3"	151
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Residence"	"4"	3423
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Other"	"5"	277
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"In Hospital"	"1"	260363
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Freestanding Birth Center"	"2"	1096
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Clinic/Doctor's Office"	"3"	219
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Residence"	"4"	3386
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Other"	"5"	202
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"In Hospital"	"1"	257551
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Freestanding Birth Center"	"2"	1273
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Clinic/Doctor's Office"	"3"	240
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Residence"	"4"	3382
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Other"	"5"	223
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"In Hospital"	"1"	252897
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Freestanding Birth Center"	"2"	1268
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Clinic/Doctor's Office"	"3"	246
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Residence"	"4"	3174
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Other"	"5"	263
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"In Hospital"	"1"	242742
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Freestanding Birth Center"	"2"	1475
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Clinic/Doctor's Office"	"3"	269
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Residence"	"4"	3743
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Other"	"5"	287
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Unknown or Not Stated"	"9"	12
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"In Hospital"	"1"	245330
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Freestanding Birth Center"	"2"	1368
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Clinic/Doctor's Office"	"3"	314
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Residence"	"4"	4152
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Other"	"5"	338
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"In Hospital"	"1"	242561
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Freestanding Birth Center"	"2"	1352
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Clinic/Doctor's Office"	"3"	335
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Residence"	"4"	4407
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Other"	"5"	355
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Unknown or Not Stated"	"9"	10
