"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Mother's Single Race"	"Mother's Single Race Code"	Births
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"More than one race"	"M"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Unknown or Not Stated"	"UNK"	0
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Not Available"	"NA"	151063
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"			151063
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Asian"	"A"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Black or African American"	"2054-5"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"White"	"2106-3"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"More than one race"	"M"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Unknown or Not Stated"	"UNK"	0
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Not Available"	"NA"	149829
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"			149829
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Asian"	"A"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Black or African American"	"2054-5"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"White"	"2106-3"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"More than one race"	"M"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Unknown or Not Stated"	"UNK"	0
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Not Available"	"NA"	150146
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"			150146
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Asian"	"A"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Black or African American"	"2054-5"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"White"	"2106-3"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"More than one race"	"M"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Unknown or Not Stated"	"UNK"	0
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Not Available"	"NA"	149174
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"			149174
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"American Indian or Alaska Native"	"1002-5"	452
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Asian"	"A"	11010
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Black or African American"	"2054-5"	16447
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	85
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"White"	"2106-3"	117522
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"More than one race"	"M"	3342
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Unknown or Not Stated"	"UNK"	0
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Not Available"	"NA"	0
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"			148858
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"American Indian or Alaska Native"	"1002-5"	462
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Asian"	"A"	10592
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Black or African American"	"2054-5"	16850
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	87
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"White"	"2106-3"	115202
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"More than one race"	"M"	3437
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Unknown or Not Stated"	"UNK"	0
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Not Available"	"NA"	0
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"			146630
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"American Indian or Alaska Native"	"1002-5"	496
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Asian"	"A"	10016
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Black or African American"	"2054-5"	17111
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	100
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"White"	"2106-3"	112779
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"More than one race"	"M"	3576
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Unknown or Not Stated"	"UNK"	0
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Not Available"	"NA"	0
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"			144078
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"American Indian or Alaska Native"	"1002-5"	605
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Asian"	"A"	10081
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Black or African American"	"2054-5"	17089
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	113
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"White"	"2106-3"	111035
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"More than one race"	"M"	3606
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Unknown or Not Stated"	"UNK"	0
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Not Available"	"NA"	0
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2019"	"2019"			142529
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"American Indian or Alaska Native"	"1002-5"	580
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Asian"	"A"	9295
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Black or African American"	"2054-5"	17034
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	87
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"White"	"2106-3"	107965
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"More than one race"	"M"	3491
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Unknown or Not Stated"	"UNK"	0
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Not Available"	"NA"	0
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2020"	"2020"			138452
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"American Indian or Alaska Native"	"1002-5"	573
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Asian"	"A"	8850
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Black or African American"	"2054-5"	17971
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	89
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"White"	"2106-3"	114139
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"More than one race"	"M"	3664
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Unknown or Not Stated"	"UNK"	0
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Not Available"	"NA"	0
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2021"	"2021"			145286
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"American Indian or Alaska Native"	"1002-5"	604
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Asian"	"A"	8975
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Black or African American"	"2054-5"	18575
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	130
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"White"	"2106-3"	111545
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"More than one race"	"M"	3842
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Unknown or Not Stated"	"UNK"	0
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Not Available"	"NA"	0
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2022"	"2022"			143671
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"American Indian or Alaska Native"	"1002-5"	634
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Asian"	"A"	8563
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Black or African American"	"2054-5"	18660
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	159
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"White"	"2106-3"	108303
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"More than one race"	"M"	3766
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Unknown or Not Stated"	"UNK"	0
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Not Available"	"NA"	0
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2023"	"2023"			140085
"Total"	"Division 1: New England"	"CENS-D1"					2056658
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Asian"	"A"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Black or African American"	"2054-5"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"White"	"2106-3"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"More than one race"	"M"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Unknown or Not Stated"	"UNK"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Not Available"	"NA"	494618
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"			494618
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Asian"	"A"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Black or African American"	"2054-5"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"White"	"2106-3"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"More than one race"	"M"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Unknown or Not Stated"	"UNK"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Not Available"	"NA"	490373
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"			490373
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Asian"	"A"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Black or African American"	"2054-5"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"White"	"2106-3"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"More than one race"	"M"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Unknown or Not Stated"	"UNK"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Not Available"	"NA"	487660
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"			487660
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Asian"	"A"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Black or African American"	"2054-5"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"White"	"2106-3"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"More than one race"	"M"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Unknown or Not Stated"	"UNK"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Not Available"	"NA"	480476
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"			480476
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Asian"	"A"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Black or African American"	"2054-5"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"White"	"2106-3"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"More than one race"	"M"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Unknown or Not Stated"	"UNK"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Not Available"	"NA"	484346
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"			484346
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Asian"	"A"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Black or African American"	"2054-5"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"White"	"2106-3"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"More than one race"	"M"	Missing Race
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Unknown or Not Stated"	"UNK"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Not Available"	"NA"	481448
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"			481448
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"American Indian or Alaska Native"	"1002-5"	951
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Asian"	"A"	50144
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Black or African American"	"2054-5"	82583
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	426
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"White"	"2106-3"	332640
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"More than one race"	"M"	9595
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Unknown or Not Stated"	"UNK"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Not Available"	"NA"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"			476339
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"American Indian or Alaska Native"	"1002-5"	914
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Asian"	"A"	48520
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Black or African American"	"2054-5"	81770
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	393
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"White"	"2106-3"	327284
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"More than one race"	"M"	9851
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Unknown or Not Stated"	"UNK"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Not Available"	"NA"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"			468732
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"American Indian or Alaska Native"	"1002-5"	1240
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Asian"	"A"	43524
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Black or African American"	"2054-5"	80311
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	617
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"White"	"2106-3"	327723
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"More than one race"	"M"	9719
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Unknown or Not Stated"	"UNK"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Not Available"	"NA"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"			463134
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"American Indian or Alaska Native"	"1002-5"	1323
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Asian"	"A"	43009
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Black or African American"	"2054-5"	79871
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	596
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"White"	"2106-3"	320289
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"More than one race"	"M"	10266
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Unknown or Not Stated"	"UNK"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Not Available"	"NA"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"			455354
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"American Indian or Alaska Native"	"1002-5"	1389
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Asian"	"A"	39155
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Black or African American"	"2054-5"	78234
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	559
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"White"	"2106-3"	308307
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"More than one race"	"M"	10341
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Unknown or Not Stated"	"UNK"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Not Available"	"NA"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"			437985
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"American Indian or Alaska Native"	"1002-5"	1443
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Asian"	"A"	38417
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Black or African American"	"2054-5"	78947
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	836
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"White"	"2106-3"	315746
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"More than one race"	"M"	9472
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Unknown or Not Stated"	"UNK"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Not Available"	"NA"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"			444861
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"American Indian or Alaska Native"	"1002-5"	1510
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Asian"	"A"	39065
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Black or African American"	"2054-5"	79415
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	816
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"White"	"2106-3"	311377
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"More than one race"	"M"	8736
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Unknown or Not Stated"	"UNK"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Not Available"	"NA"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"			440919
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"American Indian or Alaska Native"	"1002-5"	1552
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Asian"	"A"	37690
