"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Pregnancy-associated Hypertension"	"Pregnancy-associated Hypertension Code"	Births
	"Arizona"	"04"	"2021"	"2021"	"No"	"2"	70850
	"Arizona"	"04"	"2021"	"2021"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2022"	"2022"	"Yes"	"1"	7786
	"Arizona"	"04"	"2022"	"2022"	"No"	"2"	70761
	"Arizona"	"04"	"2022"	"2022"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2023"	"2023"	"Yes"	"1"	8090
	"Arizona"	"04"	"2023"	"2023"	"No"	"2"	70005
	"Arizona"	"04"	"2023"	"2023"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2010"	"2010"	"Yes"	"1"	1692
	"Arkansas"	"05"	"2010"	"2010"	"No"	"2"	36840
	"Arkansas"	"05"	"2010"	"2010"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2011"	"2011"	"Yes"	"1"	1757
	"Arkansas"	"05"	"2011"	"2011"	"No"	"2"	36954
	"Arkansas"	"05"	"2011"	"2011"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2012"	"2012"	"Yes"	"1"	1783
	"Arkansas"	"05"	"2012"	"2012"	"No"	"2"	36560
	"Arkansas"	"05"	"2012"	"2012"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2013"	"2013"	"Yes"	"1"	1943
	"Arkansas"	"05"	"2013"	"2013"	"No"	"2"	35887
	"Arkansas"	"05"	"2013"	"2013"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2014"	"2014"	"Yes"	"1"	1846
	"Arkansas"	"05"	"2014"	"2014"	"No"	"2"	36664
	"Arkansas"	"05"	"2014"	"2014"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2015"	"2015"	"Yes"	"1"	2068
	"Arkansas"	"05"	"2015"	"2015"	"No"	"2"	36817
	"Arkansas"	"05"	"2015"	"2015"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2016"	"2016"	"Yes"	"1"	2007
	"Arkansas"	"05"	"2016"	"2016"	"No"	"2"	36267
	"Arkansas"	"05"	"2016"	"2016"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2017"	"2017"	"Yes"	"1"	2106
	"Arkansas"	"05"	"2017"	"2017"	"No"	"2"	35411
	"Arkansas"	"05"	"2017"	"2017"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2018"	"2018"	"Yes"	"1"	2494
	"Arkansas"	"05"	"2018"	"2018"	"No"	"2"	34521
	"Arkansas"	"05"	"2018"	"2018"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2019"	"2019"	"Yes"	"1"	2838
	"Arkansas"	"05"	"2019"	"2019"	"No"	"2"	33725
	"Arkansas"	"05"	"2019"	"2019"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2020"	"2020"	"Yes"	"1"	2819
	"Arkansas"	"05"	"2020"	"2020"	"No"	"2"	32432
	"Arkansas"	"05"	"2020"	"2020"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2021"	"2021"	"Yes"	"1"	3260
	"Arkansas"	"05"	"2021"	"2021"	"No"	"2"	32704
	"Arkansas"	"05"	"2021"	"2021"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2022"	"2022"	"Yes"	"1"	3431
	"Arkansas"	"05"	"2022"	"2022"	"No"	"2"	32039
	"Arkansas"	"05"	"2022"	"2022"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2023"	"2023"	"Yes"	"1"	3752
	"Arkansas"	"05"	"2023"	"2023"	"No"	"2"	31511
	"Arkansas"	"05"	"2023"	"2023"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2010"	"2010"	"Yes"	"1"	12061
	"California"	"06"	"2010"	"2010"	"No"	"2"	498134
	"California"	"06"	"2010"	"2010"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2011"	"2011"	"Yes"	"1"	13255
	"California"	"06"	"2011"	"2011"	"No"	"2"	488863
	"California"	"06"	"2011"	"2011"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2012"	"2012"	"Yes"	"1"	14672
	"California"	"06"	"2012"	"2012"	"No"	"2"	489079
	"California"	"06"	"2012"	"2012"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2013"	"2013"	"Yes"	"1"	16319
	"California"	"06"	"2013"	"2013"	"No"	"2"	478383
	"California"	"06"	"2013"	"2013"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2014"	"2014"	"Yes"	"1"	18375
	"California"	"06"	"2014"	"2014"	"No"	"2"	484502
	"California"	"06"	"2014"	"2014"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2015"	"2015"	"Yes"	"1"	18586
	"California"	"06"	"2015"	"2015"	"No"	"2"	473161
	"California"	"06"	"2015"	"2015"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2016"	"2016"	"Yes"	"1"	19219
	"California"	"06"	"2016"	"2016"	"No"	"2"	469605
	"California"	"06"	"2016"	"2016"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2017"	"2017"	"Yes"	"1"	21058
	"California"	"06"	"2017"	"2017"	"No"	"2"	450597
	"California"	"06"	"2017"	"2017"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2018"	"2018"	"Yes"	"1"	22716
	"California"	"06"	"2018"	"2018"	"No"	"2"	432195
	"California"	"06"	"2018"	"2018"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2019"	"2019"	"Yes"	"1"	25353
	"California"	"06"	"2019"	"2019"	"No"	"2"	420781
	"California"	"06"	"2019"	"2019"	"Unknown or Not Stated"	"9"	345
	"California"	"06"	"2020"	"2020"	"Yes"	"1"	27900
	"California"	"06"	"2020"	"2020"	"No"	"2"	392140
	"California"	"06"	"2020"	"2020"	"Unknown or Not Stated"	"9"	219
	"California"	"06"	"2021"	"2021"	"Yes"	"1"	30630
	"California"	"06"	"2021"	"2021"	"No"	"2"	389737
	"California"	"06"	"2021"	"2021"	"Unknown or Not Stated"	"9"	241
	"California"	"06"	"2022"	"2022"	"Yes"	"1"	32715
	"California"	"06"	"2022"	"2022"	"No"	"2"	386269
	"California"	"06"	"2022"	"2022"	"Unknown or Not Stated"	"9"	120
	"California"	"06"	"2023"	"2023"	"Yes"	"1"	33441
	"California"	"06"	"2023"	"2023"	"No"	"2"	366485
	"California"	"06"	"2023"	"2023"	"Unknown or Not Stated"	"9"	182
	"Florida"	"12"	"2010"	"2010"	"Yes"	"1"	11321
	"Florida"	"12"	"2010"	"2010"	"No"	"2"	202717
	"Florida"	"12"	"2010"	"2010"	"Unknown or Not Stated"	"9"	552
	"Florida"	"12"	"2011"	"2011"	"Yes"	"1"	10604
	"Florida"	"12"	"2011"	"2011"	"No"	"2"	201939
	"Florida"	"12"	"2011"	"2011"	"Unknown or Not Stated"	"9"	871
	"Florida"	"12"	"2012"	"2012"	"Yes"	"1"	11231
	"Florida"	"12"	"2012"	"2012"	"No"	"2"	201519
	"Florida"	"12"	"2012"	"2012"	"Unknown or Not Stated"	"9"	398
	"Florida"	"12"	"2013"	"2013"	"Yes"	"1"	11246
	"Florida"	"12"	"2013"	"2013"	"No"	"2"	203789
	"Florida"	"12"	"2013"	"2013"	"Unknown or Not Stated"	"9"	372
	"Florida"	"12"	"2014"	"2014"	"Yes"	"1"	11064
	"Florida"	"12"	"2014"	"2014"	"No"	"2"	208592
	"Florida"	"12"	"2014"	"2014"	"Unknown or Not Stated"	"9"	335
	"Florida"	"12"	"2015"	"2015"	"Yes"	"1"	11488
	"Florida"	"12"	"2015"	"2015"	"No"	"2"	212437
	"Florida"	"12"	"2015"	"2015"	"Unknown or Not Stated"	"9"	344
	"Florida"	"12"	"2016"	"2016"	"Yes"	"1"	12336
	"Florida"	"12"	"2016"	"2016"	"No"	"2"	212270
	"Florida"	"12"	"2016"	"2016"	"Unknown or Not Stated"	"9"	416
	"Florida"	"12"	"2017"	"2017"	"Yes"	"1"	13321
	"Florida"	"12"	"2017"	"2017"	"No"	"2"	209805
	"Florida"	"12"	"2017"	"2017"	"Unknown or Not Stated"	"9"	504
	"Florida"	"12"	"2018"	"2018"	"Yes"	"1"	16033
	"Florida"	"12"	"2018"	"2018"	"No"	"2"	205037
	"Florida"	"12"	"2018"	"2018"	"Unknown or Not Stated"	"9"	472
	"Florida"	"12"	"2019"	"2019"	"Yes"	"1"	16935
	"Florida"	"12"	"2019"	"2019"	"No"	"2"	202750
	"Florida"	"12"	"2019"	"2019"	"Unknown or Not Stated"	"9"	317
	"Florida"	"12"	"2020"	"2020"	"Yes"	"1"	17714
	"Florida"	"12"	"2020"	"2020"	"No"	"2"	191663
	"Florida"	"12"	"2020"	"2020"	"Unknown or Not Stated"	"9"	294
	"Florida"	"12"	"2021"	"2021"	"Yes"	"1"	18555
	"Florida"	"12"	"2021"	"2021"	"No"	"2"	197026
	"Florida"	"12"	"2021"	"2021"	"Unknown or Not Stated"	"9"	679
	"Florida"	"12"	"2022"	"2022"	"Yes"	"1"	19584
	"Florida"	"12"	"2022"	"2022"	"No"	"2"	204467
	"Florida"	"12"	"2022"	"2022"	"Unknown or Not Stated"	"9"	382
	"Florida"	"12"	"2023"	"2023"	"Yes"	"1"	20766
	"Florida"	"12"	"2023"	"2023"	"No"	"2"	199859
	"Florida"	"12"	"2023"	"2023"	"Unknown or Not Stated"	"9"	785
	"Georgia"	"13"	"2010"	"2010"	"Yes"	"1"	5738
	"Georgia"	"13"	"2010"	"2010"	"No"	"2"	122788
	"Georgia"	"13"	"2010"	"2010"	"Unknown or Not Stated"	"9"	5421
	"Georgia"	"13"	"2011"	"2011"	"Yes"	"1"	5414
	"Georgia"	"13"	"2011"	"2011"	"No"	"2"	121167
	"Georgia"	"13"	"2011"	"2011"	"Unknown or Not Stated"	"9"	5828
	"Georgia"	"13"	"2012"	"2012"	"Yes"	"1"	5726
	"Georgia"	"13"	"2012"	"2012"	"No"	"2"	120396
	"Georgia"	"13"	"2012"	"2012"	"Unknown or Not Stated"	"9"	4158
	"Georgia"	"13"	"2013"	"2013"	"Yes"	"1"	6159
	"Georgia"	"13"	"2013"	"2013"	"No"	"2"	118978
	"Georgia"	"13"	"2013"	"2013"	"Unknown or Not Stated"	"9"	3611
	"Georgia"	"13"	"2014"	"2014"	"Yes"	"1"	6305
	"Georgia"	"13"	"2014"	"2014"	"No"	"2"	121532
	"Georgia"	"13"	"2014"	"2014"	"Unknown or Not Stated"	"9"	3109
	"Georgia"	"13"	"2015"	"2015"	"Yes"	"1"	6956
	"Georgia"	"13"	"2015"	"2015"	"No"	"2"	123635
	"Georgia"	"13"	"2015"	"2015"	"Unknown or Not Stated"	"9"	813
	"Georgia"	"13"	"2016"	"2016"	"Yes"	"1"	7810
	"Georgia"	"13"	"2016"	"2016"	"No"	"2"	121884
	"Georgia"	"13"	"2016"	"2016"	"Unknown or Not Stated"	"9"	348
	"Georgia"	"13"	"2017"	"2017"	"Yes"	"1"	8192
	"Georgia"	"13"	"2017"	"2017"	"No"	"2"	120669
	"Georgia"	"13"	"2017"	"2017"	"Unknown or Not Stated"	"9"	382
	"Georgia"	"13"	"2018"	"2018"	"Yes"	"1"	8533
	"Georgia"	"13"	"2018"	"2018"	"No"	"2"	117378
	"Georgia"	"13"	"2018"	"2018"	"Unknown or Not Stated"	"9"	261
	"Georgia"	"13"	"2019"	"2019"	"Yes"	"1"	9052
	"Georgia"	"13"	"2019"	"2019"	"No"	"2"	117118
	"Georgia"	"13"	"2019"	"2019"	"Unknown or Not Stated"	"9"	201
	"Georgia"	"13"	"2020"	"2020"	"Yes"	"1"	9724
	"Georgia"	"13"	"2020"	"2020"	"No"	"2"	112606
	"Georgia"	"13"	"2020"	"2020"	"Unknown or Not Stated"	"9"	143
	"Georgia"	"13"	"2021"	"2021"	"Yes"	"1"	11416
	"Georgia"	"13"	"2021"	"2021"	"No"	"2"	112488
	"Georgia"	"13"	"2021"	"2021"	"Unknown or Not Stated"	"9"	169
	"Georgia"	"13"	"2022"	"2022"	"Yes"	"1"	11657
	"Georgia"	"13"	"2022"	"2022"	"No"	"2"	114266
	"Georgia"	"13"	"2022"	"2022"	"Unknown or Not Stated"	"9"	207
	"Georgia"	"13"	"2023"	"2023"	"Yes"	"1"	12043
	"Georgia"	"13"	"2023"	"2023"	"No"	"2"	112892
	"Georgia"	"13"	"2023"	"2023"	"Unknown or Not Stated"	"9"	185
	"Illinois"	"17"	"2010"	"2010"	"Yes"	"1"	7568
	"Illinois"	"17"	"2010"	"2010"	"No"	"2"	155888
	"Illinois"	"17"	"2010"	"2010"	"Unknown or Not Stated"	"9"	1744
	"Illinois"	"17"	"2011"	"2011"	"Yes"	"1"	7802
	"Illinois"	"17"	"2011"	"2011"	"No"	"2"	152833
	"Illinois"	"17"	"2011"	"2011"	"Unknown or Not Stated"	"9"	677
	"Illinois"	"17"	"2012"	"2012"	"Yes"	"1"	7602
	"Illinois"	"17"	"2012"	"2012"	"No"	"2"	150558
	"Illinois"	"17"	"2012"	"2012"	"Unknown or Not Stated"	"9"	1000
	"Illinois"	"17"	"2013"	"2013"	"Yes"	"1"	8061
	"Illinois"	"17"	"2013"	"2013"	"No"	"2"	148104
	"Illinois"	"17"	"2013"	"2013"	"Unknown or Not Stated"	"9"	766
	"Illinois"	"17"	"2014"	"2014"	"Yes"	"1"	8675
	"Illinois"	"17"	"2014"	"2014"	"No"	"2"	149044
	"Illinois"	"17"	"2014"	"2014"	"Unknown or Not Stated"	"9"	837
	"Illinois"	"17"	"2015"	"2015"	"Yes"	"1"	9844
	"Illinois"	"17"	"2015"	"2015"	"No"	"2"	148094
	"Illinois"	"17"	"2015"	"2015"	"Unknown or Not Stated"	"9"	178
	"Illinois"	"17"	"2016"	"2016"	"Yes"	"1"	10543
	"Illinois"	"17"	"2016"	"2016"	"No"	"2"	143676
	"Illinois"	"17"	"2016"	"2016"	"Unknown or Not Stated"	"9"	226
	"Illinois"	"17"	"2017"	"2017"	"Yes"	"1"	10914
	"Illinois"	"17"	"2017"	"2017"	"No"	"2"	138111
	"Illinois"	"17"	"2017"	"2017"	"Unknown or Not Stated"	"9"	365
	"Illinois"	"17"	"2018"	"2018"	"Yes"	"1"	12046
	"Illinois"	"17"	"2018"	"2018"	"No"	"2"	132516
	"Illinois"	"17"	"2018"	"2018"	"Unknown or Not Stated"	"9"	253
	"Illinois"	"17"	"2019"	"2019"	"Yes"	"1"	12942
	"Illinois"	"17"	"2019"	"2019"	"No"	"2"	127064
	"Illinois"	"17"	"2019"	"2019"	"Unknown or Not Stated"	"9"	122
	"Illinois"	"17"	"2020"	"2020"	"Yes"	"1"	12702
	"Illinois"	"17"	"2020"	"2020"	"No"	"2"	120428
	"Illinois"	"17"	"2020"	"2020"	"Unknown or Not Stated"	"9"	168
	"Illinois"	"17"	"2021"	"2021"	"Yes"	"1"	13735
	"Illinois"	"17"	"2021"	"2021"	"No"	"2"	118331
	"Illinois"	"17"	"2021"	"2021"	"Unknown or Not Stated"	"9"	123
	"Illinois"	"17"	"2022"	"2022"	"Yes"	"1"	14038
	"Illinois"	"17"	"2022"	"2022"	"No"	"2"	114170
	"Illinois"	"17"	"2022"	"2022"	"Unknown or Not Stated"	"9"	142
	"Illinois"	"17"	"2023"	"2023"	"Yes"	"1"	14445
	"Illinois"	"17"	"2023"	"2023"	"No"	"2"	110253
	"Illinois"	"17"	"2023"	"2023"	"Unknown or Not Stated"	"9"	122
	"Indiana"	"18"	"2010"	"2010"	"Yes"	"1"	4657
	"Indiana"	"18"	"2010"	"2010"	"No"	"2"	79273
	"Indiana"	"18"	"2010"	"2010"	"Unknown or Not Stated"	"9"	10
	"Indiana"	"18"	"2011"	"2011"	"Yes"	"1"	4628
	"Indiana"	"18"	"2011"	"2011"	"No"	"2"	79061
	"Indiana"	"18"	"2011"	"2011"	"Unknown or Not Stated"	"9"	12
	"Indiana"	"18"	"2012"	"2012"	"Yes"	"1"	4775
	"Indiana"	"18"	"2012"	"2012"	"No"	"2"	78447
	"Indiana"	"18"	"2012"	"2012"	"Unknown or Not Stated"	"9"	Suppressed
	"Indiana"	"18"	"2013"	"2013"	"Yes"	"1"	4411
	"Indiana"	"18"	"2013"	"2013"	"No"	"2"	78686
	"Indiana"	"18"	"2013"	"2013"	"Unknown or Not Stated"	"9"	Suppressed
	"Indiana"	"18"	"2014"	"2014"	"Yes"	"1"	4897
	"Indiana"	"18"	"2014"	"2014"	"No"	"2"	79181
	"Indiana"	"18"	"2014"	"2014"	"Unknown or Not Stated"	"9"	Suppressed
	"Indiana"	"18"	"2015"	"2015"	"Yes"	"1"	5242
	"Indiana"	"18"	"2015"	"2015"	"No"	"2"	78796
	"Indiana"	"18"	"2015"	"2015"	"Unknown or Not Stated"	"9"	Suppressed
	"Indiana"	"18"	"2016"	"2016"	"Yes"	"1"	5650
	"Indiana"	"18"	"2016"	"2016"	"No"	"2"	77437
	"Indiana"	"18"	"2016"	"2016"	"Unknown or Not Stated"	"9"	Suppressed
	"Indiana"	"18"	"2017"	"2017"	"Yes"	"1"	6161
	"Indiana"	"18"	"2017"	"2017"	"No"	"2"	75999
	"Indiana"	"18"	"2017"	"2017"	"Unknown or Not Stated"	"9"	10
	"Indiana"	"18"	"2018"	"2018"	"Yes"	"1"	6812
	"Indiana"	"18"	"2018"	"2018"	"No"	"2"	74825
	"Indiana"	"18"	"2018"	"2018"	"Unknown or Not Stated"	"9"	Suppressed
	"Indiana"	"18"	"2019"	"2019"	"Yes"	"1"	7368
	"Indiana"	"18"	"2019"	"2019"	"No"	"2"	73487
	"Indiana"	"18"	"2019"	"2019"	"Unknown or Not Stated"	"9"	Suppressed
	"Indiana"	"18"	"2020"	"2020"	"Yes"	"1"	7735
	"Indiana"	"18"	"2020"	"2020"	"No"	"2"	70834
	"Indiana"	"18"	"2020"	"2020"	"Unknown or Not Stated"	"9"	47
	"Indiana"	"18"	"2021"	"2021"	"Yes"	"1"	8229
	"Indiana"	"18"	"2021"	"2021"	"No"	"2"	71256
	"Indiana"	"18"	"2021"	"2021"	"Unknown or Not Stated"	"9"	461
	"Indiana"	"18"	"2022"	"2022"	"Yes"	"1"	8392
	"Indiana"	"18"	"2022"	"2022"	"No"	"2"	70862
	"Indiana"	"18"	"2022"	"2022"	"Unknown or Not Stated"	"9"	395
	"Indiana"	"18"	"2023"	"2023"	"Yes"	"1"	8640
	"Indiana"	"18"	"2023"	"2023"	"No"	"2"	69856
	"Indiana"	"18"	"2023"	"2023"	"Unknown or Not Stated"	"9"	504
	"Maryland"	"24"	"2010"	"2010"	"Yes"	"1"	3023
	"Maryland"	"24"	"2010"	"2010"	"No"	"2"	70671
	"Maryland"	"24"	"2010"	"2010"	"Unknown or Not Stated"	"9"	107
	"Maryland"	"24"	"2011"	"2011"	"Yes"	"1"	3188
	"Maryland"	"24"	"2011"	"2011"	"No"	"2"	69776
	"Maryland"	"24"	"2011"	"2011"	"Unknown or Not Stated"	"9"	129
	"Maryland"	"24"	"2012"	"2012"	"Yes"	"1"	3230
	"Maryland"	"24"	"2012"	"2012"	"No"	"2"	69573
	"Maryland"	"24"	"2012"	"2012"	"Unknown or Not Stated"	"9"	80
	"Maryland"	"24"	"2013"	"2013"	"Yes"	"1"	3325
	"Maryland"	"24"	"2013"	"2013"	"No"	"2"	68506
	"Maryland"	"24"	"2013"	"2013"	"Unknown or Not Stated"	"9"	122
	"Maryland"	"24"	"2014"	"2014"	"Yes"	"1"	3911
	"Maryland"	"24"	"2014"	"2014"	"No"	"2"	69931
	"Maryland"	"24"	"2014"	"2014"	"Unknown or Not Stated"	"9"	79
	"Maryland"	"24"	"2015"	"2015"	"Yes"	"1"	4491
	"Maryland"	"24"	"2015"	"2015"	"No"	"2"	69122
	"Maryland"	"24"	"2015"	"2015"	"Unknown or Not Stated"	"9"	Suppressed
	"Maryland"	"24"	"2016"	"2016"	"Yes"	"1"	4548
	"Maryland"	"24"	"2016"	"2016"	"No"	"2"	68577
	"Maryland"	"24"	"2016"	"2016"	"Unknown or Not Stated"	"9"	11
	"Maryland"	"24"	"2017"	"2017"	"Yes"	"1"	5112
	"Maryland"	"24"	"2017"	"2017"	"No"	"2"	66460
	"Maryland"	"24"	"2017"	"2017"	"Unknown or Not Stated"	"9"	69
	"Maryland"	"24"	"2018"	"2018"	"Yes"	"1"	5198
	"Maryland"	"24"	"2018"	"2018"	"No"	"2"	65840
	"Maryland"	"24"	"2018"	"2018"	"Unknown or Not Stated"	"9"	42
	"Maryland"	"24"	"2019"	"2019"	"Yes"	"1"	5392
	"Maryland"	"24"	"2019"	"2019"	"No"	"2"	64746
	"Maryland"	"24"	"2019"	"2019"	"Unknown or Not Stated"	"9"	40
	"Maryland"	"24"	"2020"	"2020"	"Yes"	"1"	5907
	"Maryland"	"24"	"2020"	"2020"	"No"	"2"	62608
	"Maryland"	"24"	"2020"	"2020"	"Unknown or Not Stated"	"9"	39
	"Maryland"	"24"	"2021"	"2021"	"Yes"	"1"	6801
	"Maryland"	"24"	"2021"	"2021"	"No"	"2"	61442
	"Maryland"	"24"	"2021"	"2021"	"Unknown or Not Stated"	"9"	42
	"Maryland"	"24"	"2022"	"2022"	"Yes"	"1"	6810
	"Maryland"	"24"	"2022"	"2022"	"No"	"2"	61936
	"Maryland"	"24"	"2022"	"2022"	"Unknown or Not Stated"	"9"	36
	"Maryland"	"24"	"2023"	"2023"	"Yes"	"1"	7295
	"Maryland"	"24"	"2023"	"2023"	"No"	"2"	58283
	"Maryland"	"24"	"2023"	"2023"	"Unknown or Not Stated"	"9"	16
	"Michigan"	"26"	"2010"	"2010"	"Yes"	"1"	5435
	"Michigan"	"26"	"2010"	"2010"	"No"	"2"	107878
	"Michigan"	"26"	"2010"	"2010"	"Unknown or Not Stated"	"9"	1218
	"Michigan"	"26"	"2011"	"2011"	"Yes"	"1"	5544
	"Michigan"	"26"	"2011"	"2011"	"No"	"2"	106974
	"Michigan"	"26"	"2011"	"2011"	"Unknown or Not Stated"	"9"	1490
	"Michigan"	"26"	"2012"	"2012"	"Yes"	"1"	5589
	"Michigan"	"26"	"2012"	"2012"	"No"	"2"	106799
	"Michigan"	"26"	"2012"	"2012"	"Unknown or Not Stated"	"9"	703
	"Michigan"	"26"	"2013"	"2013"	"Yes"	"1"	5743
	"Michigan"	"26"	"2013"	"2013"	"No"	"2"	107506
	"Michigan"	"26"	"2013"	"2013"	"Unknown or Not Stated"	"9"	240
	"Michigan"	"26"	"2014"	"2014"	"Yes"	"1"	5882
	"Michigan"	"26"	"2014"	"2014"	"No"	"2"	108135
	"Michigan"	"26"	"2014"	"2014"	"Unknown or Not Stated"	"9"	358
	"Michigan"	"26"	"2015"	"2015"	"Yes"	"1"	6750
	"Michigan"	"26"	"2015"	"2015"	"No"	"2"	106229
	"Michigan"	"26"	"2015"	"2015"	"Unknown or Not Stated"	"9"	333
	"Michigan"	"26"	"2016"	"2016"	"Yes"	"1"	7370
	"Michigan"	"26"	"2016"	"2016"	"No"	"2"	105677
	"Michigan"	"26"	"2016"	"2016"	"Unknown or Not Stated"	"9"	268
	"Michigan"	"26"	"2017"	"2017"	"Yes"	"1"	7876
	"Michigan"	"26"	"2017"	"2017"	"No"	"2"	103238
	"Michigan"	"26"	"2017"	"2017"	"Unknown or Not Stated"	"9"	312
	"Michigan"	"26"	"2018"	"2018"	"Yes"	"1"	8616
	"Michigan"	"26"	"2018"	"2018"	"No"	"2"	101147
	"Michigan"	"26"	"2018"	"2018"	"Unknown or Not Stated"	"9"	269
	"Michigan"	"26"	"2019"	"2019"	"Yes"	"1"	9541
	"Michigan"	"26"	"2019"	"2019"	"No"	"2"	98106
	"Michigan"	"26"	"2019"	"2019"	"Unknown or Not Stated"	"9"	239
	"Michigan"	"26"	"2020"	"2020"	"Yes"	"1"	8644
	"Michigan"	"26"	"2020"	"2020"	"No"	"2"	95248
	"Michigan"	"26"	"2020"	"2020"	"Unknown or Not Stated"	"9"	182
	"Michigan"	"26"	"2021"	"2021"	"Yes"	"1"	9184
	"Michigan"	"26"	"2021"	"2021"	"No"	"2"	95651
	"Michigan"	"26"	"2021"	"2021"	"Unknown or Not Stated"	"9"	145
	"Michigan"	"26"	"2022"	"2022"	"Yes"	"1"	9754
	"Michigan"	"26"	"2022"	"2022"	"No"	"2"	92308
	"Michigan"	"26"	"2022"	"2022"	"Unknown or Not Stated"	"9"	259
	"Michigan"	"26"	"2023"	"2023"	"Yes"	"1"	10029
	"Michigan"	"26"	"2023"	"2023"	"No"	"2"	88760
	"Michigan"	"26"	"2023"	"2023"	"Unknown or Not Stated"	"9"	335
	"Missouri"	"29"	"2010"	"2010"	"Yes"	"1"	3366
	"Missouri"	"29"	"2010"	"2010"	"No"	"2"	73393
