"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Delivery Method"	"Delivery Method Code"	Births
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Vaginal"	"1"	101172
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Cesarean"	"2"	47246
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Unknown or Not Stated"	"9"	440
"Total"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"			148858
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Vaginal"	"1"	99714
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Cesarean"	"2"	46790
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Unknown or Not Stated"	"9"	126
"Total"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"			146630
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Vaginal"	"1"	97845
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Cesarean"	"2"	46134
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Unknown or Not Stated"	"9"	99
"Total"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"			144078
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Vaginal"	"1"	96901
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Cesarean"	"2"	45459
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Unknown or Not Stated"	"9"	169
"Total"	"Division 1: New England"	"CENS-D1"	"2019"	"2019"			142529
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Vaginal"	"1"	93365
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Cesarean"	"2"	44817
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Unknown or Not Stated"	"9"	270
"Total"	"Division 1: New England"	"CENS-D1"	"2020"	"2020"			138452
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Vaginal"	"1"	97391
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Cesarean"	"2"	47169
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Unknown or Not Stated"	"9"	726
"Total"	"Division 1: New England"	"CENS-D1"	"2021"	"2021"			145286
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Vaginal"	"1"	95576
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Cesarean"	"2"	47861
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Unknown or Not Stated"	"9"	234
"Total"	"Division 1: New England"	"CENS-D1"	"2022"	"2022"			143671
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Vaginal"	"1"	93183
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Cesarean"	"2"	46666
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Unknown or Not Stated"	"9"	236
"Total"	"Division 1: New England"	"CENS-D1"	"2023"	"2023"			140085
"Total"	"Division 1: New England"	"CENS-D1"					2056658
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Vaginal"	"1"	322001
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Cesarean"	"2"	170340
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Unknown or Not Stated"	"9"	2277
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"			494618
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Vaginal"	"1"	319743
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Cesarean"	"2"	168333
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Unknown or Not Stated"	"9"	2297
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"			490373
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Vaginal"	"1"	318489
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Cesarean"	"2"	167141
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Unknown or Not Stated"	"9"	2030
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"			487660
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Vaginal"	"1"	314513
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Cesarean"	"2"	164287
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Unknown or Not Stated"	"9"	1676
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"			480476
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Vaginal"	"1"	320262
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Cesarean"	"2"	162228
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Unknown or Not Stated"	"9"	1856
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"			484346
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Vaginal"	"1"	319996
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Cesarean"	"2"	160327
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Unknown or Not Stated"	"9"	1125
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"			481448
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Vaginal"	"1"	318069
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Cesarean"	"2"	157723
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Unknown or Not Stated"	"9"	547
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"			476339
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Vaginal"	"1"	311614
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Cesarean"	"2"	156504
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Unknown or Not Stated"	"9"	614
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"			468732
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Vaginal"	"1"	309962
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Cesarean"	"2"	152650
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Unknown or Not Stated"	"9"	522
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"			463134
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Vaginal"	"1"	306998
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Cesarean"	"2"	147569
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Unknown or Not Stated"	"9"	787
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"			455354
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Vaginal"	"1"	294739
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Cesarean"	"2"	142780
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Unknown or Not Stated"	"9"	466
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"			437985
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Vaginal"	"1"	298745
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Cesarean"	"2"	145629
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Unknown or Not Stated"	"9"	487
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"			444861
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Vaginal"	"1"	295695
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Cesarean"	"2"	144616
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Unknown or Not Stated"	"9"	608
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"			440919
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Vaginal"	"1"	289038
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Cesarean"	"2"	141977
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Unknown or Not Stated"	"9"	549
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"			431564
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"					6537809
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Vaginal"	"1"	395554
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Cesarean"	"2"	174716
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Unknown or Not Stated"	"9"	1016
"Total"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"			571286
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Vaginal"	"1"	389507
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Cesarean"	"2"	174373
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Unknown or Not Stated"	"9"	869
"Total"	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"			564749
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Vaginal"	"1"	387041
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Cesarean"	"2"	173658
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Unknown or Not Stated"	"9"	557
"Total"	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"			561256
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Vaginal"	"1"	386075
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Cesarean"	"2"	172542
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Unknown or Not Stated"	"9"	490
"Total"	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"			559107
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Vaginal"	"1"	390773
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Cesarean"	"2"	172551
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Unknown or Not Stated"	"9"	315
"Total"	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"			563639
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Vaginal"	"1"	391693
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Cesarean"	"2"	169842
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Unknown or Not Stated"	"9"	238
"Total"	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"			561773
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Vaginal"	"1"	386581
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Cesarean"	"2"	168784
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Unknown or Not Stated"	"9"	186
"Total"	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"			555551
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Vaginal"	"1"	379589
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Cesarean"	"2"	164986
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Unknown or Not Stated"	"9"	218
"Total"	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"			544793
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Vaginal"	"1"	372124
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Cesarean"	"2"	163428
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Unknown or Not Stated"	"9"	173
"Total"	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"			535725
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Vaginal"	"1"	366793
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Cesarean"	"2"	159635
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Unknown or Not Stated"	"9"	176
"Total"	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"			526604
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Vaginal"	"1"	350513
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Cesarean"	"2"	155092
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Unknown or Not Stated"	"9"	168
"Total"	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"			505773
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Vaginal"	"1"	350414
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Cesarean"	"2"	157960
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Unknown or Not Stated"	"9"	313
"Total"	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"			508687
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Vaginal"	"1"	343706
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Cesarean"	"2"	154609
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Unknown or Not Stated"	"9"	285
"Total"	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"			498600
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Vaginal"	"1"	337116
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Cesarean"	"2"	152037
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Unknown or Not Stated"	"9"	441
"Total"	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"			489594
"Total"	"Division 3: East North Central"	"CENS-D3"					7547137
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Vaginal"	"1"	190072
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Cesarean"	"2"	80922
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Unknown or Not Stated"	"9"	576
"Total"	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"			271570
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Vaginal"	"1"	189454
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Cesarean"	"2"	79304
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Unknown or Not Stated"	"9"	717
"Total"	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"			269475
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Vaginal"	"1"	190264
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Cesarean"	"2"	80617
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Unknown or Not Stated"	"9"	532
"Total"	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"			271413
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Vaginal"	"1"	191265
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Cesarean"	"2"	79736
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Unknown or Not Stated"	"9"	329
"Total"	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"			271330
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Vaginal"	"1"	195182
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Cesarean"	"2"	79163
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Unknown or Not Stated"	"9"	265
"Total"	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"			274610
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Vaginal"	"1"	194540
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Cesarean"	"2"	79178
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Unknown or Not Stated"	"9"	142
"Total"	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"			273860
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Vaginal"	"1"	193360
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Cesarean"	"2"	78684
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Unknown or Not Stated"	"9"	113
"Total"	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"			272157
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Vaginal"	"1"	188077
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Cesarean"	"2"	76954
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Unknown or Not Stated"	"9"	239
"Total"	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"			265270
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Vaginal"	"1"	187003
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Cesarean"	"2"	75483
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Unknown or Not Stated"	"9"	190
"Total"	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"			262676
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Vaginal"	"1"	183386
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Cesarean"	"2"	74281
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Unknown or Not Stated"	"9"	189
"Total"	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"			257856
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Vaginal"	"1"	176406
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Cesarean"	"2"	72004
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Unknown or Not Stated"	"9"	118
"Total"	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"			248528
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Vaginal"	"1"	178041
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Cesarean"	"2"	73233
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Unknown or Not Stated"	"9"	234
"Total"	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"			251508
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Vaginal"	"1"	175421
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Cesarean"	"2"	73463
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Unknown or Not Stated"	"9"	136
"Total"	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"			249020
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Vaginal"	"1"	171353
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Cesarean"	"2"	72441
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Unknown or Not Stated"	"9"	120
"Total"	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"			243914
"Total"	"Division 4: West North Central"	"CENS-D4"					3683187
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Vaginal"	"1"	485040
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Cesarean"	"2"	259409
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Unknown or Not Stated"	"9"	2582
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"			747031
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Vaginal"	"1"	482232
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Cesarean"	"2"	257124
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Unknown or Not Stated"	"9"	1263
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"			740619
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Vaginal"	"1"	479700
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Cesarean"	"2"	257024
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Unknown or Not Stated"	"9"	835
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"			737559
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"Vaginal"	"1"	479475
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"Cesarean"	"2"	254899
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"Unknown or Not Stated"	"9"	622
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"			734996
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"Vaginal"	"1"	491900
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"Cesarean"	"2"	255153
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"Unknown or Not Stated"	"9"	489
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"			747542
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"Vaginal"	"1"	495632
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"Cesarean"	"2"	256036
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"Unknown or Not Stated"	"9"	455
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"			752123
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"Vaginal"	"1"	493749
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"Cesarean"	"2"	254503
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"Unknown or Not Stated"	"9"	458
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"			748710
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"Vaginal"	"1"	489118
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"Cesarean"	"2"	251657
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"Unknown or Not Stated"	"9"	374
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"			741149
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"Vaginal"	"1"	484806
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"Cesarean"	"2"	247237
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"Unknown or Not Stated"	"9"	298
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"			732341
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"Vaginal"	"1"	483327
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"Cesarean"	"2"	243850
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"Unknown or Not Stated"	"9"	343
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"			727520
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Vaginal"	"1"	467815
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Cesarean"	"2"	236221
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Unknown or Not Stated"	"9"	434
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"			704470
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Vaginal"	"1"	475099
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Cesarean"	"2"	242806
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Unknown or Not Stated"	"9"	529
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"			718434
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"Vaginal"	"1"	482687
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"Cesarean"	"2"	246884
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"Unknown or Not Stated"	"9"	606
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"			730177
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"Vaginal"	"1"	471654
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"Cesarean"	"2"	245111
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"Unknown or Not Stated"	"9"	748
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"			717513
"Total"	"Division 5: South Atlantic"	"CENS-D5"					10280184
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"Vaginal"	"1"	151775
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"Cesarean"	"2"	82978
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"Unknown or Not Stated"	"9"	612
"Total"	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"			235365
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"Vaginal"	"1"	151127
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"Cesarean"	"2"	82517
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"Unknown or Not Stated"	"9"	528
"Total"	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"			234172
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"Vaginal"	"1"	150026
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"Cesarean"	"2"	82690
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"Unknown or Not Stated"	"9"	530
"Total"	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"			233246
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"Vaginal"	"1"	149430
