"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Month Prenatal Care Began"	"Month Prenatal Care Began Code"	Births
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"5th month"	"05"	2833
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"6th month"	"06"	1697
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"7th month"	"07"	1202
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"8th month"	"08"	1002
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"9th month"	"09"	483
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"10th month"	"10"	43
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Unknown or Not Stated"	"99"	5022
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Not Reported"	"98"	59670
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"No prenatal care"	"00"	467
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"1st month"	"01"	3653
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"2nd month"	"02"	45002
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"3rd month"	"03"	35994
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"4th month"	"04"	6497
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"5th month"	"05"	2902
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"6th month"	"06"	1879
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"7th month"	"07"	1566
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"8th month"	"08"	1150
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"9th month"	"09"	487
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"10th month"	"10"	10
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Unknown or Not Stated"	"99"	3431
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Not Reported"	"98"	47108
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"No prenatal care"	"00"	608
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"1st month"	"01"	5012
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"2nd month"	"02"	48483
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"3rd month"	"03"	40560
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"4th month"	"04"	7149
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"5th month"	"05"	3107
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"6th month"	"06"	2043
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"7th month"	"07"	1682
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"8th month"	"08"	1273
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"9th month"	"09"	494
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Unknown or Not Stated"	"99"	3008
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Not Reported"	"98"	35746
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"No prenatal care"	"00"	744
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"1st month"	"01"	4525
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"2nd month"	"02"	64498
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"3rd month"	"03"	54446
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"4th month"	"04"	9640
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"5th month"	"05"	4334
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"6th month"	"06"	2691
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"7th month"	"07"	2227
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"8th month"	"08"	1898
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"9th month"	"09"	647
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Unknown or Not Stated"	"99"	3199
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Not Reported"	"98"	0
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"No prenatal care"	"00"	724
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"1st month"	"01"	3812
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"2nd month"	"02"	63613
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"3rd month"	"03"	53464
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"4th month"	"04"	10053
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"5th month"	"05"	4593
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"6th month"	"06"	2865
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"7th month"	"07"	2619
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"8th month"	"08"	1773
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"9th month"	"09"	670
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"10th month"	"10"	16
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Unknown or Not Stated"	"99"	2428
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Not Reported"	"98"	0
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"No prenatal care"	"00"	648
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"1st month"	"01"	3514
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"2nd month"	"02"	61577
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"3rd month"	"03"	54643
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"4th month"	"04"	9707
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"5th month"	"05"	4463
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"6th month"	"06"	2844
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"7th month"	"07"	2449
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"8th month"	"08"	1874
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"9th month"	"09"	653
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"10th month"	"10"	13
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Unknown or Not Stated"	"99"	1693
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Not Reported"	"98"	0
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"No prenatal care"	"00"	663
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"1st month"	"01"	3503
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"2nd month"	"02"	62296
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"3rd month"	"03"	53477
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"4th month"	"04"	9514
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"5th month"	"05"	4024
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"6th month"	"06"	2661
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"7th month"	"07"	2197
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"8th month"	"08"	1793
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"9th month"	"09"	637
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"10th month"	"10"	14
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Unknown or Not Stated"	"99"	1750
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Not Reported"	"98"	0
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"No prenatal care"	"00"	546
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"1st month"	"01"	3421
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"2nd month"	"02"	59623
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"3rd month"	"03"	53357
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"4th month"	"04"	9422
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"5th month"	"05"	4047
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"6th month"	"06"	2445
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"7th month"	"07"	2018
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"8th month"	"08"	1555
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"9th month"	"09"	525
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"10th month"	"10"	10
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Unknown or Not Stated"	"99"	1483
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Not Reported"	"98"	0
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"No prenatal care"	"00"	690
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"1st month"	"01"	3859
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"2nd month"	"02"	58543
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"3rd month"	"03"	59902
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"4th month"	"04"	9934
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"5th month"	"05"	3993
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"6th month"	"06"	2436
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"7th month"	"07"	2092
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"8th month"	"08"	1524
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"9th month"	"09"	574
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Unknown or Not Stated"	"99"	1730
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Not Reported"	"98"	0
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"No prenatal care"	"00"	894
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"1st month"	"01"	4170
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"2nd month"	"02"	55097
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"3rd month"	"03"	59215
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"4th month"	"04"	10181
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"5th month"	"05"	4627
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"6th month"	"06"	2924
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"7th month"	"07"	2453
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"8th month"	"08"	1815
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"9th month"	"09"	756
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"10th month"	"10"	17
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Unknown or Not Stated"	"99"	1522
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Not Reported"	"98"	0
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"No prenatal care"	"00"	1138
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"1st month"	"01"	3342
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"2nd month"	"02"	53921
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"3rd month"	"03"	57853
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"4th month"	"04"	10561
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"5th month"	"05"	4231
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"6th month"	"06"	2810
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"7th month"	"07"	2369
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"8th month"	"08"	1879
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"9th month"	"09"	746
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"10th month"	"10"	16
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Unknown or Not Stated"	"99"	1219
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Not Reported"	"98"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"No prenatal care"	"00"	3946
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"1st month"	"01"	11240
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"2nd month"	"02"	118473
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"3rd month"	"03"	142892
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"4th month"	"04"	44622
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"5th month"	"05"	20486
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"6th month"	"06"	12385
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"7th month"	"07"	8949
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"8th month"	"08"	6441
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"9th month"	"09"	3026
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"10th month"	"10"	339
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Unknown or Not Stated"	"99"	14897
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Not Reported"	"98"	106922
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"No prenatal care"	"00"	3614
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"1st month"	"01"	10192
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"2nd month"	"02"	119073
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"3rd month"	"03"	141984
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"4th month"	"04"	45291
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"5th month"	"05"	20530
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"6th month"	"06"	12202
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"7th month"	"07"	8287
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"8th month"	"08"	6389
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"9th month"	"09"	3120
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"10th month"	"10"	348
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Unknown or Not Stated"	"99"	13460
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Not Reported"	"98"	105883
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"No prenatal care"	"00"	3350
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"1st month"	"01"	11474
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"2nd month"	"02"	119732
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"3rd month"	"03"	141496
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"4th month"	"04"	43404
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"5th month"	"05"	20037
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"6th month"	"06"	11778
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"7th month"	"07"	8169
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"8th month"	"08"	6296
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"9th month"	"09"	3125
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"10th month"	"10"	344
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Unknown or Not Stated"	"99"	14225
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Not Reported"	"98"	104230
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"No prenatal care"	"00"	3493
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"1st month"	"01"	12440
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"2nd month"	"02"	121549
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"3rd month"	"03"	136634
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"4th month"	"04"	40811
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"5th month"	"05"	18617
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"6th month"	"06"	11086
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"7th month"	"07"	8346
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"8th month"	"08"	6815
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"9th month"	"09"	3309
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"10th month"	"10"	378
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Unknown or Not Stated"	"99"	14423
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Not Reported"	"98"	102575
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"No prenatal care"	"00"	3827
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"1st month"	"01"	19010
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"2nd month"	"02"	150576
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"3rd month"	"03"	116173
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"4th month"	"04"	33895
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"5th month"	"05"	16534
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"6th month"	"06"	10509
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"7th month"	"07"	8226
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"8th month"	"08"	6245
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"9th month"	"09"	2361
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"10th month"	"10"	33
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Unknown or Not Stated"	"99"	13652
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Not Reported"	"98"	103305
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"No prenatal care"	"00"	3386
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"1st month"	"01"	18105
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"2nd month"	"02"	150802
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"3rd month"	"03"	117425
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"4th month"	"04"	32527
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"5th month"	"05"	15919
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"6th month"	"06"	9913
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"7th month"	"07"	8101
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"8th month"	"08"	6312
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"9th month"	"09"	2364
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"10th month"	"10"	31
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Unknown or Not Stated"	"99"	13436
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Not Reported"	"98"	103127
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"No prenatal care"	"00"	4953
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"1st month"	"01"	24030
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"2nd month"	"02"	191846
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"3rd month"	"03"	150956
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"4th month"	"04"	41046
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"5th month"	"05"	19551
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"6th month"	"06"	12068
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"7th month"	"07"	10161
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"8th month"	"08"	7716
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"9th month"	"09"	3019
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"10th month"	"10"	50
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Unknown or Not Stated"	"99"	10943
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Not Reported"	"98"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"No prenatal care"	"00"	5195
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"1st month"	"01"	21885
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"2nd month"	"02"	185983
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"3rd month"	"03"	152339
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"4th month"	"04"	40638
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"5th month"	"05"	19440
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"6th month"	"06"	12023
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"7th month"	"07"	9759
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"8th month"	"08"	7660
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"9th month"	"09"	3240
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"10th month"	"10"	61
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Unknown or Not Stated"	"99"	10509
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Not Reported"	"98"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"No prenatal care"	"00"	5331
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"1st month"	"01"	20206
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"2nd month"	"02"	183492
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"3rd month"	"03"	152161
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"4th month"	"04"	39213
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"5th month"	"05"	18858
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"6th month"	"06"	11829
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"7th month"	"07"	9517
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"8th month"	"08"	7308
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"9th month"	"09"	2936
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"10th month"	"10"	60
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Unknown or Not Stated"	"99"	12223
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Not Reported"	"98"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"No prenatal care"	"00"	6382
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"1st month"	"01"	20946
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"2nd month"	"02"	182970
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"3rd month"	"03"	147936
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"4th month"	"04"	37402
