"Notes"	"State"	"State Code"	"Year"	"Year Code"	Births
	"Illinois"	"17"	"2019"	"2019"	140128
	"Illinois"	"17"	"2020"	"2020"	133298
	"Illinois"	"17"	"2021"	"2021"	132189
	"Illinois"	"17"	"2022"	"2022"	128350
	"Illinois"	"17"	"2023"	"2023"	124820
"Total"	"Illinois"	"17"			2066710
	"Indiana"	"18"	"2010"	"2010"	83940
	"Indiana"	"18"	"2011"	"2011"	83701
	"Indiana"	"18"	"2012"	"2012"	83227
	"Indiana"	"18"	"2013"	"2013"	83102
	"Indiana"	"18"	"2014"	"2014"	84080
	"Indiana"	"18"	"2015"	"2015"	84040
	"Indiana"	"18"	"2016"	"2016"	83091
	"Indiana"	"18"	"2017"	"2017"	82170
	"Indiana"	"18"	"2018"	"2018"	81646
	"Indiana"	"18"	"2019"	"2019"	80859
	"Indiana"	"18"	"2020"	"2020"	78616
	"Indiana"	"18"	"2021"	"2021"	79946
	"Indiana"	"18"	"2022"	"2022"	79649
	"Indiana"	"18"	"2023"	"2023"	79000
"Total"	"Indiana"	"18"			1147067
	"Maryland"	"24"	"2010"	"2010"	73801
	"Maryland"	"24"	"2011"	"2011"	73093
	"Maryland"	"24"	"2012"	"2012"	72883
	"Maryland"	"24"	"2013"	"2013"	71953
	"Maryland"	"24"	"2014"	"2014"	73921
	"Maryland"	"24"	"2015"	"2015"	73616
	"Maryland"	"24"	"2016"	"2016"	73136
	"Maryland"	"24"	"2017"	"2017"	71641
	"Maryland"	"24"	"2018"	"2018"	71080
	"Maryland"	"24"	"2019"	"2019"	70178
	"Maryland"	"24"	"2020"	"2020"	68554
	"Maryland"	"24"	"2021"	"2021"	68285
	"Maryland"	"24"	"2022"	"2022"	68782
	"Maryland"	"24"	"2023"	"2023"	65594
"Total"	"Maryland"	"24"			996517
	"Michigan"	"26"	"2010"	"2010"	114531
	"Michigan"	"26"	"2011"	"2011"	114008
	"Michigan"	"26"	"2012"	"2012"	113091
	"Michigan"	"26"	"2013"	"2013"	113489
	"Michigan"	"26"	"2014"	"2014"	114375
	"Michigan"	"26"	"2015"	"2015"	113312
	"Michigan"	"26"	"2016"	"2016"	113315
	"Michigan"	"26"	"2017"	"2017"	111426
	"Michigan"	"26"	"2018"	"2018"	110032
	"Michigan"	"26"	"2019"	"2019"	107886
	"Michigan"	"26"	"2020"	"2020"	104074
	"Michigan"	"26"	"2021"	"2021"	104980
	"Michigan"	"26"	"2022"	"2022"	102321
	"Michigan"	"26"	"2023"	"2023"	99124
"Total"	"Michigan"	"26"			1535964
	"Missouri"	"29"	"2010"	"2010"	76759
	"Missouri"	"29"	"2011"	"2011"	76117
	"Missouri"	"29"	"2012"	"2012"	75446
	"Missouri"	"29"	"2013"	"2013"	75296
	"Missouri"	"29"	"2014"	"2014"	75360
	"Missouri"	"29"	"2015"	"2015"	75061
	"Missouri"	"29"	"2016"	"2016"	74705
	"Missouri"	"29"	"2017"	"2017"	73034
	"Missouri"	"29"	"2018"	"2018"	73269
	"Missouri"	"29"	"2019"	"2019"	72127
	"Missouri"	"29"	"2020"	"2020"	69285
	"Missouri"	"29"	"2021"	"2021"	69453
	"Missouri"	"29"	"2022"	"2022"	68985
	"Missouri"	"29"	"2023"	"2023"	67123
"Total"	"Missouri"	"29"			1022020
	"New Jersey"	"34"	"2010"	"2010"	106922
	"New Jersey"	"34"	"2011"	"2011"	105883
	"New Jersey"	"34"	"2012"	"2012"	104230
	"New Jersey"	"34"	"2013"	"2013"	102575
	"New Jersey"	"34"	"2014"	"2014"	103305
	"New Jersey"	"34"	"2015"	"2015"	103127
	"New Jersey"	"34"	"2016"	"2016"	102647
	"New Jersey"	"34"	"2017"	"2017"	101250
	"New Jersey"	"34"	"2018"	"2018"	101223
	"New Jersey"	"34"	"2019"	"2019"	99585
	"New Jersey"	"34"	"2020"	"2020"	97954
	"New Jersey"	"34"	"2021"	"2021"	101497
	"New Jersey"	"34"	"2022"	"2022"	102893
	"New Jersey"	"34"	"2023"	"2023"	101001
"Total"	"New Jersey"	"34"			1434092
	"New York"	"36"	"2010"	"2010"	244375
	"New York"	"36"	"2011"	"2011"	241312
	"New York"	"36"	"2012"	"2012"	240916
	"New York"	"36"	"2013"	"2013"	236980
	"New York"	"36"	"2014"	"2014"	238773
	"New York"	"36"	"2015"	"2015"	237274
	"New York"	"36"	"2016"	"2016"	234283
	"New York"	"36"	"2017"	"2017"	229737
	"New York"	"36"	"2018"	"2018"	226238
	"New York"	"36"	"2019"	"2019"	221539
	"New York"	"36"	"2020"	"2020"	209338
	"New York"	"36"	"2021"	"2021"	210742
	"New York"	"36"	"2022"	"2022"	207774
	"New York"	"36"	"2023"	"2023"	203612
"Total"	"New York"	"36"			3182893
	"South Carolina"	"45"	"2010"	"2010"	58342
	"South Carolina"	"45"	"2011"	"2011"	57393
	"South Carolina"	"45"	"2012"	"2012"	57155
	"South Carolina"	"45"	"2013"	"2013"	56795
	"South Carolina"	"45"	"2014"	"2014"	57627
	"South Carolina"	"45"	"2015"	"2015"	58139
	"South Carolina"	"45"	"2016"	"2016"	57342
	"South Carolina"	"45"	"2017"	"2017"	57029
	"South Carolina"	"45"	"2018"	"2018"	56669
	"South Carolina"	"45"	"2019"	"2019"	57038
	"South Carolina"	"45"	"2020"	"2020"	55704
	"South Carolina"	"45"	"2021"	"2021"	57185
	"South Carolina"	"45"	"2022"	"2022"	57820
	"South Carolina"	"45"	"2023"	"2023"	57729
"Total"	"South Carolina"	"45"			801967
	"Texas"	"48"	"2010"	"2010"	386118
	"Texas"	"48"	"2011"	"2011"	377445
	"Texas"	"48"	"2012"	"2012"	382727
	"Texas"	"48"	"2013"	"2013"	387340
	"Texas"	"48"	"2014"	"2014"	399766
	"Texas"	"48"	"2015"	"2015"	403618
	"Texas"	"48"	"2016"	"2016"	398047
	"Texas"	"48"	"2017"	"2017"	382050
	"Texas"	"48"	"2018"	"2018"	378624
	"Texas"	"48"	"2019"	"2019"	377599
	"Texas"	"48"	"2020"	"2020"	368190
	"Texas"	"48"	"2021"	"2021"	373594
	"Texas"	"48"	"2022"	"2022"	389741
	"Texas"	"48"	"2023"	"2023"	387945
"Total"	"Texas"	"48"			5392804
	"Washington"	"53"	"2010"	"2010"	86539
	"Washington"	"53"	"2011"	"2011"	86976
	"Washington"	"53"	"2012"	"2012"	87463
	"Washington"	"53"	"2013"	"2013"	86577
	"Washington"	"53"	"2014"	"2014"	88585
	"Washington"	"53"	"2015"	"2015"	88990
	"Washington"	"53"	"2016"	"2016"	90505
	"Washington"	"53"	"2017"	"2017"	87562
	"Washington"	"53"	"2018"	"2018"	86085
	"Washington"	"53"	"2019"	"2019"	84895
	"Washington"	"53"	"2020"	"2020"	83086
	"Washington"	"53"	"2021"	"2021"	83911
	"Washington"	"53"	"2022"	"2022"	83333
	"Washington"	"53"	"2023"	"2023"	80932
"Total"	"Washington"	"53"			1205439
"Total"					31850441
"---"
"Dataset: Natality, 2007-2023"
"Query Parameters:"
"States: Arizona (04); Arkansas (05); California (06); Florida (12); Georgia (13); Illinois (17); Indiana (18); Maryland (24);"
"Michigan (26); Missouri (29); New Jersey (34); New York (36); South Carolina (45); Texas (48); Washington (53)"
"Year: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023"
"Group By: State; Year"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: No populations shown because rates were not selected."
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality.html for more information."
"---"
"Query Date: Mar 25, 2025 1:03:49 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2007-2023, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-current.html on Mar 25, 2025 1:03:49 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
