"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Delivery Method"	"Delivery Method Code"	Births
	"Arizona"	"04"	"2018"	"2018"	"Cesarean"	"2"	22199
	"Arizona"	"04"	"2018"	"2018"	"Unknown or Not Stated"	"9"	Suppressed
	"Arizona"	"04"	"2019"	"2019"	"Vaginal"	"1"	57330
	"Arizona"	"04"	"2019"	"2019"	"Cesarean"	"2"	22039
	"Arizona"	"04"	"2019"	"2019"	"Unknown or Not Stated"	"9"	Suppressed
	"Arizona"	"04"	"2020"	"2020"	"Vaginal"	"1"	55076
	"Arizona"	"04"	"2020"	"2020"	"Cesarean"	"2"	21870
	"Arizona"	"04"	"2020"	"2020"	"Unknown or Not Stated"	"9"	Suppressed
	"Arizona"	"04"	"2021"	"2021"	"Vaginal"	"1"	55545
	"Arizona"	"04"	"2021"	"2021"	"Cesarean"	"2"	22368
	"Arizona"	"04"	"2021"	"2021"	"Unknown or Not Stated"	"9"	Suppressed
	"Arizona"	"04"	"2022"	"2022"	"Vaginal"	"1"	56055
	"Arizona"	"04"	"2022"	"2022"	"Cesarean"	"2"	22489
	"Arizona"	"04"	"2022"	"2022"	"Unknown or Not Stated"	"9"	Suppressed
	"Arizona"	"04"	"2023"	"2023"	"Vaginal"	"1"	55418
	"Arizona"	"04"	"2023"	"2023"	"Cesarean"	"2"	22675
	"Arizona"	"04"	"2023"	"2023"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2010"	"2010"	"Vaginal"	"1"	24829
	"Arkansas"	"05"	"2010"	"2010"	"Cesarean"	"2"	13412
	"Arkansas"	"05"	"2010"	"2010"	"Unknown or Not Stated"	"9"	299
	"Arkansas"	"05"	"2011"	"2011"	"Vaginal"	"1"	25263
	"Arkansas"	"05"	"2011"	"2011"	"Cesarean"	"2"	13187
	"Arkansas"	"05"	"2011"	"2011"	"Unknown or Not Stated"	"9"	265
	"Arkansas"	"05"	"2012"	"2012"	"Vaginal"	"1"	24824
	"Arkansas"	"05"	"2012"	"2012"	"Cesarean"	"2"	13282
	"Arkansas"	"05"	"2012"	"2012"	"Unknown or Not Stated"	"9"	241
	"Arkansas"	"05"	"2013"	"2013"	"Vaginal"	"1"	24679
	"Arkansas"	"05"	"2013"	"2013"	"Cesarean"	"2"	12958
	"Arkansas"	"05"	"2013"	"2013"	"Unknown or Not Stated"	"9"	195
	"Arkansas"	"05"	"2014"	"2014"	"Vaginal"	"1"	26173
	"Arkansas"	"05"	"2014"	"2014"	"Cesarean"	"2"	12338
	"Arkansas"	"05"	"2014"	"2014"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2015"	"2015"	"Vaginal"	"1"	26341
	"Arkansas"	"05"	"2015"	"2015"	"Cesarean"	"2"	12545
	"Arkansas"	"05"	"2015"	"2015"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2016"	"2016"	"Vaginal"	"1"	25919
	"Arkansas"	"05"	"2016"	"2016"	"Cesarean"	"2"	12354
	"Arkansas"	"05"	"2016"	"2016"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2017"	"2017"	"Vaginal"	"1"	24949
	"Arkansas"	"05"	"2017"	"2017"	"Cesarean"	"2"	12565
	"Arkansas"	"05"	"2017"	"2017"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2018"	"2018"	"Vaginal"	"1"	24138
	"Arkansas"	"05"	"2018"	"2018"	"Cesarean"	"2"	12876
	"Arkansas"	"05"	"2018"	"2018"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2019"	"2019"	"Vaginal"	"1"	23958
	"Arkansas"	"05"	"2019"	"2019"	"Cesarean"	"2"	12604
	"Arkansas"	"05"	"2019"	"2019"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2020"	"2020"	"Vaginal"	"1"	23330
	"Arkansas"	"05"	"2020"	"2020"	"Cesarean"	"2"	11917
	"Arkansas"	"05"	"2020"	"2020"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2021"	"2021"	"Vaginal"	"1"	23622
	"Arkansas"	"05"	"2021"	"2021"	"Cesarean"	"2"	12339
	"Arkansas"	"05"	"2021"	"2021"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2022"	"2022"	"Vaginal"	"1"	23532
	"Arkansas"	"05"	"2022"	"2022"	"Cesarean"	"2"	11938
	"Arkansas"	"05"	"2022"	"2022"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2023"	"2023"	"Vaginal"	"1"	23342
	"Arkansas"	"05"	"2023"	"2023"	"Cesarean"	"2"	11918
	"Arkansas"	"05"	"2023"	"2023"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2010"	"2010"	"Vaginal"	"1"	341776
	"California"	"06"	"2010"	"2010"	"Cesarean"	"2"	168417
	"California"	"06"	"2010"	"2010"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2011"	"2011"	"Vaginal"	"1"	335455
	"California"	"06"	"2011"	"2011"	"Cesarean"	"2"	166661
	"California"	"06"	"2011"	"2011"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2012"	"2012"	"Vaginal"	"1"	336388
	"California"	"06"	"2012"	"2012"	"Cesarean"	"2"	167365
	"California"	"06"	"2012"	"2012"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2013"	"2013"	"Vaginal"	"1"	330328
	"California"	"06"	"2013"	"2013"	"Cesarean"	"2"	164375
	"California"	"06"	"2013"	"2013"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2014"	"2014"	"Vaginal"	"1"	338405
	"California"	"06"	"2014"	"2014"	"Cesarean"	"2"	164472
	"California"	"06"	"2014"	"2014"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2015"	"2015"	"Vaginal"	"1"	333102
	"California"	"06"	"2015"	"2015"	"Cesarean"	"2"	158646
	"California"	"06"	"2015"	"2015"	"Unknown or Not Stated"	"9"	0
	"California"	"06"	"2016"	"2016"	"Vaginal"	"1"	332874
	"California"	"06"	"2016"	"2016"	"Cesarean"	"2"	155952
	"California"	"06"	"2016"	"2016"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2017"	"2017"	"Vaginal"	"1"	323580
	"California"	"06"	"2017"	"2017"	"Cesarean"	"2"	148077
	"California"	"06"	"2017"	"2017"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2018"	"2018"	"Vaginal"	"1"	314452
	"California"	"06"	"2018"	"2018"	"Cesarean"	"2"	140464
	"California"	"06"	"2018"	"2018"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2019"	"2019"	"Vaginal"	"1"	309137
	"California"	"06"	"2019"	"2019"	"Cesarean"	"2"	137337
	"California"	"06"	"2019"	"2019"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2020"	"2020"	"Vaginal"	"1"	292055
	"California"	"06"	"2020"	"2020"	"Cesarean"	"2"	128196
	"California"	"06"	"2020"	"2020"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2021"	"2021"	"Vaginal"	"1"	291206
	"California"	"06"	"2021"	"2021"	"Cesarean"	"2"	129401
	"California"	"06"	"2021"	"2021"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2022"	"2022"	"Vaginal"	"1"	289192
	"California"	"06"	"2022"	"2022"	"Cesarean"	"2"	129910
	"California"	"06"	"2022"	"2022"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2023"	"2023"	"Vaginal"	"1"	273992
	"California"	"06"	"2023"	"2023"	"Cesarean"	"2"	126099
	"California"	"06"	"2023"	"2023"	"Unknown or Not Stated"	"9"	17
	"Florida"	"12"	"2010"	"2010"	"Vaginal"	"1"	133469
	"Florida"	"12"	"2010"	"2010"	"Cesarean"	"2"	81046
	"Florida"	"12"	"2010"	"2010"	"Unknown or Not Stated"	"9"	75
	"Florida"	"12"	"2011"	"2011"	"Vaginal"	"1"	131961
	"Florida"	"12"	"2011"	"2011"	"Cesarean"	"2"	81345
	"Florida"	"12"	"2011"	"2011"	"Unknown or Not Stated"	"9"	108
	"Florida"	"12"	"2012"	"2012"	"Vaginal"	"1"	131816
	"Florida"	"12"	"2012"	"2012"	"Cesarean"	"2"	81230
	"Florida"	"12"	"2012"	"2012"	"Unknown or Not Stated"	"9"	102
	"Florida"	"12"	"2013"	"2013"	"Vaginal"	"1"	134062
	"Florida"	"12"	"2013"	"2013"	"Cesarean"	"2"	81237
	"Florida"	"12"	"2013"	"2013"	"Unknown or Not Stated"	"9"	108
	"Florida"	"12"	"2014"	"2014"	"Vaginal"	"1"	138230
	"Florida"	"12"	"2014"	"2014"	"Cesarean"	"2"	81707
	"Florida"	"12"	"2014"	"2014"	"Unknown or Not Stated"	"9"	54
	"Florida"	"12"	"2015"	"2015"	"Vaginal"	"1"	140458
	"Florida"	"12"	"2015"	"2015"	"Cesarean"	"2"	83715
	"Florida"	"12"	"2015"	"2015"	"Unknown or Not Stated"	"9"	96
	"Florida"	"12"	"2016"	"2016"	"Vaginal"	"1"	140715
	"Florida"	"12"	"2016"	"2016"	"Cesarean"	"2"	84204
	"Florida"	"12"	"2016"	"2016"	"Unknown or Not Stated"	"9"	103
	"Florida"	"12"	"2017"	"2017"	"Vaginal"	"1"	140410
	"Florida"	"12"	"2017"	"2017"	"Cesarean"	"2"	83124
	"Florida"	"12"	"2017"	"2017"	"Unknown or Not Stated"	"9"	96
	"Florida"	"12"	"2018"	"2018"	"Vaginal"	"1"	139876
	"Florida"	"12"	"2018"	"2018"	"Cesarean"	"2"	81550
	"Florida"	"12"	"2018"	"2018"	"Unknown or Not Stated"	"9"	116
	"Florida"	"12"	"2019"	"2019"	"Vaginal"	"1"	139533
	"Florida"	"12"	"2019"	"2019"	"Cesarean"	"2"	80321
	"Florida"	"12"	"2019"	"2019"	"Unknown or Not Stated"	"9"	148
	"Florida"	"12"	"2020"	"2020"	"Vaginal"	"1"	134295
	"Florida"	"12"	"2020"	"2020"	"Cesarean"	"2"	75166
	"Florida"	"12"	"2020"	"2020"	"Unknown or Not Stated"	"9"	210
	"Florida"	"12"	"2021"	"2021"	"Vaginal"	"1"	138616
	"Florida"	"12"	"2021"	"2021"	"Cesarean"	"2"	77295
	"Florida"	"12"	"2021"	"2021"	"Unknown or Not Stated"	"9"	349
	"Florida"	"12"	"2022"	"2022"	"Vaginal"	"1"	143713
	"Florida"	"12"	"2022"	"2022"	"Cesarean"	"2"	80526
	"Florida"	"12"	"2022"	"2022"	"Unknown or Not Stated"	"9"	194
	"Florida"	"12"	"2023"	"2023"	"Vaginal"	"1"	141092
	"Florida"	"12"	"2023"	"2023"	"Cesarean"	"2"	80137
	"Florida"	"12"	"2023"	"2023"	"Unknown or Not Stated"	"9"	181
	"Georgia"	"13"	"2010"	"2010"	"Vaginal"	"1"	87907
	"Georgia"	"13"	"2010"	"2010"	"Cesarean"	"2"	45323
	"Georgia"	"13"	"2010"	"2010"	"Unknown or Not Stated"	"9"	717
	"Georgia"	"13"	"2011"	"2011"	"Vaginal"	"1"	87732
	"Georgia"	"13"	"2011"	"2011"	"Cesarean"	"2"	44433
	"Georgia"	"13"	"2011"	"2011"	"Unknown or Not Stated"	"9"	244
	"Georgia"	"13"	"2012"	"2012"	"Vaginal"	"1"	86109
	"Georgia"	"13"	"2012"	"2012"	"Cesarean"	"2"	44005
	"Georgia"	"13"	"2012"	"2012"	"Unknown or Not Stated"	"9"	166
	"Georgia"	"13"	"2013"	"2013"	"Vaginal"	"1"	84589
	"Georgia"	"13"	"2013"	"2013"	"Cesarean"	"2"	43920
	"Georgia"	"13"	"2013"	"2013"	"Unknown or Not Stated"	"9"	239
	"Georgia"	"13"	"2014"	"2014"	"Vaginal"	"1"	86473
	"Georgia"	"13"	"2014"	"2014"	"Cesarean"	"2"	44242
	"Georgia"	"13"	"2014"	"2014"	"Unknown or Not Stated"	"9"	231
	"Georgia"	"13"	"2015"	"2015"	"Vaginal"	"1"	87116
	"Georgia"	"13"	"2015"	"2015"	"Cesarean"	"2"	44129
	"Georgia"	"13"	"2015"	"2015"	"Unknown or Not Stated"	"9"	159
	"Georgia"	"13"	"2016"	"2016"	"Vaginal"	"1"	85936
	"Georgia"	"13"	"2016"	"2016"	"Cesarean"	"2"	43935
	"Georgia"	"13"	"2016"	"2016"	"Unknown or Not Stated"	"9"	171
	"Georgia"	"13"	"2017"	"2017"	"Vaginal"	"1"	84964
	"Georgia"	"13"	"2017"	"2017"	"Cesarean"	"2"	44098
	"Georgia"	"13"	"2017"	"2017"	"Unknown or Not Stated"	"9"	181
	"Georgia"	"13"	"2018"	"2018"	"Vaginal"	"1"	83218
	"Georgia"	"13"	"2018"	"2018"	"Cesarean"	"2"	42851
	"Georgia"	"13"	"2018"	"2018"	"Unknown or Not Stated"	"9"	103
	"Georgia"	"13"	"2019"	"2019"	"Vaginal"	"1"	82899
	"Georgia"	"13"	"2019"	"2019"	"Cesarean"	"2"	43360
	"Georgia"	"13"	"2019"	"2019"	"Unknown or Not Stated"	"9"	112
	"Georgia"	"13"	"2020"	"2020"	"Vaginal"	"1"	80909
	"Georgia"	"13"	"2020"	"2020"	"Cesarean"	"2"	41462
	"Georgia"	"13"	"2020"	"2020"	"Unknown or Not Stated"	"9"	102
	"Georgia"	"13"	"2021"	"2021"	"Vaginal"	"1"	80535
	"Georgia"	"13"	"2021"	"2021"	"Cesarean"	"2"	43474
	"Georgia"	"13"	"2021"	"2021"	"Unknown or Not Stated"	"9"	64
	"Georgia"	"13"	"2022"	"2022"	"Vaginal"	"1"	81648
	"Georgia"	"13"	"2022"	"2022"	"Cesarean"	"2"	44412
	"Georgia"	"13"	"2022"	"2022"	"Unknown or Not Stated"	"9"	70
	"Georgia"	"13"	"2023"	"2023"	"Vaginal"	"1"	80322
	"Georgia"	"13"	"2023"	"2023"	"Cesarean"	"2"	44742
	"Georgia"	"13"	"2023"	"2023"	"Unknown or Not Stated"	"9"	56
	"Illinois"	"17"	"2010"	"2010"	"Vaginal"	"1"	113508
	"Illinois"	"17"	"2010"	"2010"	"Cesarean"	"2"	51435
	"Illinois"	"17"	"2010"	"2010"	"Unknown or Not Stated"	"9"	257
	"Illinois"	"17"	"2011"	"2011"	"Vaginal"	"1"	110139
	"Illinois"	"17"	"2011"	"2011"	"Cesarean"	"2"	51066
	"Illinois"	"17"	"2011"	"2011"	"Unknown or Not Stated"	"9"	107
	"Illinois"	"17"	"2012"	"2012"	"Vaginal"	"1"	108193
	"Illinois"	"17"	"2012"	"2012"	"Cesarean"	"2"	50761
	"Illinois"	"17"	"2012"	"2012"	"Unknown or Not Stated"	"9"	206
	"Illinois"	"17"	"2013"	"2013"	"Vaginal"	"1"	106922
	"Illinois"	"17"	"2013"	"2013"	"Cesarean"	"2"	49673
	"Illinois"	"17"	"2013"	"2013"	"Unknown or Not Stated"	"9"	336
	"Illinois"	"17"	"2014"	"2014"	"Vaginal"	"1"	108903
	"Illinois"	"17"	"2014"	"2014"	"Cesarean"	"2"	49485
	"Illinois"	"17"	"2014"	"2014"	"Unknown or Not Stated"	"9"	168
	"Illinois"	"17"	"2015"	"2015"	"Vaginal"	"1"	109101
	"Illinois"	"17"	"2015"	"2015"	"Cesarean"	"2"	48909
	"Illinois"	"17"	"2015"	"2015"	"Unknown or Not Stated"	"9"	106
	"Illinois"	"17"	"2016"	"2016"	"Vaginal"	"1"	106418
	"Illinois"	"17"	"2016"	"2016"	"Cesarean"	"2"	47965
	"Illinois"	"17"	"2016"	"2016"	"Unknown or Not Stated"	"9"	62
	"Illinois"	"17"	"2017"	"2017"	"Vaginal"	"1"	102852
	"Illinois"	"17"	"2017"	"2017"	"Cesarean"	"2"	46467
	"Illinois"	"17"	"2017"	"2017"	"Unknown or Not Stated"	"9"	71
	"Illinois"	"17"	"2018"	"2018"	"Vaginal"	"1"	99664
	"Illinois"	"17"	"2018"	"2018"	"Cesarean"	"2"	45099
	"Illinois"	"17"	"2018"	"2018"	"Unknown or Not Stated"	"9"	52
	"Illinois"	"17"	"2019"	"2019"	"Vaginal"	"1"	97172
	"Illinois"	"17"	"2019"	"2019"	"Cesarean"	"2"	42925
	"Illinois"	"17"	"2019"	"2019"	"Unknown or Not Stated"	"9"	31
	"Illinois"	"17"	"2020"	"2020"	"Vaginal"	"1"	92179
	"Illinois"	"17"	"2020"	"2020"	"Cesarean"	"2"	41086
	"Illinois"	"17"	"2020"	"2020"	"Unknown or Not Stated"	"9"	33
	"Illinois"	"17"	"2021"	"2021"	"Vaginal"	"1"	90949
	"Illinois"	"17"	"2021"	"2021"	"Cesarean"	"2"	41199
	"Illinois"	"17"	"2021"	"2021"	"Unknown or Not Stated"	"9"	41
	"Illinois"	"17"	"2022"	"2022"	"Vaginal"	"1"	88601
	"Illinois"	"17"	"2022"	"2022"	"Cesarean"	"2"	39725
	"Illinois"	"17"	"2022"	"2022"	"Unknown or Not Stated"	"9"	24
	"Illinois"	"17"	"2023"	"2023"	"Vaginal"	"1"	86082
	"Illinois"	"17"	"2023"	"2023"	"Cesarean"	"2"	38710
	"Illinois"	"17"	"2023"	"2023"	"Unknown or Not Stated"	"9"	28
	"Indiana"	"18"	"2010"	"2010"	"Vaginal"	"1"	58479
	"Indiana"	"18"	"2010"	"2010"	"Cesarean"	"2"	25427
	"Indiana"	"18"	"2010"	"2010"	"Unknown or Not Stated"	"9"	34
	"Indiana"	"18"	"2011"	"2011"	"Vaginal"	"1"	58087
	"Indiana"	"18"	"2011"	"2011"	"Cesarean"	"2"	25576
	"Indiana"	"18"	"2011"	"2011"	"Unknown or Not Stated"	"9"	38
	"Indiana"	"18"	"2012"	"2012"	"Vaginal"	"1"	57615
	"Indiana"	"18"	"2012"	"2012"	"Cesarean"	"2"	25583
	"Indiana"	"18"	"2012"	"2012"	"Unknown or Not Stated"	"9"	29
	"Indiana"	"18"	"2013"	"2013"	"Vaginal"	"1"	57750
	"Indiana"	"18"	"2013"	"2013"	"Cesarean"	"2"	25334
	"Indiana"	"18"	"2013"	"2013"	"Unknown or Not Stated"	"9"	18
	"Indiana"	"18"	"2014"	"2014"	"Vaginal"	"1"	58596
	"Indiana"	"18"	"2014"	"2014"	"Cesarean"	"2"	25464
	"Indiana"	"18"	"2014"	"2014"	"Unknown or Not Stated"	"9"	20
	"Indiana"	"18"	"2015"	"2015"	"Vaginal"	"1"	59157
	"Indiana"	"18"	"2015"	"2015"	"Cesarean"	"2"	24873
	"Indiana"	"18"	"2015"	"2015"	"Unknown or Not Stated"	"9"	10
	"Indiana"	"18"	"2016"	"2016"	"Vaginal"	"1"	58310
	"Indiana"	"18"	"2016"	"2016"	"Cesarean"	"2"	24762
	"Indiana"	"18"	"2016"	"2016"	"Unknown or Not Stated"	"9"	19
	"Indiana"	"18"	"2017"	"2017"	"Vaginal"	"1"	57725
	"Indiana"	"18"	"2017"	"2017"	"Cesarean"	"2"	24431
	"Indiana"	"18"	"2017"	"2017"	"Unknown or Not Stated"	"9"	14
	"Indiana"	"18"	"2018"	"2018"	"Vaginal"	"1"	57290
	"Indiana"	"18"	"2018"	"2018"	"Cesarean"	"2"	24344
	"Indiana"	"18"	"2018"	"2018"	"Unknown or Not Stated"	"9"	12
	"Indiana"	"18"	"2019"	"2019"	"Vaginal"	"1"	57178
	"Indiana"	"18"	"2019"	"2019"	"Cesarean"	"2"	23667
	"Indiana"	"18"	"2019"	"2019"	"Unknown or Not Stated"	"9"	14
	"Indiana"	"18"	"2020"	"2020"	"Vaginal"	"1"	54966
	"Indiana"	"18"	"2020"	"2020"	"Cesarean"	"2"	23642
	"Indiana"	"18"	"2020"	"2020"	"Unknown or Not Stated"	"9"	Suppressed
	"Indiana"	"18"	"2021"	"2021"	"Vaginal"	"1"	55669
	"Indiana"	"18"	"2021"	"2021"	"Cesarean"	"2"	24272
	"Indiana"	"18"	"2021"	"2021"	"Unknown or Not Stated"	"9"	Suppressed
	"Indiana"	"18"	"2022"	"2022"	"Vaginal"	"1"	55363
	"Indiana"	"18"	"2022"	"2022"	"Cesarean"	"2"	24282
	"Indiana"	"18"	"2022"	"2022"	"Unknown or Not Stated"	"9"	Suppressed
	"Indiana"	"18"	"2023"	"2023"	"Vaginal"	"1"	54708
	"Indiana"	"18"	"2023"	"2023"	"Cesarean"	"2"	24280
	"Indiana"	"18"	"2023"	"2023"	"Unknown or Not Stated"	"9"	12
	"Maryland"	"24"	"2010"	"2010"	"Vaginal"	"1"	48200
	"Maryland"	"24"	"2010"	"2010"	"Cesarean"	"2"	25431
	"Maryland"	"24"	"2010"	"2010"	"Unknown or Not Stated"	"9"	170
	"Maryland"	"24"	"2011"	"2011"	"Vaginal"	"1"	47579
	"Maryland"	"24"	"2011"	"2011"	"Cesarean"	"2"	25393
	"Maryland"	"24"	"2011"	"2011"	"Unknown or Not Stated"	"9"	121
	"Maryland"	"24"	"2012"	"2012"	"Vaginal"	"1"	47265
	"Maryland"	"24"	"2012"	"2012"	"Cesarean"	"2"	25421
	"Maryland"	"24"	"2012"	"2012"	"Unknown or Not Stated"	"9"	197
	"Maryland"	"24"	"2013"	"2013"	"Vaginal"	"1"	46570
	"Maryland"	"24"	"2013"	"2013"	"Cesarean"	"2"	25224
	"Maryland"	"24"	"2013"	"2013"	"Unknown or Not Stated"	"9"	159
	"Maryland"	"24"	"2014"	"2014"	"Vaginal"	"1"	48042
	"Maryland"	"24"	"2014"	"2014"	"Cesarean"	"2"	25746
	"Maryland"	"24"	"2014"	"2014"	"Unknown or Not Stated"	"9"	133
	"Maryland"	"24"	"2015"	"2015"	"Vaginal"	"1"	47859
	"Maryland"	"24"	"2015"	"2015"	"Cesarean"	"2"	25664
	"Maryland"	"24"	"2015"	"2015"	"Unknown or Not Stated"	"9"	93
	"Maryland"	"24"	"2016"	"2016"	"Vaginal"	"1"	48467
	"Maryland"	"24"	"2016"	"2016"	"Cesarean"	"2"	24606
	"Maryland"	"24"	"2016"	"2016"	"Unknown or Not Stated"	"9"	63
	"Maryland"	"24"	"2017"	"2017"	"Vaginal"	"1"	47340
	"Maryland"	"24"	"2017"	"2017"	"Cesarean"	"2"	24244
	"Maryland"	"24"	"2017"	"2017"	"Unknown or Not Stated"	"9"	57
	"Maryland"	"24"	"2018"	"2018"	"Vaginal"	"1"	47008
	"Maryland"	"24"	"2018"	"2018"	"Cesarean"	"2"	24058
	"Maryland"	"24"	"2018"	"2018"	"Unknown or Not Stated"	"9"	14
	"Maryland"	"24"	"2019"	"2019"	"Vaginal"	"1"	47041
	"Maryland"	"24"	"2019"	"2019"	"Cesarean"	"2"	23124
	"Maryland"	"24"	"2019"	"2019"	"Unknown or Not Stated"	"9"	13
	"Maryland"	"24"	"2020"	"2020"	"Vaginal"	"1"	45427
	"Maryland"	"24"	"2020"	"2020"	"Cesarean"	"2"	23114
	"Maryland"	"24"	"2020"	"2020"	"Unknown or Not Stated"	"9"	13
	"Maryland"	"24"	"2021"	"2021"	"Vaginal"	"1"	44834
	"Maryland"	"24"	"2021"	"2021"	"Cesarean"	"2"	23441
	"Maryland"	"24"	"2021"	"2021"	"Unknown or Not Stated"	"9"	10
	"Maryland"	"24"	"2022"	"2022"	"Vaginal"	"1"	45160
	"Maryland"	"24"	"2022"	"2022"	"Cesarean"	"2"	23609
	"Maryland"	"24"	"2022"	"2022"	"Unknown or Not Stated"	"9"	13
	"Maryland"	"24"	"2023"	"2023"	"Vaginal"	"1"	42653
	"Maryland"	"24"	"2023"	"2023"	"Cesarean"	"2"	22926
	"Maryland"	"24"	"2023"	"2023"	"Unknown or Not Stated"	"9"	15
	"Michigan"	"26"	"2010"	"2010"	"Vaginal"	"1"	77189
	"Michigan"	"26"	"2010"	"2010"	"Cesarean"	"2"	37322
	"Michigan"	"26"	"2010"	"2010"	"Unknown or Not Stated"	"9"	20
	"Michigan"	"26"	"2011"	"2011"	"Vaginal"	"1"	76571
	"Michigan"	"26"	"2011"	"2011"	"Cesarean"	"2"	37404
	"Michigan"	"26"	"2011"	"2011"	"Unknown or Not Stated"	"9"	33
	"Michigan"	"26"	"2012"	"2012"	"Vaginal"	"1"	76197
	"Michigan"	"26"	"2012"	"2012"	"Cesarean"	"2"	36867
	"Michigan"	"26"	"2012"	"2012"	"Unknown or Not Stated"	"9"	27
	"Michigan"	"26"	"2013"	"2013"	"Vaginal"	"1"	76511
	"Michigan"	"26"	"2013"	"2013"	"Cesarean"	"2"	36951
	"Michigan"	"26"	"2013"	"2013"	"Unknown or Not Stated"	"9"	27
	"Michigan"	"26"	"2014"	"2014"	"Vaginal"	"1"	76874
	"Michigan"	"26"	"2014"	"2014"	"Cesarean"	"2"	37480
	"Michigan"	"26"	"2014"	"2014"	"Unknown or Not Stated"	"9"	21
	"Michigan"	"26"	"2015"	"2015"	"Vaginal"	"1"	77094
	"Michigan"	"26"	"2015"	"2015"	"Cesarean"	"2"	36196
	"Michigan"	"26"	"2015"	"2015"	"Unknown or Not Stated"	"9"	22
	"Michigan"	"26"	"2016"	"2016"	"Vaginal"	"1"	77065
	"Michigan"	"26"	"2016"	"2016"	"Cesarean"	"2"	36227
	"Michigan"	"26"	"2016"	"2016"	"Unknown or Not Stated"	"9"	23
	"Michigan"	"26"	"2017"	"2017"	"Vaginal"	"1"	75803
	"Michigan"	"26"	"2017"	"2017"	"Cesarean"	"2"	35583
	"Michigan"	"26"	"2017"	"2017"	"Unknown or Not Stated"	"9"	40
	"Michigan"	"26"	"2018"	"2018"	"Vaginal"	"1"	74641
	"Michigan"	"26"	"2018"	"2018"	"Cesarean"	"2"	35365
