"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Medical Attendant"	"Medical Attendant Code"	Births
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Unknown or not stated"	"9"	59
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Not Reported"	"100"	0
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Doctor of Medicine(MD)"	"1"	117931
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Doctor of Osteopathy(DO)"	"2"	8115
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Certified Nurse Midwife(CNM/CM)"	"3"	21947
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Other Midwife"	"4"	1376
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Other"	"5"	336
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Unknown or not stated"	"9"	124
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Not Reported"	"100"	0
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Doctor of Medicine(MD)"	"1"	117427
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Doctor of Osteopathy(DO)"	"2"	8572
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Certified Nurse Midwife(CNM/CM)"	"3"	22452
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Other Midwife"	"4"	1181
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Other"	"5"	427
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Unknown or not stated"	"9"	87
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Not Reported"	"100"	0
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Doctor of Medicine(MD)"	"1"	115973
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Doctor of Osteopathy(DO)"	"2"	8916
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Certified Nurse Midwife(CNM/CM)"	"3"	22781
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Other Midwife"	"4"	1094
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Other"	"5"	347
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Unknown or not stated"	"9"	63
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Not Reported"	"100"	0
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Doctor of Medicine(MD)"	"1"	114654
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Doctor of Osteopathy(DO)"	"2"	9400
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Certified Nurse Midwife(CNM/CM)"	"3"	23347
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Other Midwife"	"4"	992
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Other"	"5"	439
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Unknown or not stated"	"9"	26
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Not Reported"	"100"	0
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Doctor of Medicine(MD)"	"1"	112494
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Doctor of Osteopathy(DO)"	"2"	9988
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Certified Nurse Midwife(CNM/CM)"	"3"	22772
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Other Midwife"	"4"	934
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Other"	"5"	406
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Unknown or not stated"	"9"	36
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Not Reported"	"100"	0
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Doctor of Medicine(MD)"	"1"	109753
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Doctor of Osteopathy(DO)"	"2"	10386
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Certified Nurse Midwife(CNM/CM)"	"3"	22581
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Other Midwife"	"4"	889
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Other"	"5"	437
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Unknown or not stated"	"9"	32
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Not Reported"	"100"	0
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Doctor of Medicine(MD)"	"1"	107459
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Doctor of Osteopathy(DO)"	"2"	10616
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Certified Nurse Midwife(CNM/CM)"	"3"	23259
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Other Midwife"	"4"	750
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Other"	"5"	411
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Unknown or not stated"	"9"	34
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Not Reported"	"100"	0
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Doctor of Medicine(MD)"	"1"	103146
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Doctor of Osteopathy(DO)"	"2"	10563
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Certified Nurse Midwife(CNM/CM)"	"3"	23334
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Other Midwife"	"4"	896
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Other"	"5"	489
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Unknown or not stated"	"9"	24
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Not Reported"	"100"	0
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Doctor of Medicine(MD)"	"1"	107440
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Doctor of Osteopathy(DO)"	"2"	11203
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Certified Nurse Midwife(CNM/CM)"	"3"	25147
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Other Midwife"	"4"	942
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Other"	"5"	522
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Unknown or not stated"	"9"	32
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Not Reported"	"100"	0
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Doctor of Medicine(MD)"	"1"	105870
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Doctor of Osteopathy(DO)"	"2"	11291
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Certified Nurse Midwife(CNM/CM)"	"3"	24863
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Other Midwife"	"4"	996
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Other"	"5"	616
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Unknown or not stated"	"9"	35
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Not Reported"	"100"	0
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Doctor of Medicine(MD)"	"1"	101714
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Doctor of Osteopathy(DO)"	"2"	11720
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Certified Nurse Midwife(CNM/CM)"	"3"	25075
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Other Midwife"	"4"	819
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Other"	"5"	742
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Unknown or not stated"	"9"	15
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Not Reported"	"100"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Doctor of Medicine(MD)"	"1"	409107
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Doctor of Osteopathy(DO)"	"2"	34151
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Certified Nurse Midwife(CNM/CM)"	"3"	46732
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Other Midwife"	"4"	1946
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Other"	"5"	2516
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Unknown or not stated"	"9"	166
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Not Reported"	"100"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Doctor of Medicine(MD)"	"1"	404170
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Doctor of Osteopathy(DO)"	"2"	35202
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Certified Nurse Midwife(CNM/CM)"	"3"	46154
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Other Midwife"	"4"	2021
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Other"	"5"	2543
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Unknown or not stated"	"9"	283
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Not Reported"	"100"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Doctor of Medicine(MD)"	"1"	400477
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Doctor of Osteopathy(DO)"	"2"	35634
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Certified Nurse Midwife(CNM/CM)"	"3"	46346
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Other Midwife"	"4"	2333
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Other"	"5"	2675
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Unknown or not stated"	"9"	195
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Not Reported"	"100"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Doctor of Medicine(MD)"	"1"	391985
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Doctor of Osteopathy(DO)"	"2"	35703
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Certified Nurse Midwife(CNM/CM)"	"3"	47490
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Other Midwife"	"4"	2276
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Other"	"5"	2878
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Unknown or not stated"	"9"	144
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Not Reported"	"100"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Doctor of Medicine(MD)"	"1"	388623
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Doctor of Osteopathy(DO)"	"2"	40786
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Certified Nurse Midwife(CNM/CM)"	"3"	47270
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Other Midwife"	"4"	4167
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Other"	"5"	3332
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Unknown or not stated"	"9"	168
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Not Reported"	"100"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Doctor of Medicine(MD)"	"1"	380760
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Doctor of Osteopathy(DO)"	"2"	44238
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Certified Nurse Midwife(CNM/CM)"	"3"	47844
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Other Midwife"	"4"	4408
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Other"	"5"	4017
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Unknown or not stated"	"9"	181
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Not Reported"	"100"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Doctor of Medicine(MD)"	"1"	374947
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Doctor of Osteopathy(DO)"	"2"	44286
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Certified Nurse Midwife(CNM/CM)"	"3"	50972
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Other Midwife"	"4"	2065
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Other"	"5"	3826
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Unknown or not stated"	"9"	243
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Not Reported"	"100"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Doctor of Medicine(MD)"	"1"	368727
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Doctor of Osteopathy(DO)"	"2"	44803
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Certified Nurse Midwife(CNM/CM)"	"3"	49101
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Other Midwife"	"4"	2068
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Other"	"5"	3860
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Unknown or not stated"	"9"	173
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Not Reported"	"100"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Doctor of Medicine(MD)"	"1"	363279
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Doctor of Osteopathy(DO)"	"2"	44949
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Certified Nurse Midwife(CNM/CM)"	"3"	48892
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Other Midwife"	"4"	2191
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Other"	"5"	3646
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Unknown or not stated"	"9"	177
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Not Reported"	"100"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Doctor of Medicine(MD)"	"1"	354559
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Doctor of Osteopathy(DO)"	"2"	43587
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Certified Nurse Midwife(CNM/CM)"	"3"	51308
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Other Midwife"	"4"	2282
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Other"	"5"	3422
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Unknown or not stated"	"9"	196
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Not Reported"	"100"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Doctor of Medicine(MD)"	"1"	337170
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Doctor of Osteopathy(DO)"	"2"	42013
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Certified Nurse Midwife(CNM/CM)"	"3"	52134
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Other Midwife"	"4"	2927
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Other"	"5"	3529
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Unknown or not stated"	"9"	212
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Not Reported"	"100"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Doctor of Medicine(MD)"	"1"	335706
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Doctor of Osteopathy(DO)"	"2"	44849
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Certified Nurse Midwife(CNM/CM)"	"3"	53142
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Other Midwife"	"4"	3907
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Other"	"5"	7041
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Unknown or not stated"	"9"	216
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Not Reported"	"100"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Doctor of Medicine(MD)"	"1"	327598
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Doctor of Osteopathy(DO)"	"2"	50299
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Certified Nurse Midwife(CNM/CM)"	"3"	54994
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Other Midwife"	"4"	2760
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Other"	"5"	5070
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Unknown or not stated"	"9"	198
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Not Reported"	"100"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Doctor of Medicine(MD)"	"1"	316091
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Doctor of Osteopathy(DO)"	"2"	51677
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Certified Nurse Midwife(CNM/CM)"	"3"	55187
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Other Midwife"	"4"	3478
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Other"	"5"	4934
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Unknown or not stated"	"9"	197
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Not Reported"	"100"	0
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Doctor of Medicine(MD)"	"1"	471319
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Doctor of Osteopathy(DO)"	"2"	56706
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Certified Nurse Midwife(CNM/CM)"	"3"	37266
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Other Midwife"	"4"	2129
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Other"	"5"	3775
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Unknown or not stated"	"9"	91
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Not Reported"	"100"	0
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Doctor of Medicine(MD)"	"1"	463873
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Doctor of Osteopathy(DO)"	"2"	57415
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Certified Nurse Midwife(CNM/CM)"	"3"	37061
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Other Midwife"	"4"	1770
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Other"	"5"	3709
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Unknown or not stated"	"9"	921
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Not Reported"	"100"	0
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Doctor of Medicine(MD)"	"1"	459336
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Doctor of Osteopathy(DO)"	"2"	58262
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Certified Nurse Midwife(CNM/CM)"	"3"	37801
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Other Midwife"	"4"	2147
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Other"	"5"	3450
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Unknown or not stated"	"9"	260
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Not Reported"	"100"	0
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Doctor of Medicine(MD)"	"1"	455884
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Doctor of Osteopathy(DO)"	"2"	58992
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Certified Nurse Midwife(CNM/CM)"	"3"	38020
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Other Midwife"	"4"	2761
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Other"	"5"	3310
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Unknown or not stated"	"9"	140
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Not Reported"	"100"	0
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Doctor of Medicine(MD)"	"1"	455877
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Doctor of Osteopathy(DO)"	"2"	61482
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Certified Nurse Midwife(CNM/CM)"	"3"	39621
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Other Midwife"	"4"	3084
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Other"	"5"	3459
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Unknown or not stated"	"9"	116
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Not Reported"	"100"	0
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Doctor of Medicine(MD)"	"1"	451354
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Doctor of Osteopathy(DO)"	"2"	63357
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Certified Nurse Midwife(CNM/CM)"	"3"	40179
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Other Midwife"	"4"	3153
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Other"	"5"	3606
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Unknown or not stated"	"9"	124
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Not Reported"	"100"	0
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Doctor of Medicine(MD)"	"1"	441547
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Doctor of Osteopathy(DO)"	"2"	65632
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Certified Nurse Midwife(CNM/CM)"	"3"	41376
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Other Midwife"	"4"	3329
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Other"	"5"	3520
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Unknown or not stated"	"9"	147
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Not Reported"	"100"	0
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Doctor of Medicine(MD)"	"1"	427622
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Doctor of Osteopathy(DO)"	"2"	66634
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Certified Nurse Midwife(CNM/CM)"	"3"	43244
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Other Midwife"	"4"	3711
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Other"	"5"	3414
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Unknown or not stated"	"9"	168
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Not Reported"	"100"	0
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Doctor of Medicine(MD)"	"1"	416610
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Doctor of Osteopathy(DO)"	"2"	67428
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Certified Nurse Midwife(CNM/CM)"	"3"	44441
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Other Midwife"	"4"	3940
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Other"	"5"	3207
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Unknown or not stated"	"9"	99
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Not Reported"	"100"	0
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Doctor of Medicine(MD)"	"1"	404781
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Doctor of Osteopathy(DO)"	"2"	68763
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Certified Nurse Midwife(CNM/CM)"	"3"	45917
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Other Midwife"	"4"	3709
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Other"	"5"	3310
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Unknown or not stated"	"9"	124
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Not Reported"	"100"	0
