"Notes","Census Division","Census Division Code","Year","Year Code","Medical Attendant","Medical Attendant Code",Births
,"Division 6: East South Central","CENS-D6","2013","2013","Doctor of Medicine(MD)","1",214226
,"Division 6: East South Central","CENS-D6","2014","2014","Doctor of Medicine(MD)","1",215366
,"Division 6: East South Central","CENS-D6","2015","2015","Doctor of Medicine(MD)","1",213384
,"Division 6: East South Central","CENS-D6","2016","2016","Doctor of Medicine(MD)","1",210198
,"Division 6: East South Central","CENS-D6","2017","2017","Doctor of Medicine(MD)","1",208271
,"Division 6: East South Central","CENS-D6","2018","2018","Doctor of Medicine(MD)","1",204053
,"Division 6: East South Central","CENS-D6","2019","2019","Doctor of Medicine(MD)","1",201082
,"Division 6: East South Central","CENS-D6","2020","2020","Doctor of Medicine(MD)","1",193240
,"Division 6: East South Central","CENS-D6","2021","2021","Doctor of Medicine(MD)","1",193113
,"Division 6: East South Central","CENS-D6","2022","2022","Doctor of Medicine(MD)","1",191134
,"Division 6: East South Central","CENS-D6","2023","2023","Doctor of Medicine(MD)","1",188803
,"Division 7: West South Central","CENS-D7","2010","2010","Doctor of Medicine(MD)","1",487671
,"Division 7: West South Central","CENS-D7","2011","2011","Doctor of Medicine(MD)","1",477645
,"Division 7: West South Central","CENS-D7","2012","2012","Doctor of Medicine(MD)","1",482768
,"Division 7: West South Central","CENS-D7","2013","2013","Doctor of Medicine(MD)","1",485454
,"Division 7: West South Central","CENS-D7","2014","2014","Doctor of Medicine(MD)","1",494372
,"Division 7: West South Central","CENS-D7","2015","2015","Doctor of Medicine(MD)","1",497043
,"Division 7: West South Central","CENS-D7","2016","2016","Doctor of Medicine(MD)","1",488621
,"Division 7: West South Central","CENS-D7","2017","2017","Doctor of Medicine(MD)","1",468755
,"Division 7: West South Central","CENS-D7","2018","2018","Doctor of Medicine(MD)","1",461661
,"Division 7: West South Central","CENS-D7","2019","2019","Doctor of Medicine(MD)","1",455811
,"Division 7: West South Central","CENS-D7","2020","2020","Doctor of Medicine(MD)","1",440392
,"Division 7: West South Central","CENS-D7","2021","2021","Doctor of Medicine(MD)","1",442348
,"Division 7: West South Central","CENS-D7","2022","2022","Doctor of Medicine(MD)","1",455351
,"Division 7: West South Central","CENS-D7","2023","2023","Doctor of Medicine(MD)","1",447509
,"Division 8: Mountain","CENS-D8","2010","2010","Doctor of Medicine(MD)","1",259386
,"Division 8: Mountain","CENS-D8","2011","2011","Doctor of Medicine(MD)","1",253312
,"Division 8: Mountain","CENS-D8","2012","2012","Doctor of Medicine(MD)","1",253511
,"Division 8: Mountain","CENS-D8","2013","2013","Doctor of Medicine(MD)","1",251466
,"Division 8: Mountain","CENS-D8","2014","2014","Doctor of Medicine(MD)","1",253474
,"Division 8: Mountain","CENS-D8","2015","2015","Doctor of Medicine(MD)","1",249111
,"Division 8: Mountain","CENS-D8","2016","2016","Doctor of Medicine(MD)","1",240850
,"Division 8: Mountain","CENS-D8","2017","2017","Doctor of Medicine(MD)","1",229708
,"Division 8: Mountain","CENS-D8","2018","2018","Doctor of Medicine(MD)","1",223174
,"Division 8: Mountain","CENS-D8","2019","2019","Doctor of Medicine(MD)","1",218525
,"Division 8: Mountain","CENS-D8","2020","2020","Doctor of Medicine(MD)","1",208475
,"Division 8: Mountain","CENS-D8","2021","2021","Doctor of Medicine(MD)","1",209308
,"Division 8: Mountain","CENS-D8","2022","2022","Doctor of Medicine(MD)","1",206814
,"Division 8: Mountain","CENS-D8","2023","2023","Doctor of Medicine(MD)","1",199567
,"Division 9: Pacific","CENS-D9","2010","2010","Doctor of Medicine(MD)","1",575111
,"Division 9: Pacific","CENS-D9","2011","2011","Doctor of Medicine(MD)","1",566498
,"Division 9: Pacific","CENS-D9","2012","2012","Doctor of Medicine(MD)","1",565350
,"Division 9: Pacific","CENS-D9","2013","2013","Doctor of Medicine(MD)","1",550266
,"Division 9: Pacific","CENS-D9","2014","2014","Doctor of Medicine(MD)","1",553899
,"Division 9: Pacific","CENS-D9","2015","2015","Doctor of Medicine(MD)","1",537045
,"Division 9: Pacific","CENS-D9","2016","2016","Doctor of Medicine(MD)","1",528846
,"Division 9: Pacific","CENS-D9","2017","2017","Doctor of Medicine(MD)","1",504401
,"Division 9: Pacific","CENS-D9","2018","2018","Doctor of Medicine(MD)","1",481968
,"Division 9: Pacific","CENS-D9","2019","2019","Doctor of Medicine(MD)","1",466038
,"Division 9: Pacific","CENS-D9","2020","2020","Doctor of Medicine(MD)","1",433474
,"Division 9: Pacific","CENS-D9","2021","2021","Doctor of Medicine(MD)","1",431194
,"Division 9: Pacific","CENS-D9","2022","2022","Doctor of Medicine(MD)","1",427186
,"Division 9: Pacific","CENS-D9","2023","2023","Doctor of Medicine(MD)","1",403534
