"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Chronic Hypertension"	"Chronic Hypertension Code"	Births
	"Arkansas"	"05"	"2014"	"2014"	"Yes"	"1"	656
	"Arkansas"	"05"	"2014"	"2014"	"No"	"2"	37854
	"Arkansas"	"05"	"2014"	"2014"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2015"	"2015"	"Yes"	"1"	641
	"Arkansas"	"05"	"2015"	"2015"	"No"	"2"	38244
	"Arkansas"	"05"	"2015"	"2015"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2016"	"2016"	"Yes"	"1"	694
	"Arkansas"	"05"	"2016"	"2016"	"No"	"2"	37580
	"Arkansas"	"05"	"2016"	"2016"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2017"	"2017"	"Yes"	"1"	824
	"Arkansas"	"05"	"2017"	"2017"	"No"	"2"	36693
	"Arkansas"	"05"	"2017"	"2017"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2018"	"2018"	"Yes"	"1"	827
	"Arkansas"	"05"	"2018"	"2018"	"No"	"2"	36188
	"Arkansas"	"05"	"2018"	"2018"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2019"	"2019"	"Yes"	"1"	892
	"Arkansas"	"05"	"2019"	"2019"	"No"	"2"	35671
	"Arkansas"	"05"	"2019"	"2019"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2020"	"2020"	"Yes"	"1"	874
	"Arkansas"	"05"	"2020"	"2020"	"No"	"2"	34377
	"Arkansas"	"05"	"2020"	"2020"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2021"	"2021"	"Yes"	"1"	1088
	"Arkansas"	"05"	"2021"	"2021"	"No"	"2"	34876
	"Arkansas"	"05"	"2021"	"2021"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2022"	"2022"	"Yes"	"1"	1092
	"Arkansas"	"05"	"2022"	"2022"	"No"	"2"	34378
	"Arkansas"	"05"	"2022"	"2022"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2023"	"2023"	"Yes"	"1"	1285
	"Arkansas"	"05"	"2023"	"2023"	"No"	"2"	33978
	"Arkansas"	"05"	"2023"	"2023"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2010"	"2010"	"Yes"	"1"	2642
	"California"	"06"	"2010"	"2010"	"No"	"2"	507553
	"California"	"06"	"2010"	"2010"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2011"	"2011"	"Yes"	"1"	3162
	"California"	"06"	"2011"	"2011"	"No"	"2"	498956
	"California"	"06"	"2011"	"2011"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2012"	"2012"	"Yes"	"1"	3460
	"California"	"06"	"2012"	"2012"	"No"	"2"	500291
	"California"	"06"	"2012"	"2012"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2013"	"2013"	"Yes"	"1"	3659
	"California"	"06"	"2013"	"2013"	"No"	"2"	491043
	"California"	"06"	"2013"	"2013"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2014"	"2014"	"Yes"	"1"	3820
	"California"	"06"	"2014"	"2014"	"No"	"2"	499057
	"California"	"06"	"2014"	"2014"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2015"	"2015"	"Yes"	"1"	3800
	"California"	"06"	"2015"	"2015"	"No"	"2"	487947
	"California"	"06"	"2015"	"2015"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2016"	"2016"	"Yes"	"1"	4157
	"California"	"06"	"2016"	"2016"	"No"	"2"	484667
	"California"	"06"	"2016"	"2016"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2017"	"2017"	"Yes"	"1"	4554
	"California"	"06"	"2017"	"2017"	"No"	"2"	467101
	"California"	"06"	"2017"	"2017"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2018"	"2018"	"Yes"	"1"	4955
	"California"	"06"	"2018"	"2018"	"No"	"2"	449956
	"California"	"06"	"2018"	"2018"	"Unknown or Not Stated"	"9"	Suppressed
	"California"	"06"	"2019"	"2019"	"Yes"	"1"	5350
	"California"	"06"	"2019"	"2019"	"No"	"2"	440784
	"California"	"06"	"2019"	"2019"	"Unknown or Not Stated"	"9"	345
	"California"	"06"	"2020"	"2020"	"Yes"	"1"	6075
	"California"	"06"	"2020"	"2020"	"No"	"2"	413965
	"California"	"06"	"2020"	"2020"	"Unknown or Not Stated"	"9"	219
	"California"	"06"	"2021"	"2021"	"Yes"	"1"	6788
	"California"	"06"	"2021"	"2021"	"No"	"2"	413579
	"California"	"06"	"2021"	"2021"	"Unknown or Not Stated"	"9"	241
	"California"	"06"	"2022"	"2022"	"Yes"	"1"	7747
	"California"	"06"	"2022"	"2022"	"No"	"2"	411237
	"California"	"06"	"2022"	"2022"	"Unknown or Not Stated"	"9"	120
	"California"	"06"	"2023"	"2023"	"Yes"	"1"	8090
	"California"	"06"	"2023"	"2023"	"No"	"2"	391836
	"California"	"06"	"2023"	"2023"	"Unknown or Not Stated"	"9"	182
	"Florida"	"12"	"2010"	"2010"	"Yes"	"1"	3171
	"Florida"	"12"	"2010"	"2010"	"No"	"2"	210867
	"Florida"	"12"	"2010"	"2010"	"Unknown or Not Stated"	"9"	552
	"Florida"	"12"	"2011"	"2011"	"Yes"	"1"	3206
	"Florida"	"12"	"2011"	"2011"	"No"	"2"	209337
	"Florida"	"12"	"2011"	"2011"	"Unknown or Not Stated"	"9"	871
	"Florida"	"12"	"2012"	"2012"	"Yes"	"1"	3148
	"Florida"	"12"	"2012"	"2012"	"No"	"2"	209602
	"Florida"	"12"	"2012"	"2012"	"Unknown or Not Stated"	"9"	398
	"Florida"	"12"	"2013"	"2013"	"Yes"	"1"	3104
	"Florida"	"12"	"2013"	"2013"	"No"	"2"	211931
	"Florida"	"12"	"2013"	"2013"	"Unknown or Not Stated"	"9"	372
	"Florida"	"12"	"2014"	"2014"	"Yes"	"1"	3001
	"Florida"	"12"	"2014"	"2014"	"No"	"2"	216655
	"Florida"	"12"	"2014"	"2014"	"Unknown or Not Stated"	"9"	335
	"Florida"	"12"	"2015"	"2015"	"Yes"	"1"	2998
	"Florida"	"12"	"2015"	"2015"	"No"	"2"	220927
	"Florida"	"12"	"2015"	"2015"	"Unknown or Not Stated"	"9"	344
	"Florida"	"12"	"2016"	"2016"	"Yes"	"1"	3315
	"Florida"	"12"	"2016"	"2016"	"No"	"2"	221291
	"Florida"	"12"	"2016"	"2016"	"Unknown or Not Stated"	"9"	416
	"Florida"	"12"	"2017"	"2017"	"Yes"	"1"	3493
	"Florida"	"12"	"2017"	"2017"	"No"	"2"	219633
	"Florida"	"12"	"2017"	"2017"	"Unknown or Not Stated"	"9"	504
	"Florida"	"12"	"2018"	"2018"	"Yes"	"1"	3950
	"Florida"	"12"	"2018"	"2018"	"No"	"2"	217120
	"Florida"	"12"	"2018"	"2018"	"Unknown or Not Stated"	"9"	472
	"Florida"	"12"	"2019"	"2019"	"Yes"	"1"	4278
	"Florida"	"12"	"2019"	"2019"	"No"	"2"	215407
	"Florida"	"12"	"2019"	"2019"	"Unknown or Not Stated"	"9"	317
	"Florida"	"12"	"2020"	"2020"	"Yes"	"1"	4698
	"Florida"	"12"	"2020"	"2020"	"No"	"2"	204679
	"Florida"	"12"	"2020"	"2020"	"Unknown or Not Stated"	"9"	294
	"Florida"	"12"	"2021"	"2021"	"Yes"	"1"	4898
	"Florida"	"12"	"2021"	"2021"	"No"	"2"	210683
	"Florida"	"12"	"2021"	"2021"	"Unknown or Not Stated"	"9"	679
	"Florida"	"12"	"2022"	"2022"	"Yes"	"1"	5174
	"Florida"	"12"	"2022"	"2022"	"No"	"2"	218877
	"Florida"	"12"	"2022"	"2022"	"Unknown or Not Stated"	"9"	382
	"Florida"	"12"	"2023"	"2023"	"Yes"	"1"	5730
	"Florida"	"12"	"2023"	"2023"	"No"	"2"	214895
	"Florida"	"12"	"2023"	"2023"	"Unknown or Not Stated"	"9"	785
	"Georgia"	"13"	"2010"	"2010"	"Yes"	"1"	1866
	"Georgia"	"13"	"2010"	"2010"	"No"	"2"	126660
	"Georgia"	"13"	"2010"	"2010"	"Unknown or Not Stated"	"9"	5421
	"Georgia"	"13"	"2011"	"2011"	"Yes"	"1"	1777
	"Georgia"	"13"	"2011"	"2011"	"No"	"2"	124804
	"Georgia"	"13"	"2011"	"2011"	"Unknown or Not Stated"	"9"	5828
	"Georgia"	"13"	"2012"	"2012"	"Yes"	"1"	1964
	"Georgia"	"13"	"2012"	"2012"	"No"	"2"	124158
	"Georgia"	"13"	"2012"	"2012"	"Unknown or Not Stated"	"9"	4158
	"Georgia"	"13"	"2013"	"2013"	"Yes"	"1"	2104
	"Georgia"	"13"	"2013"	"2013"	"No"	"2"	123033
	"Georgia"	"13"	"2013"	"2013"	"Unknown or Not Stated"	"9"	3611
	"Georgia"	"13"	"2014"	"2014"	"Yes"	"1"	2372
	"Georgia"	"13"	"2014"	"2014"	"No"	"2"	125465
	"Georgia"	"13"	"2014"	"2014"	"Unknown or Not Stated"	"9"	3109
	"Georgia"	"13"	"2015"	"2015"	"Yes"	"1"	2573
	"Georgia"	"13"	"2015"	"2015"	"No"	"2"	128018
	"Georgia"	"13"	"2015"	"2015"	"Unknown or Not Stated"	"9"	813
	"Georgia"	"13"	"2016"	"2016"	"Yes"	"1"	2701
	"Georgia"	"13"	"2016"	"2016"	"No"	"2"	126993
	"Georgia"	"13"	"2016"	"2016"	"Unknown or Not Stated"	"9"	348
	"Georgia"	"13"	"2017"	"2017"	"Yes"	"1"	2807
	"Georgia"	"13"	"2017"	"2017"	"No"	"2"	126054
	"Georgia"	"13"	"2017"	"2017"	"Unknown or Not Stated"	"9"	382
	"Georgia"	"13"	"2018"	"2018"	"Yes"	"1"	2736
	"Georgia"	"13"	"2018"	"2018"	"No"	"2"	123175
	"Georgia"	"13"	"2018"	"2018"	"Unknown or Not Stated"	"9"	261
	"Georgia"	"13"	"2019"	"2019"	"Yes"	"1"	2984
	"Georgia"	"13"	"2019"	"2019"	"No"	"2"	123186
	"Georgia"	"13"	"2019"	"2019"	"Unknown or Not Stated"	"9"	201
	"Georgia"	"13"	"2020"	"2020"	"Yes"	"1"	3537
	"Georgia"	"13"	"2020"	"2020"	"No"	"2"	118793
	"Georgia"	"13"	"2020"	"2020"	"Unknown or Not Stated"	"9"	143
	"Georgia"	"13"	"2021"	"2021"	"Yes"	"1"	3650
	"Georgia"	"13"	"2021"	"2021"	"No"	"2"	120254
	"Georgia"	"13"	"2021"	"2021"	"Unknown or Not Stated"	"9"	169
	"Georgia"	"13"	"2022"	"2022"	"Yes"	"1"	3994
	"Georgia"	"13"	"2022"	"2022"	"No"	"2"	121929
	"Georgia"	"13"	"2022"	"2022"	"Unknown or Not Stated"	"9"	207
	"Georgia"	"13"	"2023"	"2023"	"Yes"	"1"	3954
	"Georgia"	"13"	"2023"	"2023"	"No"	"2"	120981
	"Georgia"	"13"	"2023"	"2023"	"Unknown or Not Stated"	"9"	185
	"Illinois"	"17"	"2010"	"2010"	"Yes"	"1"	2285
	"Illinois"	"17"	"2010"	"2010"	"No"	"2"	161171
	"Illinois"	"17"	"2010"	"2010"	"Unknown or Not Stated"	"9"	1744
	"Illinois"	"17"	"2011"	"2011"	"Yes"	"1"	2229
	"Illinois"	"17"	"2011"	"2011"	"No"	"2"	158406
	"Illinois"	"17"	"2011"	"2011"	"Unknown or Not Stated"	"9"	677
	"Illinois"	"17"	"2012"	"2012"	"Yes"	"1"	2275
	"Illinois"	"17"	"2012"	"2012"	"No"	"2"	155885
	"Illinois"	"17"	"2012"	"2012"	"Unknown or Not Stated"	"9"	1000
	"Illinois"	"17"	"2013"	"2013"	"Yes"	"1"	2289
	"Illinois"	"17"	"2013"	"2013"	"No"	"2"	153876
	"Illinois"	"17"	"2013"	"2013"	"Unknown or Not Stated"	"9"	766
	"Illinois"	"17"	"2014"	"2014"	"Yes"	"1"	2547
	"Illinois"	"17"	"2014"	"2014"	"No"	"2"	155172
	"Illinois"	"17"	"2014"	"2014"	"Unknown or Not Stated"	"9"	837
	"Illinois"	"17"	"2015"	"2015"	"Yes"	"1"	2809
	"Illinois"	"17"	"2015"	"2015"	"No"	"2"	155129
	"Illinois"	"17"	"2015"	"2015"	"Unknown or Not Stated"	"9"	178
	"Illinois"	"17"	"2016"	"2016"	"Yes"	"1"	3053
	"Illinois"	"17"	"2016"	"2016"	"No"	"2"	151166
	"Illinois"	"17"	"2016"	"2016"	"Unknown or Not Stated"	"9"	226
	"Illinois"	"17"	"2017"	"2017"	"Yes"	"1"	3267
	"Illinois"	"17"	"2017"	"2017"	"No"	"2"	145758
	"Illinois"	"17"	"2017"	"2017"	"Unknown or Not Stated"	"9"	365
	"Illinois"	"17"	"2018"	"2018"	"Yes"	"1"	3548
	"Illinois"	"17"	"2018"	"2018"	"No"	"2"	141014
	"Illinois"	"17"	"2018"	"2018"	"Unknown or Not Stated"	"9"	253
	"Illinois"	"17"	"2019"	"2019"	"Yes"	"1"	3733
	"Illinois"	"17"	"2019"	"2019"	"No"	"2"	136273
	"Illinois"	"17"	"2019"	"2019"	"Unknown or Not Stated"	"9"	122
	"Illinois"	"17"	"2020"	"2020"	"Yes"	"1"	3807
	"Illinois"	"17"	"2020"	"2020"	"No"	"2"	129323
	"Illinois"	"17"	"2020"	"2020"	"Unknown or Not Stated"	"9"	168
	"Illinois"	"17"	"2021"	"2021"	"Yes"	"1"	4073
	"Illinois"	"17"	"2021"	"2021"	"No"	"2"	127993
	"Illinois"	"17"	"2021"	"2021"	"Unknown or Not Stated"	"9"	123
	"Illinois"	"17"	"2022"	"2022"	"Yes"	"1"	4319
	"Illinois"	"17"	"2022"	"2022"	"No"	"2"	123889
	"Illinois"	"17"	"2022"	"2022"	"Unknown or Not Stated"	"9"	142
	"Illinois"	"17"	"2023"	"2023"	"Yes"	"1"	4420
	"Illinois"	"17"	"2023"	"2023"	"No"	"2"	120278
	"Illinois"	"17"	"2023"	"2023"	"Unknown or Not Stated"	"9"	122
	"Indiana"	"18"	"2010"	"2010"	"Yes"	"1"	1016
	"Indiana"	"18"	"2010"	"2010"	"No"	"2"	82914
	"Indiana"	"18"	"2010"	"2010"	"Unknown or Not Stated"	"9"	10
	"Indiana"	"18"	"2011"	"2011"	"Yes"	"1"	1097
	"Indiana"	"18"	"2011"	"2011"	"No"	"2"	82592
	"Indiana"	"18"	"2011"	"2011"	"Unknown or Not Stated"	"9"	12
	"Indiana"	"18"	"2012"	"2012"	"Yes"	"1"	1127
	"Indiana"	"18"	"2012"	"2012"	"No"	"2"	82095
	"Indiana"	"18"	"2012"	"2012"	"Unknown or Not Stated"	"9"	Suppressed
	"Indiana"	"18"	"2013"	"2013"	"Yes"	"1"	1196
	"Indiana"	"18"	"2013"	"2013"	"No"	"2"	81901
	"Indiana"	"18"	"2013"	"2013"	"Unknown or Not Stated"	"9"	Suppressed
	"Indiana"	"18"	"2014"	"2014"	"Yes"	"1"	1223
	"Indiana"	"18"	"2014"	"2014"	"No"	"2"	82855
	"Indiana"	"18"	"2014"	"2014"	"Unknown or Not Stated"	"9"	Suppressed
	"Indiana"	"18"	"2015"	"2015"	"Yes"	"1"	1233
	"Indiana"	"18"	"2015"	"2015"	"No"	"2"	82805
	"Indiana"	"18"	"2015"	"2015"	"Unknown or Not Stated"	"9"	Suppressed
	"Indiana"	"18"	"2016"	"2016"	"Yes"	"1"	1271
	"Indiana"	"18"	"2016"	"2016"	"No"	"2"	81816
	"Indiana"	"18"	"2016"	"2016"	"Unknown or Not Stated"	"9"	Suppressed
	"Indiana"	"18"	"2017"	"2017"	"Yes"	"1"	1521
	"Indiana"	"18"	"2017"	"2017"	"No"	"2"	80639
	"Indiana"	"18"	"2017"	"2017"	"Unknown or Not Stated"	"9"	10
	"Indiana"	"18"	"2018"	"2018"	"Yes"	"1"	1622
	"Indiana"	"18"	"2018"	"2018"	"No"	"2"	80015
	"Indiana"	"18"	"2018"	"2018"	"Unknown or Not Stated"	"9"	Suppressed
	"Indiana"	"18"	"2019"	"2019"	"Yes"	"1"	1934
	"Indiana"	"18"	"2019"	"2019"	"No"	"2"	78921
	"Indiana"	"18"	"2019"	"2019"	"Unknown or Not Stated"	"9"	Suppressed
	"Indiana"	"18"	"2020"	"2020"	"Yes"	"1"	2117
	"Indiana"	"18"	"2020"	"2020"	"No"	"2"	76452
	"Indiana"	"18"	"2020"	"2020"	"Unknown or Not Stated"	"9"	47
	"Indiana"	"18"	"2021"	"2021"	"Yes"	"1"	2707
	"Indiana"	"18"	"2021"	"2021"	"No"	"2"	76778
	"Indiana"	"18"	"2021"	"2021"	"Unknown or Not Stated"	"9"	461
	"Indiana"	"18"	"2022"	"2022"	"Yes"	"1"	2591
	"Indiana"	"18"	"2022"	"2022"	"No"	"2"	76663
	"Indiana"	"18"	"2022"	"2022"	"Unknown or Not Stated"	"9"	395
	"Indiana"	"18"	"2023"	"2023"	"Yes"	"1"	2786
	"Indiana"	"18"	"2023"	"2023"	"No"	"2"	75710
	"Indiana"	"18"	"2023"	"2023"	"Unknown or Not Stated"	"9"	504
	"Maryland"	"24"	"2010"	"2010"	"Yes"	"1"	1698
	"Maryland"	"24"	"2010"	"2010"	"No"	"2"	71996
	"Maryland"	"24"	"2010"	"2010"	"Unknown or Not Stated"	"9"	107
	"Maryland"	"24"	"2011"	"2011"	"Yes"	"1"	1584
	"Maryland"	"24"	"2011"	"2011"	"No"	"2"	71380
	"Maryland"	"24"	"2011"	"2011"	"Unknown or Not Stated"	"9"	129
	"Maryland"	"24"	"2012"	"2012"	"Yes"	"1"	1763
	"Maryland"	"24"	"2012"	"2012"	"No"	"2"	71040
	"Maryland"	"24"	"2012"	"2012"	"Unknown or Not Stated"	"9"	80
	"Maryland"	"24"	"2013"	"2013"	"Yes"	"1"	2132
	"Maryland"	"24"	"2013"	"2013"	"No"	"2"	69699
	"Maryland"	"24"	"2013"	"2013"	"Unknown or Not Stated"	"9"	122
	"Maryland"	"24"	"2014"	"2014"	"Yes"	"1"	2103
	"Maryland"	"24"	"2014"	"2014"	"No"	"2"	71739
	"Maryland"	"24"	"2014"	"2014"	"Unknown or Not Stated"	"9"	79
	"Maryland"	"24"	"2015"	"2015"	"Yes"	"1"	2205
	"Maryland"	"24"	"2015"	"2015"	"No"	"2"	71408
	"Maryland"	"24"	"2015"	"2015"	"Unknown or Not Stated"	"9"	Suppressed
	"Maryland"	"24"	"2016"	"2016"	"Yes"	"1"	2120
	"Maryland"	"24"	"2016"	"2016"	"No"	"2"	71005
	"Maryland"	"24"	"2016"	"2016"	"Unknown or Not Stated"	"9"	11
	"Maryland"	"24"	"2017"	"2017"	"Yes"	"1"	2115
	"Maryland"	"24"	"2017"	"2017"	"No"	"2"	69457
	"Maryland"	"24"	"2017"	"2017"	"Unknown or Not Stated"	"9"	69
	"Maryland"	"24"	"2018"	"2018"	"Yes"	"1"	2218
	"Maryland"	"24"	"2018"	"2018"	"No"	"2"	68820
	"Maryland"	"24"	"2018"	"2018"	"Unknown or Not Stated"	"9"	42
	"Maryland"	"24"	"2019"	"2019"	"Yes"	"1"	2189
	"Maryland"	"24"	"2019"	"2019"	"No"	"2"	67949
	"Maryland"	"24"	"2019"	"2019"	"Unknown or Not Stated"	"9"	40
	"Maryland"	"24"	"2020"	"2020"	"Yes"	"1"	2557
	"Maryland"	"24"	"2020"	"2020"	"No"	"2"	65958
	"Maryland"	"24"	"2020"	"2020"	"Unknown or Not Stated"	"9"	39
	"Maryland"	"24"	"2021"	"2021"	"Yes"	"1"	2528
	"Maryland"	"24"	"2021"	"2021"	"No"	"2"	65715
	"Maryland"	"24"	"2021"	"2021"	"Unknown or Not Stated"	"9"	42
	"Maryland"	"24"	"2022"	"2022"	"Yes"	"1"	3025
	"Maryland"	"24"	"2022"	"2022"	"No"	"2"	65721
	"Maryland"	"24"	"2022"	"2022"	"Unknown or Not Stated"	"9"	36
	"Maryland"	"24"	"2023"	"2023"	"Yes"	"1"	3226
	"Maryland"	"24"	"2023"	"2023"	"No"	"2"	62352
	"Maryland"	"24"	"2023"	"2023"	"Unknown or Not Stated"	"9"	16
	"Michigan"	"26"	"2010"	"2010"	"Yes"	"1"	1441
	"Michigan"	"26"	"2010"	"2010"	"No"	"2"	111872
	"Michigan"	"26"	"2010"	"2010"	"Unknown or Not Stated"	"9"	1218
	"Michigan"	"26"	"2011"	"2011"	"Yes"	"1"	1541
	"Michigan"	"26"	"2011"	"2011"	"No"	"2"	110977
	"Michigan"	"26"	"2011"	"2011"	"Unknown or Not Stated"	"9"	1490
	"Michigan"	"26"	"2012"	"2012"	"Yes"	"1"	1676
	"Michigan"	"26"	"2012"	"2012"	"No"	"2"	110712
	"Michigan"	"26"	"2012"	"2012"	"Unknown or Not Stated"	"9"	703
	"Michigan"	"26"	"2013"	"2013"	"Yes"	"1"	1722
	"Michigan"	"26"	"2013"	"2013"	"No"	"2"	111527
	"Michigan"	"26"	"2013"	"2013"	"Unknown or Not Stated"	"9"	240
	"Michigan"	"26"	"2014"	"2014"	"Yes"	"1"	1533
	"Michigan"	"26"	"2014"	"2014"	"No"	"2"	112484
	"Michigan"	"26"	"2014"	"2014"	"Unknown or Not Stated"	"9"	358
	"Michigan"	"26"	"2015"	"2015"	"Yes"	"1"	1607
	"Michigan"	"26"	"2015"	"2015"	"No"	"2"	111372
	"Michigan"	"26"	"2015"	"2015"	"Unknown or Not Stated"	"9"	333
	"Michigan"	"26"	"2016"	"2016"	"Yes"	"1"	1768
	"Michigan"	"26"	"2016"	"2016"	"No"	"2"	111279
	"Michigan"	"26"	"2016"	"2016"	"Unknown or Not Stated"	"9"	268
	"Michigan"	"26"	"2017"	"2017"	"Yes"	"1"	1843
	"Michigan"	"26"	"2017"	"2017"	"No"	"2"	109271
	"Michigan"	"26"	"2017"	"2017"	"Unknown or Not Stated"	"9"	312
	"Michigan"	"26"	"2018"	"2018"	"Yes"	"1"	2072
	"Michigan"	"26"	"2018"	"2018"	"No"	"2"	107691
	"Michigan"	"26"	"2018"	"2018"	"Unknown or Not Stated"	"9"	269
	"Michigan"	"26"	"2019"	"2019"	"Yes"	"1"	2291
	"Michigan"	"26"	"2019"	"2019"	"No"	"2"	105356
	"Michigan"	"26"	"2019"	"2019"	"Unknown or Not Stated"	"9"	239
	"Michigan"	"26"	"2020"	"2020"	"Yes"	"1"	2599
	"Michigan"	"26"	"2020"	"2020"	"No"	"2"	101293
	"Michigan"	"26"	"2020"	"2020"	"Unknown or Not Stated"	"9"	182
	"Michigan"	"26"	"2021"	"2021"	"Yes"	"1"	2764
	"Michigan"	"26"	"2021"	"2021"	"No"	"2"	102071
	"Michigan"	"26"	"2021"	"2021"	"Unknown or Not Stated"	"9"	145
	"Michigan"	"26"	"2022"	"2022"	"Yes"	"1"	2749
	"Michigan"	"26"	"2022"	"2022"	"No"	"2"	99313
	"Michigan"	"26"	"2022"	"2022"	"Unknown or Not Stated"	"9"	259
	"Michigan"	"26"	"2023"	"2023"	"Yes"	"1"	2865
	"Michigan"	"26"	"2023"	"2023"	"No"	"2"	95924
	"Michigan"	"26"	"2023"	"2023"	"Unknown or Not Stated"	"9"	335
	"Missouri"	"29"	"2010"	"2010"	"Yes"	"1"	1181
	"Missouri"	"29"	"2010"	"2010"	"No"	"2"	75578
	"Missouri"	"29"	"2010"	"2010"	"Unknown or Not Stated"	"9"	0
