"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Medical Attendant"	"Medical Attendant Code"	Births
	"Arizona"	"04"	"2014"	"2014"	"Other"	"5"	238
	"Arizona"	"04"	"2014"	"2014"	"Unknown or not stated"	"9"	10
	"Arizona"	"04"	"2014"	"2014"	"Not Reported"	"100"	0
	"Arizona"	"04"	"2015"	"2015"	"Doctor of Medicine(MD)"	"1"	68443
	"Arizona"	"04"	"2015"	"2015"	"Doctor of Osteopathy(DO)"	"2"	10016
	"Arizona"	"04"	"2015"	"2015"	"Certified Nurse Midwife(CNM/CM)"	"3"	6551
	"Arizona"	"04"	"2015"	"2015"	"Other Midwife"	"4"	90
	"Arizona"	"04"	"2015"	"2015"	"Other"	"5"	236
	"Arizona"	"04"	"2015"	"2015"	"Unknown or not stated"	"9"	15
	"Arizona"	"04"	"2015"	"2015"	"Not Reported"	"100"	0
	"Arizona"	"04"	"2016"	"2016"	"Doctor of Medicine(MD)"	"1"	66639
	"Arizona"	"04"	"2016"	"2016"	"Doctor of Osteopathy(DO)"	"2"	10808
	"Arizona"	"04"	"2016"	"2016"	"Certified Nurse Midwife(CNM/CM)"	"3"	6685
	"Arizona"	"04"	"2016"	"2016"	"Other Midwife"	"4"	57
	"Arizona"	"04"	"2016"	"2016"	"Other"	"5"	310
	"Arizona"	"04"	"2016"	"2016"	"Unknown or not stated"	"9"	21
	"Arizona"	"04"	"2016"	"2016"	"Not Reported"	"100"	0
	"Arizona"	"04"	"2017"	"2017"	"Doctor of Medicine(MD)"	"1"	63809
	"Arizona"	"04"	"2017"	"2017"	"Doctor of Osteopathy(DO)"	"2"	11020
	"Arizona"	"04"	"2017"	"2017"	"Certified Nurse Midwife(CNM/CM)"	"3"	6694
	"Arizona"	"04"	"2017"	"2017"	"Other Midwife"	"4"	79
	"Arizona"	"04"	"2017"	"2017"	"Other"	"5"	253
	"Arizona"	"04"	"2017"	"2017"	"Unknown or not stated"	"9"	17
	"Arizona"	"04"	"2017"	"2017"	"Not Reported"	"100"	0
	"Arizona"	"04"	"2018"	"2018"	"Doctor of Medicine(MD)"	"1"	63036
	"Arizona"	"04"	"2018"	"2018"	"Doctor of Osteopathy(DO)"	"2"	10562
	"Arizona"	"04"	"2018"	"2018"	"Certified Nurse Midwife(CNM/CM)"	"3"	6825
	"Arizona"	"04"	"2018"	"2018"	"Other Midwife"	"4"	54
	"Arizona"	"04"	"2018"	"2018"	"Other"	"5"	220
	"Arizona"	"04"	"2018"	"2018"	"Unknown or not stated"	"9"	26
	"Arizona"	"04"	"2018"	"2018"	"Not Reported"	"100"	0
	"Arizona"	"04"	"2019"	"2019"	"Doctor of Medicine(MD)"	"1"	60269
	"Arizona"	"04"	"2019"	"2019"	"Doctor of Osteopathy(DO)"	"2"	11056
	"Arizona"	"04"	"2019"	"2019"	"Certified Nurse Midwife(CNM/CM)"	"3"	7671
	"Arizona"	"04"	"2019"	"2019"	"Other Midwife"	"4"	32
	"Arizona"	"04"	"2019"	"2019"	"Other"	"5"	338
	"Arizona"	"04"	"2019"	"2019"	"Not Reported"	"100"	0
	"Arizona"	"04"	"2020"	"2020"	"Doctor of Medicine(MD)"	"1"	56796
	"Arizona"	"04"	"2020"	"2020"	"Doctor of Osteopathy(DO)"	"2"	10520
	"Arizona"	"04"	"2020"	"2020"	"Certified Nurse Midwife(CNM/CM)"	"3"	9183
	"Arizona"	"04"	"2020"	"2020"	"Other Midwife"	"4"	57
	"Arizona"	"04"	"2020"	"2020"	"Other"	"5"	383
	"Arizona"	"04"	"2020"	"2020"	"Not Reported"	"100"	0
	"Arizona"	"04"	"2021"	"2021"	"Doctor of Medicine(MD)"	"1"	57269
	"Arizona"	"04"	"2021"	"2021"	"Doctor of Osteopathy(DO)"	"2"	10300
	"Arizona"	"04"	"2021"	"2021"	"Certified Nurse Midwife(CNM/CM)"	"3"	9948
	"Arizona"	"04"	"2021"	"2021"	"Other Midwife"	"4"	62
	"Arizona"	"04"	"2021"	"2021"	"Other"	"5"	330
	"Arizona"	"04"	"2021"	"2021"	"Not Reported"	"100"	0
	"Arizona"	"04"	"2022"	"2022"	"Doctor of Medicine(MD)"	"1"	57276
	"Arizona"	"04"	"2022"	"2022"	"Doctor of Osteopathy(DO)"	"2"	10548
	"Arizona"	"04"	"2022"	"2022"	"Certified Nurse Midwife(CNM/CM)"	"3"	10212
	"Arizona"	"04"	"2022"	"2022"	"Other Midwife"	"4"	71
	"Arizona"	"04"	"2022"	"2022"	"Other"	"5"	410
	"Arizona"	"04"	"2022"	"2022"	"Unknown or not stated"	"9"	30
	"Arizona"	"04"	"2022"	"2022"	"Not Reported"	"100"	0
	"Arizona"	"04"	"2023"	"2023"	"Doctor of Medicine(MD)"	"1"	56551
	"Arizona"	"04"	"2023"	"2023"	"Doctor of Osteopathy(DO)"	"2"	10739
	"Arizona"	"04"	"2023"	"2023"	"Certified Nurse Midwife(CNM/CM)"	"3"	10390
	"Arizona"	"04"	"2023"	"2023"	"Other Midwife"	"4"	47
	"Arizona"	"04"	"2023"	"2023"	"Other"	"5"	360
	"Arizona"	"04"	"2023"	"2023"	"Not Reported"	"100"	0
	"Arkansas"	"05"	"2010"	"2010"	"Doctor of Medicine(MD)"	"1"	36457
	"Arkansas"	"05"	"2010"	"2010"	"Doctor of Osteopathy(DO)"	"2"	1350
	"Arkansas"	"05"	"2010"	"2010"	"Certified Nurse Midwife(CNM/CM)"	"3"	343
	"Arkansas"	"05"	"2010"	"2010"	"Other Midwife"	"4"	187
	"Arkansas"	"05"	"2010"	"2010"	"Other"	"5"	197
	"Arkansas"	"05"	"2010"	"2010"	"Not Reported"	"100"	0
	"Arkansas"	"05"	"2011"	"2011"	"Doctor of Medicine(MD)"	"1"	36466
	"Arkansas"	"05"	"2011"	"2011"	"Doctor of Osteopathy(DO)"	"2"	1464
	"Arkansas"	"05"	"2011"	"2011"	"Certified Nurse Midwife(CNM/CM)"	"3"	349
	"Arkansas"	"05"	"2011"	"2011"	"Other Midwife"	"4"	200
	"Arkansas"	"05"	"2011"	"2011"	"Other"	"5"	225
	"Arkansas"	"05"	"2011"	"2011"	"Unknown or not stated"	"9"	11
	"Arkansas"	"05"	"2011"	"2011"	"Not Reported"	"100"	0
	"Arkansas"	"05"	"2012"	"2012"	"Doctor of Medicine(MD)"	"1"	36007
	"Arkansas"	"05"	"2012"	"2012"	"Doctor of Osteopathy(DO)"	"2"	1614
	"Arkansas"	"05"	"2012"	"2012"	"Certified Nurse Midwife(CNM/CM)"	"3"	241
	"Arkansas"	"05"	"2012"	"2012"	"Other Midwife"	"4"	260
	"Arkansas"	"05"	"2012"	"2012"	"Other"	"5"	204
	"Arkansas"	"05"	"2012"	"2012"	"Unknown or not stated"	"9"	21
	"Arkansas"	"05"	"2012"	"2012"	"Not Reported"	"100"	0
	"Arkansas"	"05"	"2013"	"2013"	"Doctor of Medicine(MD)"	"1"	35607
	"Arkansas"	"05"	"2013"	"2013"	"Doctor of Osteopathy(DO)"	"2"	1545
	"Arkansas"	"05"	"2013"	"2013"	"Certified Nurse Midwife(CNM/CM)"	"3"	210
	"Arkansas"	"05"	"2013"	"2013"	"Other Midwife"	"4"	269
	"Arkansas"	"05"	"2013"	"2013"	"Other"	"5"	181
	"Arkansas"	"05"	"2013"	"2013"	"Unknown or not stated"	"9"	20
	"Arkansas"	"05"	"2013"	"2013"	"Not Reported"	"100"	0
	"Arkansas"	"05"	"2014"	"2014"	"Doctor of Medicine(MD)"	"1"	35812
	"Arkansas"	"05"	"2014"	"2014"	"Doctor of Osteopathy(DO)"	"2"	1964
	"Arkansas"	"05"	"2014"	"2014"	"Certified Nurse Midwife(CNM/CM)"	"3"	186
	"Arkansas"	"05"	"2014"	"2014"	"Other Midwife"	"4"	248
	"Arkansas"	"05"	"2014"	"2014"	"Other"	"5"	204
	"Arkansas"	"05"	"2014"	"2014"	"Unknown or not stated"	"9"	97
	"Arkansas"	"05"	"2014"	"2014"	"Not Reported"	"100"	0
	"Arkansas"	"05"	"2015"	"2015"	"Doctor of Medicine(MD)"	"1"	36089
	"Arkansas"	"05"	"2015"	"2015"	"Doctor of Osteopathy(DO)"	"2"	2141
	"Arkansas"	"05"	"2015"	"2015"	"Certified Nurse Midwife(CNM/CM)"	"3"	194
	"Arkansas"	"05"	"2015"	"2015"	"Other Midwife"	"4"	254
	"Arkansas"	"05"	"2015"	"2015"	"Other"	"5"	177
	"Arkansas"	"05"	"2015"	"2015"	"Unknown or not stated"	"9"	31
	"Arkansas"	"05"	"2015"	"2015"	"Not Reported"	"100"	0
	"Arkansas"	"05"	"2016"	"2016"	"Doctor of Medicine(MD)"	"1"	35378
	"Arkansas"	"05"	"2016"	"2016"	"Doctor of Osteopathy(DO)"	"2"	2217
	"Arkansas"	"05"	"2016"	"2016"	"Certified Nurse Midwife(CNM/CM)"	"3"	169
	"Arkansas"	"05"	"2016"	"2016"	"Other Midwife"	"4"	258
	"Arkansas"	"05"	"2016"	"2016"	"Other"	"5"	236
	"Arkansas"	"05"	"2016"	"2016"	"Unknown or not stated"	"9"	16
	"Arkansas"	"05"	"2016"	"2016"	"Not Reported"	"100"	0
	"Arkansas"	"05"	"2017"	"2017"	"Doctor of Medicine(MD)"	"1"	34484
	"Arkansas"	"05"	"2017"	"2017"	"Doctor of Osteopathy(DO)"	"2"	2414
	"Arkansas"	"05"	"2017"	"2017"	"Certified Nurse Midwife(CNM/CM)"	"3"	158
	"Arkansas"	"05"	"2017"	"2017"	"Other Midwife"	"4"	191
	"Arkansas"	"05"	"2017"	"2017"	"Other"	"5"	259
	"Arkansas"	"05"	"2017"	"2017"	"Unknown or not stated"	"9"	14
	"Arkansas"	"05"	"2017"	"2017"	"Not Reported"	"100"	0
	"Arkansas"	"05"	"2018"	"2018"	"Doctor of Medicine(MD)"	"1"	33981
	"Arkansas"	"05"	"2018"	"2018"	"Doctor of Osteopathy(DO)"	"2"	2376
	"Arkansas"	"05"	"2018"	"2018"	"Certified Nurse Midwife(CNM/CM)"	"3"	161
	"Arkansas"	"05"	"2018"	"2018"	"Other Midwife"	"4"	219
	"Arkansas"	"05"	"2018"	"2018"	"Other"	"5"	269
	"Arkansas"	"05"	"2018"	"2018"	"Unknown or not stated"	"9"	12
	"Arkansas"	"05"	"2018"	"2018"	"Not Reported"	"100"	0
	"Arkansas"	"05"	"2019"	"2019"	"Doctor of Medicine(MD)"	"1"	33434
	"Arkansas"	"05"	"2019"	"2019"	"Doctor of Osteopathy(DO)"	"2"	2594
	"Arkansas"	"05"	"2019"	"2019"	"Certified Nurse Midwife(CNM/CM)"	"3"	164
	"Arkansas"	"05"	"2019"	"2019"	"Other Midwife"	"4"	204
	"Arkansas"	"05"	"2019"	"2019"	"Other"	"5"	162
	"Arkansas"	"05"	"2019"	"2019"	"Not Reported"	"100"	0
	"Arkansas"	"05"	"2020"	"2020"	"Doctor of Medicine(MD)"	"1"	32224
	"Arkansas"	"05"	"2020"	"2020"	"Doctor of Osteopathy(DO)"	"2"	2507
	"Arkansas"	"05"	"2020"	"2020"	"Certified Nurse Midwife(CNM/CM)"	"3"	136
	"Arkansas"	"05"	"2020"	"2020"	"Other Midwife"	"4"	235
	"Arkansas"	"05"	"2020"	"2020"	"Other"	"5"	137
	"Arkansas"	"05"	"2020"	"2020"	"Unknown or not stated"	"9"	12
	"Arkansas"	"05"	"2020"	"2020"	"Not Reported"	"100"	0
	"Arkansas"	"05"	"2021"	"2021"	"Doctor of Medicine(MD)"	"1"	32884
	"Arkansas"	"05"	"2021"	"2021"	"Doctor of Osteopathy(DO)"	"2"	2495
	"Arkansas"	"05"	"2021"	"2021"	"Certified Nurse Midwife(CNM/CM)"	"3"	111
	"Arkansas"	"05"	"2021"	"2021"	"Other Midwife"	"4"	281
	"Arkansas"	"05"	"2021"	"2021"	"Other"	"5"	188
	"Arkansas"	"05"	"2021"	"2021"	"Not Reported"	"100"	0
	"Arkansas"	"05"	"2022"	"2022"	"Doctor of Medicine(MD)"	"1"	32523
	"Arkansas"	"05"	"2022"	"2022"	"Doctor of Osteopathy(DO)"	"2"	2216
	"Arkansas"	"05"	"2022"	"2022"	"Certified Nurse Midwife(CNM/CM)"	"3"	149
	"Arkansas"	"05"	"2022"	"2022"	"Other Midwife"	"4"	338
	"Arkansas"	"05"	"2022"	"2022"	"Other"	"5"	240
	"Arkansas"	"05"	"2022"	"2022"	"Not Reported"	"100"	0
	"Arkansas"	"05"	"2023"	"2023"	"Doctor of Medicine(MD)"	"1"	32179
	"Arkansas"	"05"	"2023"	"2023"	"Doctor of Osteopathy(DO)"	"2"	2250
	"Arkansas"	"05"	"2023"	"2023"	"Certified Nurse Midwife(CNM/CM)"	"3"	283
	"Arkansas"	"05"	"2023"	"2023"	"Other Midwife"	"4"	367
	"Arkansas"	"05"	"2023"	"2023"	"Other"	"5"	180
	"Arkansas"	"05"	"2023"	"2023"	"Not Reported"	"100"	0
	"California"	"06"	"2010"	"2010"	"Doctor of Medicine(MD)"	"1"	443581
	"California"	"06"	"2010"	"2010"	"Doctor of Osteopathy(DO)"	"2"	17222
	"California"	"06"	"2010"	"2010"	"Certified Nurse Midwife(CNM/CM)"	"3"	42974
	"California"	"06"	"2010"	"2010"	"Other Midwife"	"4"	1653
	"California"	"06"	"2010"	"2010"	"Other"	"5"	4432
	"California"	"06"	"2010"	"2010"	"Unknown or not stated"	"9"	336
	"California"	"06"	"2010"	"2010"	"Not Reported"	"100"	0
	"California"	"06"	"2011"	"2011"	"Doctor of Medicine(MD)"	"1"	435228
	"California"	"06"	"2011"	"2011"	"Doctor of Osteopathy(DO)"	"2"	18664
	"California"	"06"	"2011"	"2011"	"Certified Nurse Midwife(CNM/CM)"	"3"	41790
	"California"	"06"	"2011"	"2011"	"Other Midwife"	"4"	1909
	"California"	"06"	"2011"	"2011"	"Other"	"5"	4214
	"California"	"06"	"2011"	"2011"	"Unknown or not stated"	"9"	315
	"California"	"06"	"2011"	"2011"	"Not Reported"	"100"	0
	"California"	"06"	"2012"	"2012"	"Doctor of Medicine(MD)"	"1"	434627
	"California"	"06"	"2012"	"2012"	"Doctor of Osteopathy(DO)"	"2"	19581
	"California"	"06"	"2012"	"2012"	"Certified Nurse Midwife(CNM/CM)"	"3"	42515
	"California"	"06"	"2012"	"2012"	"Other Midwife"	"4"	2179
	"California"	"06"	"2012"	"2012"	"Other"	"5"	4500
	"California"	"06"	"2012"	"2012"	"Unknown or not stated"	"9"	353
	"California"	"06"	"2012"	"2012"	"Not Reported"	"100"	0
	"California"	"06"	"2013"	"2013"	"Doctor of Medicine(MD)"	"1"	421892
	"California"	"06"	"2013"	"2013"	"Doctor of Osteopathy(DO)"	"2"	22256
	"California"	"06"	"2013"	"2013"	"Certified Nurse Midwife(CNM/CM)"	"3"	43126
	"California"	"06"	"2013"	"2013"	"Other Midwife"	"4"	2399
	"California"	"06"	"2013"	"2013"	"Other"	"5"	4717
	"California"	"06"	"2013"	"2013"	"Unknown or not stated"	"9"	315
	"California"	"06"	"2013"	"2013"	"Not Reported"	"100"	0
	"California"	"06"	"2014"	"2014"	"Doctor of Medicine(MD)"	"1"	426346
	"California"	"06"	"2014"	"2014"	"Doctor of Osteopathy(DO)"	"2"	23968
	"California"	"06"	"2014"	"2014"	"Certified Nurse Midwife(CNM/CM)"	"3"	45025
	"California"	"06"	"2014"	"2014"	"Other Midwife"	"4"	2661
	"California"	"06"	"2014"	"2014"	"Other"	"5"	4542
	"California"	"06"	"2014"	"2014"	"Unknown or not stated"	"9"	337
	"California"	"06"	"2014"	"2014"	"Not Reported"	"100"	0
	"California"	"06"	"2015"	"2015"	"Doctor of Medicine(MD)"	"1"	411164
	"California"	"06"	"2015"	"2015"	"Doctor of Osteopathy(DO)"	"2"	25030
	"California"	"06"	"2015"	"2015"	"Certified Nurse Midwife(CNM/CM)"	"3"	47642
	"California"	"06"	"2015"	"2015"	"Other Midwife"	"4"	2851
	"California"	"06"	"2015"	"2015"	"Other"	"5"	4756
	"California"	"06"	"2015"	"2015"	"Unknown or not stated"	"9"	305
	"California"	"06"	"2015"	"2015"	"Not Reported"	"100"	0
	"California"	"06"	"2016"	"2016"	"Doctor of Medicine(MD)"	"1"	405221
	"California"	"06"	"2016"	"2016"	"Doctor of Osteopathy(DO)"	"2"	26864
	"California"	"06"	"2016"	"2016"	"Certified Nurse Midwife(CNM/CM)"	"3"	48898
	"California"	"06"	"2016"	"2016"	"Other Midwife"	"4"	2822
	"California"	"06"	"2016"	"2016"	"Other"	"5"	4684
	"California"	"06"	"2016"	"2016"	"Unknown or not stated"	"9"	338
	"California"	"06"	"2016"	"2016"	"Not Reported"	"100"	0
	"California"	"06"	"2017"	"2017"	"Doctor of Medicine(MD)"	"1"	386654
	"California"	"06"	"2017"	"2017"	"Doctor of Osteopathy(DO)"	"2"	27423
	"California"	"06"	"2017"	"2017"	"Certified Nurse Midwife(CNM/CM)"	"3"	49512
	"California"	"06"	"2017"	"2017"	"Other Midwife"	"4"	2912
	"California"	"06"	"2017"	"2017"	"Other"	"5"	4761
	"California"	"06"	"2017"	"2017"	"Unknown or not stated"	"9"	396
	"California"	"06"	"2017"	"2017"	"Not Reported"	"100"	0
	"California"	"06"	"2018"	"2018"	"Doctor of Medicine(MD)"	"1"	368707
	"California"	"06"	"2018"	"2018"	"Doctor of Osteopathy(DO)"	"2"	27962
	"California"	"06"	"2018"	"2018"	"Certified Nurse Midwife(CNM/CM)"	"3"	50535
	"California"	"06"	"2018"	"2018"	"Other Midwife"	"4"	3062
	"California"	"06"	"2018"	"2018"	"Other"	"5"	4281
	"California"	"06"	"2018"	"2018"	"Unknown or not stated"	"9"	373
	"California"	"06"	"2018"	"2018"	"Not Reported"	"100"	0
	"California"	"06"	"2019"	"2019"	"Doctor of Medicine(MD)"	"1"	356285
	"California"	"06"	"2019"	"2019"	"Doctor of Osteopathy(DO)"	"2"	32676
	"California"	"06"	"2019"	"2019"	"Certified Nurse Midwife(CNM/CM)"	"3"	51329
	"California"	"06"	"2019"	"2019"	"Other Midwife"	"4"	3009
	"California"	"06"	"2019"	"2019"	"Other"	"5"	2759
	"California"	"06"	"2019"	"2019"	"Unknown or not stated"	"9"	421
	"California"	"06"	"2019"	"2019"	"Not Reported"	"100"	0
	"California"	"06"	"2020"	"2020"	"Doctor of Medicine(MD)"	"1"	328596
	"California"	"06"	"2020"	"2020"	"Doctor of Osteopathy(DO)"	"2"	33976
	"California"	"06"	"2020"	"2020"	"Certified Nurse Midwife(CNM/CM)"	"3"	52007
	"California"	"06"	"2020"	"2020"	"Other Midwife"	"4"	3700
	"California"	"06"	"2020"	"2020"	"Other"	"5"	1570
	"California"	"06"	"2020"	"2020"	"Unknown or not stated"	"9"	410
	"California"	"06"	"2020"	"2020"	"Not Reported"	"100"	0
	"California"	"06"	"2021"	"2021"	"Doctor of Medicine(MD)"	"1"	326626
	"California"	"06"	"2021"	"2021"	"Doctor of Osteopathy(DO)"	"2"	34338
	"California"	"06"	"2021"	"2021"	"Certified Nurse Midwife(CNM/CM)"	"3"	53023
	"California"	"06"	"2021"	"2021"	"Other Midwife"	"4"	4327
	"California"	"06"	"2021"	"2021"	"Other"	"5"	1741
	"California"	"06"	"2021"	"2021"	"Unknown or not stated"	"9"	553
	"California"	"06"	"2021"	"2021"	"Not Reported"	"100"	0
	"California"	"06"	"2022"	"2022"	"Doctor of Medicine(MD)"	"1"	324370
	"California"	"06"	"2022"	"2022"	"Doctor of Osteopathy(DO)"	"2"	34542
	"California"	"06"	"2022"	"2022"	"Certified Nurse Midwife(CNM/CM)"	"3"	53482
	"California"	"06"	"2022"	"2022"	"Other Midwife"	"4"	4490
	"California"	"06"	"2022"	"2022"	"Other"	"5"	1647
	"California"	"06"	"2022"	"2022"	"Unknown or not stated"	"9"	573
	"California"	"06"	"2022"	"2022"	"Not Reported"	"100"	0
	"California"	"06"	"2023"	"2023"	"Doctor of Medicine(MD)"	"1"	307049
	"California"	"06"	"2023"	"2023"	"Doctor of Osteopathy(DO)"	"2"	34666
	"California"	"06"	"2023"	"2023"	"Certified Nurse Midwife(CNM/CM)"	"3"	51885
	"California"	"06"	"2023"	"2023"	"Other Midwife"	"4"	4318
	"California"	"06"	"2023"	"2023"	"Other"	"5"	1646
	"California"	"06"	"2023"	"2023"	"Unknown or not stated"	"9"	544
	"California"	"06"	"2023"	"2023"	"Not Reported"	"100"	0
	"Florida"	"12"	"2010"	"2010"	"Doctor of Medicine(MD)"	"1"	175113
	"Florida"	"12"	"2010"	"2010"	"Doctor of Osteopathy(DO)"	"2"	12392
	"Florida"	"12"	"2010"	"2010"	"Certified Nurse Midwife(CNM/CM)"	"3"	23684
	"Florida"	"12"	"2010"	"2010"	"Other Midwife"	"4"	2106
	"Florida"	"12"	"2010"	"2010"	"Other"	"5"	1250
	"Florida"	"12"	"2010"	"2010"	"Unknown or not stated"	"9"	45
	"Florida"	"12"	"2010"	"2010"	"Not Reported"	"100"	0
	"Florida"	"12"	"2011"	"2011"	"Doctor of Medicine(MD)"	"1"	175296
	"Florida"	"12"	"2011"	"2011"	"Doctor of Osteopathy(DO)"	"2"	11576
	"Florida"	"12"	"2011"	"2011"	"Certified Nurse Midwife(CNM/CM)"	"3"	23008
	"Florida"	"12"	"2011"	"2011"	"Other Midwife"	"4"	2380
	"Florida"	"12"	"2011"	"2011"	"Other"	"5"	1139
	"Florida"	"12"	"2011"	"2011"	"Unknown or not stated"	"9"	15
	"Florida"	"12"	"2011"	"2011"	"Not Reported"	"100"	0
	"Florida"	"12"	"2012"	"2012"	"Doctor of Medicine(MD)"	"1"	175539
	"Florida"	"12"	"2012"	"2012"	"Doctor of Osteopathy(DO)"	"2"	11486
	"Florida"	"12"	"2012"	"2012"	"Certified Nurse Midwife(CNM/CM)"	"3"	22453
	"Florida"	"12"	"2012"	"2012"	"Other Midwife"	"4"	2587
	"Florida"	"12"	"2012"	"2012"	"Other"	"5"	1068
	"Florida"	"12"	"2012"	"2012"	"Unknown or not stated"	"9"	15
	"Florida"	"12"	"2012"	"2012"	"Not Reported"	"100"	0
	"Florida"	"12"	"2013"	"2013"	"Doctor of Medicine(MD)"	"1"	177686
	"Florida"	"12"	"2013"	"2013"	"Doctor of Osteopathy(DO)"	"2"	11050
	"Florida"	"12"	"2013"	"2013"	"Certified Nurse Midwife(CNM/CM)"	"3"	22416
	"Florida"	"12"	"2013"	"2013"	"Other Midwife"	"4"	2854
	"Florida"	"12"	"2013"	"2013"	"Other"	"5"	1379
	"Florida"	"12"	"2013"	"2013"	"Unknown or not stated"	"9"	22
	"Florida"	"12"	"2013"	"2013"	"Not Reported"	"100"	0
	"Florida"	"12"	"2014"	"2014"	"Doctor of Medicine(MD)"	"1"	180951
	"Florida"	"12"	"2014"	"2014"	"Doctor of Osteopathy(DO)"	"2"	11702
	"Florida"	"12"	"2014"	"2014"	"Certified Nurse Midwife(CNM/CM)"	"3"	22968
	"Florida"	"12"	"2014"	"2014"	"Other Midwife"	"4"	2958
	"Florida"	"12"	"2014"	"2014"	"Other"	"5"	1408
	"Florida"	"12"	"2014"	"2014"	"Not Reported"	"100"	0
	"Florida"	"12"	"2015"	"2015"	"Doctor of Medicine(MD)"	"1"	183536
	"Florida"	"12"	"2015"	"2015"	"Doctor of Osteopathy(DO)"	"2"	11786
	"Florida"	"12"	"2015"	"2015"	"Certified Nurse Midwife(CNM/CM)"	"3"	24392
	"Florida"	"12"	"2015"	"2015"	"Other Midwife"	"4"	3022
	"Florida"	"12"	"2015"	"2015"	"Other"	"5"	1523
	"Florida"	"12"	"2015"	"2015"	"Unknown or not stated"	"9"	10
	"Florida"	"12"	"2015"	"2015"	"Not Reported"	"100"	0
	"Florida"	"12"	"2016"	"2016"	"Doctor of Medicine(MD)"	"1"	184999
	"Florida"	"12"	"2016"	"2016"	"Doctor of Osteopathy(DO)"	"2"	12097
	"Florida"	"12"	"2016"	"2016"	"Certified Nurse Midwife(CNM/CM)"	"3"	23389
	"Florida"	"12"	"2016"	"2016"	"Other Midwife"	"4"	3029
	"Florida"	"12"	"2016"	"2016"	"Other"	"5"	1491
	"Florida"	"12"	"2016"	"2016"	"Unknown or not stated"	"9"	17
	"Florida"	"12"	"2016"	"2016"	"Not Reported"	"100"	0
	"Florida"	"12"	"2017"	"2017"	"Doctor of Medicine(MD)"	"1"	182735
	"Florida"	"12"	"2017"	"2017"	"Doctor of Osteopathy(DO)"	"2"	11761
	"Florida"	"12"	"2017"	"2017"	"Certified Nurse Midwife(CNM/CM)"	"3"	24699
	"Florida"	"12"	"2017"	"2017"	"Other Midwife"	"4"	3074
	"Florida"	"12"	"2017"	"2017"	"Other"	"5"	1347
	"Florida"	"12"	"2017"	"2017"	"Unknown or not stated"	"9"	14
	"Florida"	"12"	"2017"	"2017"	"Not Reported"	"100"	0
	"Florida"	"12"	"2018"	"2018"	"Doctor of Medicine(MD)"	"1"	178674
	"Florida"	"12"	"2018"	"2018"	"Doctor of Osteopathy(DO)"	"2"	12729
	"Florida"	"12"	"2018"	"2018"	"Certified Nurse Midwife(CNM/CM)"	"3"	25780
	"Florida"	"12"	"2018"	"2018"	"Other Midwife"	"4"	3037
